手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8: 後手は向かい飛車に振った。

手数12: 互いに玉を移動し、囲いの整備を目指す。

手数15: ▲７七角は持久戦志向で、次に▲８八玉と寄れるようにしている。

手数16: 端歩で相手の反応を見る。

手数17: 先手はすぐに突き返し、△９五歩の形を許さなかった。

手数20: 後手は美濃囲いでバランスを取る。

手数21: 先手も同様に銀を立ち、左美濃で対抗した。

手数22:

手数23: ▲８六歩は、次に▲８七銀と上がる「銀冠」を目指している。

手数26: 盤上は相銀冠。堅さの勝負になった。

手数30: △７四歩は、次に△７三桂のほか、△５三銀〜△６四銀〜△７三銀の順で固める狙いがある。

手数31: 先手は香を上がり、銀冠穴熊に組み替えにいく。

手数32:

手数33: 穴熊は、戦場からの遠さと王手のかかりにくいさが長所。

手数34: 後手は４三の銀が攻め駒。この銀をうまく活用してペースを握りたい。

手数36: 後手が角道を開け、決戦を申し出る。

手数39: 遊び駒の銀を活用。代えて▲５三角と打ち込んでも、あまり得にならないと見たようだ。

手数40: 下段飛車で間合いをはかる。次は△４二金か△５二金かで横利きを通したい。

手数41: 先手はワンテンポずらして角を打ち込んだ。△６二角や△７一角で馬は作れないが、いずれも▲同角成で乱して得という主張だ。

手数42: 後手は６筋で角を合わせ、再度の角交換を求めた。

手数44: ▲５三角（４１手目）の効果で金が１枚離れ駒になった。

手数45: ▲８八金に△７二金と戻せば、先手がはっきり手得になる。

手数46: △３二金は独特の感覚だ。普通は代えて△５二金上〜△７二金とするところだろう。

手数47: 形勢に動きが出るのはまだ先だが、気楽なのは先手のほうで、▲３六歩のあと▲６六銀〜▲３七角〜▲６九金〜▲７八飛のような展開になると、後手は攻めを防げなくなるだろう。

手数48: 後手は△７二玉と寄った。

手数49: 後手陣を牽制した自陣角。これは先ほど示された▲６六銀〜▲６九金〜▲７八飛の順が実現するかもしれない。

手数50: 相手が角を手放したため、離れ駒の金を寄せていく。

手数53: 先手は次に▲７七銀と引けば「ビッグ４」と呼ばれる堅陣が完成する。

手数54: 後手は角を合わせて相手の牽制を断ちにいく。

手数55: 桂頭攻め。これは△７五同歩に▲６四角から動いていくのか。ただし、▲６四角△同歩に▲７五銀と出ると△３九角の両取りがあるため、先手は攻め方に工夫が必要だ。単に△７五同歩か、あるいは△３七角成▲同桂△７五歩の順か。△５二金左と固めるのは▲６四角△同歩に▲３二角があるため、後手は守りを強化しづらい。

手数56: 後手は△３七角成と取った。

手数57:

手数58: 後手は再度、同じ場所に角を据える。

手数60: そして７筋に手を戻す。▲４四角には△３七角成で攻め合う姿勢だろう。

手数61: 先手は構わず銀を取り、駒得の道を選んだ。

手数62: 後手は馬の存在が主張。攻防に働かせて局面を制圧したい。

手数64: 馬を使って飛車を追う。

手数65: ７筋までかわし、先手の穴熊が堅い。

手数66: △５二金右は▲６二角成の強襲を避けながら、次に△４三金直▲２六角△３六馬の順で耕す狙いがある。代えて単に△４三金だと▲３二銀の筋が生じるため、△５二金右でひもをつけた意味がある。

手数67: 先手は中央から手を作っていく。

手数70: 金と馬を活用し、先手の角を責めていく。

手数71: 下段飛車の移動で角取りを受ける。▲２九飛以下△４七馬▲７九飛△３六馬の進行だと千日手模様だ。

手数73: ３筋にかわし、△３六馬を防いだ。

手数76: 飛車香の両取り。しかし、▲７九飛と逃げておけば、先手が駒損になるわけではない。

手数77:

手数78: △３六馬▲２八角に△４六歩の突き出しが攻防か。

手数80: 下段飛車の活用。▲５四歩の取り込みに△５八歩で止めようとしている。

手数81: 先に飛車浮きで△５八歩の筋を避ける。

手数82: 角筋を止めながら、次の△４七歩成を見た突き出し。

手数85:

手数86: 後手は５筋の歩を払い、中央で厚みを築いた。

手数87: 先手は大駒交換を挑み、リードを奪いにいく。

手数89: 先手は次に▲７三角成△同玉▲６五桂の順で寄せが狙えそうだ。

手数90: 後手は攻防の香打ちで粘り強く指す。

手数93: 先手は２枚の角を並べて手番を握る。

手数95: 攻め合い勝ちを目指した銀の前進。△６七香成は▲５四銀が詰めろだ。

手数98: 銀を埋めて守りを固める。後手は△６七香成を間に合わせたい。

手数99: 要の香を消しにいく。△６七香成には▲６四歩の合わせが速い。

手数100:

手数105: 先手が快調な攻めで、リードを広げている。

手数106: 飛車の移動で玉頭戦に望みを託す。

手数107: ▲４二角成が自玉の耐久力を見切った一手。△１九竜には▲６四金で先手が食いつけそうだ。

手数111: ▲６四桂に玉が逃げると王手飛車がある。

手数114: 端玉で耐える後手。

手数115: しかし、先手の厳しい攻めが続く。

手数123: ▲３三馬が自陣に利かせつつ、▲８六桂を用意した攻防手。

手数125: ▲８六桂の局面で後手が投了した。（１）△８四玉は▲８五歩△同玉▲９六銀以下の詰み。（２）△８六同角成は▲同金で後手玉は一手一手である。

