手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数15: 戦型は横歩取りに。

手数17: 飛車を３四に居座ったまま、▲５八玉と立つ。青野流と呼ばれる指し方だ。

手数18: 飛車を自陣に戻る。代えて（１）△７六飛、（２）△８五飛、（３）△２二銀、（４）△４二銀、（５）△５二玉、（６）△６二玉など、手が広いところだった。

手数19: ▲３七桂と跳ねるためのスペースを作る。先手は隙あらば積極的に攻めていく姿勢だ。

手数20: この△２二歩は先手の角のラインを緩和しつつ、先手の飛車が２筋に戻った際に▲２一飛成を事前に防ぐ手になっており、部分的には見られる受けの手筋だ。

手数21:

手数22: 居玉を解消する△４一玉。

手数23: ▲３八銀と立って、先手陣はひとまず安定した。現局面から△８八角成▲同銀△２八角には、▲３二飛成△同玉▲２九金がある。

手数24: 左銀を使っていく。次は△８八角成▲同銀△３三銀▲３五飛から△２八角がありそうだ。

手数25: 後手の飛車の縦の利きを止める。現局面から△８八角成▲同銀△３三銀▲３五飛△２八角には、▲８五飛の転回が厳しく、先手よしだ。以下△７二銀は▲５六角。

手数27:

手数28: △８六歩と垂らして先手の角頭に嫌みをつけた。

手数29: １筋を突き越して、好機の▲１四歩を見せておく。

手数30: ここで先手の飛車に働きかける。対して▲３五飛なら、以下は△８七歩成▲同金△８四飛▲８六歩△２四飛▲２七歩が考えられる進行だ。

手数31: 飛車切りで踏み込んでいった。

手数33: この▲６六角は、８四歩を守りつつ、後手の目標にされそうな角を事前にかわして８筋を受けやすくした手だ。

手数34: 中段に飛車を打った。▲２七歩と打たれると飛車成りはあっさり受けられてしまうが、それには△３六飛と歩を取って次の△３五飛〜△３六歩を狙うのがうるさいということだろうか。

手数35: △２八飛成に▲２四歩（以下△同金なら▲４五桂）を見せて後手の攻めを牽制しつつ、３筋を強化してもいる。

手数36: 先手の狙い筋である▲２四歩の攻めから玉を遠ざかりつつ、間合いを計った。

手数37: 金寄りで△２八飛成を消しておく。

手数38: ６六角の利きを緩和しつつ、どこかで△４五歩と突く筋を含みにした。

手数39: △３六飛で後手に歩切れを解消されるのを防ぎながら、３三桂の頭にそこはかとなくプレッシャーを掛けた。

手数40: 何とも力強い玉上がり。桂頭を守るなら△４三銀もありそうに見えたが、それでは何か嫌な順があったのだろうか。

手数41: ▲５五角右は、４四歩を狙った手だ。後手は△２四飛と引けば４四の地点を守れるが、それはどこかで▲２五歩が残るので選びづらいかもしれない。

手数42: △６五歩と突く手を見せて、▲４四角を牽制している。

手数43: △６五歩に▲同桂を用意。

手数44: 取られそうな歩をかわした。

手数45: △２四飛と引かれる手を消す。先手は▲４四角〜▲３四歩という筋を狙っているのかもしれない。

手数46: 右銀を前に使いつつ、８二飛の横利きを通した。

手数47: 先手がうまく攻め手順を組み立てているといえそうだ。次は▲３四歩が飛車桂両取りになる。

手数48: ▲３四歩が飛車取りにならないようにした。

手数49: ３七桂をしっかり支えて、次の▲２七銀を見る。▲４八金に代えて、▲２四歩とし、以下△２四同金▲３三角成△同銀▲５五桂という順も有力そうだった。

手数50: ▲２七銀がくる前に、後手は何とか暴れたい。

手数52: △８七歩成▲同金で先手陣の形を乱してから△６五歩。▲同桂に△６四銀で、後手は桂を取れそうだ。

手数55: ▲２七銀と上がる前に、後手の左金をつり上げにかかった。

手数57: これで後手の飛車は捕まった形。

手数58: 飛車を角と刺し違える。

手数60:

手数61: 金の両取りに飛車を打つ。これは先手の技が決まったといえそうだ。

手数64: ２四金を守りつつ、△４六歩の突き出しを見た角打ち。

手数66: ５四角の利きを通して２七の銀取りを見せながら、先手玉周りに嫌みをつける。

手数67: 代えて▲３八銀とかわしておくのもありそうだったが、強く踏み込んで勝ちにいった。

手数68: 代えて△３二玉には、▲３一金△同銀▲３三銀成△同玉▲３一竜が利いたか。

手数70: 一気に終盤戦に入った。

手数72: 代えて△３三同玉は、▲３四歩のタタキがうるさい。

手数73: 先手は手番を生かしてこのまま押し切れるかどうか。この桂打ちは、後手からの△５五桂を消して攻防だ。

手数75: ▲４三金以下の詰めろで、銀頭に歩をたたく。

手数77: ▲３三金打までの詰めろかつ銀取り。後手は受けが難しくなってきた感がある。

手数78: 攻めに活路を求める。

手数82: △６七銀のタダ捨てから、歩頭桂の王手。▲７五同歩なら、△９四角が王手竜取りになる。

手数83:

手数87: 代えて▲８六同玉は、王手竜取りの筋を含みに△８五銀▲７七玉△７六銀とこられる順が怖かったか。

手数88: 後手は攻めが止まると負けだ。

手数89: この局面で後手が投了した。後手からは有効な攻めが続かず、後手玉は適当な受けがない。

