手数1:

手数2:

手数3:

手数4:

手数7: 相掛かり模様に進んでいる。

手数9: 先手は中住まいに構えた。

手数10: 後手は△５二玉。相手と歩調を合わせて中住まいを選んだ。

手数11: 互いに玉の配置が決まったところで、飛車先の歩交換に出た。

手数15: 浮き飛車に構えた。

手数18: 角を飛び出して、先手の飛車を追った。

手数19: ▲２八飛と引いても一局だろうが、気分的には面白くない。先手は飛車を寄って３四の歩取りを見せた。

手数20: 元より歩損は覚悟の上なのだろう。歩取りに構わず桂を跳ねた。

手数21: 歩を取った。相手が「取って来い」と誘っているところなので、しっかり読みを入れたのだろう。

手数22: 飛車先の歩交換に出た。手順に△２六飛と回る狙いか。

手数25: ここで手を止めた。△２六飛の転回が成立するのかどうか。

手数26: 飛車の転回を決行した。桂取りではないが、次に△２八飛成があるので、先手は２筋を受ける必要がある。

手数27: じっと金を寄って△２八飛成を防いだ。

手数28: 玉を右に囲った。ひねり飛車のようなイメージだ。

手数29:

手数31: じっと端歩を突いた。▲７六歩と角道を開けずに▲９七角と活用する狙いだろうか。

手数32: 反対側の端歩を突いて間合いを計る。

手数33: 先手も中住まいから玉を囲いにいった。

手数34:

手数35: 歩を打って飛車を追った。対して△２四飛と飛車交換を挑むのは、▲２四同飛△同歩に▲２一飛と下ろされるので指しにくい。

手数37: 飛車を追ったことで、角道を開けられるようになった。

手数38: 角交換に踏み切った。

手数40: 飛車を８筋に戻した。

手数41: 先手は桂を跳ねて飛車を追った。

手数42: 飛車が８筋に戻ったことで、後手陣は玉飛が接近している。どこかで△５二玉と中住まいに戻すこともあるかもしれない。

手数43: 後手より先に先手が中住まいに戻した。やはりここが安定する位置のようだ。

手数44: 飛車に当てて角を下ろした。先手の飛車の行き場所は３五しかない。

手数46: 打った角をすぐ引いて７六の歩取りだ。

手数47: 歩取りは受けずに銀を引いた。△７六角に▲７八銀と立てば８七を守ることができる。

手数50: １歩を取って、じっと引き揚げた。渋い指し回しだ。

手数51: ここで先手が動きを見せた。ここまで細かい動きが続いていたが、そろそろ本格的な戦いが見えてきた。

手数53: △１四同香なら▲３四飛で香を取りにいく狙いがある。

手数54: ▲１四歩は相手にせず、自陣の駒組みを発展させた。

手数56: １筋は辛抱。

手数57: 形を直した。

手数58: 再び序盤に戻った雰囲気だ。

手数59: 先手の玉は、今度は右側へ。変幻自在だ。

手数60: 歩を突いて、先手の飛車の横利きを止めた。次に△７五歩〜△７六歩と桂頭を狙う筋がある。

手数61: 飛車を引いた。△７五歩にはどうするのか。

手数62: 次に△７六歩と突かれてはいけない。勝負どころだ。

手数63: 事前の▲１六飛は、この歩を突くためだったようだ。△７六歩に▲８五桂と跳ねられるようになった。

手数66: 真っ向から取りにいく。

手数67: 飛車取りに角を設置した。△７三桂には▲同桂成△同銀▲７四桂が炸裂する。△９二飛には▲９五歩△同歩▲９三歩がある。先手が桂取りの瞬間に技を見せた。

手数68: 飛車にヒモをつけて辛抱した。飛車角交換になっても、８五の桂を取り切れれば後手が駒得だ。

手数69: 桂を狙っている。▲３三飛成と切って▲７四桂の狙いだ。

手数70: 銀を上がって▲７四桂の狙いを消した。

手数73: 後手の銀が上ずったところで、飛車角交換に出た。

手数75: 香取りに飛車を下ろした。また、▲７三桂成△同桂▲７四歩△同銀▲１一飛成の攻め筋も見える。

手数76: 桂を外して▲７三桂成からの攻めを防いだ。

手数78: ▲４六同飛と取らせれば、△４五桂の活用が望める。

手数80: 飛車がそれた隙をついて桂を活用。さらに△３三角の竜金両取りの狙いがある。

手数81: 金に当てながら両取りのラインを避けた。

手数82: 底歩で受ける。

手数83: 底歩を打った筋には香の攻めが効果的だ。一進一退の攻防が続く。まだ明快な差はついていないようだ。

手数84: 鋭い踏み込みがあった。金取りと△５七角成の両狙いだ。

手数85: 先手は桂を食いちぎった。△７九角は読み筋だったのだろう。

手数89: 飛車桂交換で駒損したが、この攻めも厳しい。

手数90: ５七の地点を狙うのが急所だ。

手数91: ５七を突破されると先手陣は持たない。ここは全力で受ける。

手数92:

手数96: 互いに、容易には崩れない。均衡の取れた大熱戦になっている。

手数97: 好所の角を追って利きを緩和する。

手数100: この一手の受けだ。

手数103: どちらの攻めが速いのか。

手数107: ここ数手で先手の攻めが加速している。

手数113: 強烈な攻め。筋に入ったか。

手数115: 厳しい追撃。後手は攻め合える状況ではないので、ここは耐えるしかない。

手数120: 必死の防戦。まだ、かろうじて耐えているか。

手数121: 次に▲５四馬や▲６四馬の狙いがある。

手数123: 先手の攻めが少しスローダウンしたか。

手数124: 攻防の飛車を放った。先手もそろそろ自玉が危なくなってくる。ここでうまく寄せてしまいたいところだが。

手数127: △７四同飛は▲５四馬で△同銀に▲８三金の詰みが生じる。

手数128: 角を見捨てて銀で取った。

手数130: 先手玉に嫌みに迫った。

手数131: 自陣は大丈夫と見たようだ。決着をつけにいった。

