手数1:

手数2:

手数3:

手数4:

手数6: 本局は相掛かりの出だしになった。

手数7:

手数8:

手数9: 先手は中住まいに構える。

手数10:

手数12:

手数13:

手数15: ２枚の金が左右に離れる「金開き」の形。後手の７二銀型と比べ、先手の４八銀型は玉頭が厚いメリットがある。

手数16: 先に後手が１歩交換に動いた。

手数20: 浮き飛車に構え、先手の▲２四歩を受ける。四段目の位置はあとで横に活用しやすい。

手数23: 相手が角道を開けたタイミングで▲２四歩。△３三角と上がられては突けなくなるため、この瞬間にいくのが自然だ。

手数27: 先手の飛車は五段目へ。この中段の位置を維持することで、相手の攻め駒を押さえ込む効果がある。

手数28: 後手は４筋に角を上がった。次に△３三桂や△２二銀で整えていく方針だろう。

手数29: 先手は、その上がった角を狙って歩を突き出す。

手数30: 桂を跳ね、五段目の飛車を下がらせる。２手前で単に△３三桂だと角が使いづらくなるため、桂を跳ねる前に△４四角が必要だった。

手数32: ８筋に歩を合わせ、浮いている４筋の歩を狙いにいく。

手数34: △８六同飛に（１）▲８七歩なら△４六飛で後手１歩得。（２）▲４七銀なら△８七歩▲９七角に△８五飛と引き、次に△９五歩や△２五飛を狙っていく構想だろう。

手数35: 先手は▲７六歩と角道を開ける。△７六同飛なら▲４四角で交換する狙いだ。

手数36: 後手は１筋の端から迫る。▲１五同歩に△１七歩と打つ狙いか。以下▲同香に△７六飛と取れば▲４四角△同歩のあと、△１九角と打つ筋ができる。

手数38: 攻めをつなぐ「焦点の歩」。

手数41: 歩を温存し、銀上がりで飛車の侵入を防ぐ。△７六飛には▲７七銀か。後手は△１五香と走ってよければ分かりやすいが、▲１四歩の垂らしが生じるため、慎重に読み進めたい。

手数42: △７六飛で歩切れを解消した。

手数43: 金取りを受ける桂跳ね。代えて▲７七銀と違い、飛車取りにはならないが、先手は次に▲８二角と打つ狙いがあり、８八に銀がいれば△８六飛〜△８九飛成の侵入がない。

手数44: ４筋の歩まで取り、後手が１歩得になった。

手数45: ▲４七銀に対し、後手はどこへ飛車を逃げるか。△４五飛は▲１七香のあとに有効打がないと、その次の▲３七桂で目標になりかねない。

手数46: 横にかわし、狙われにくい場所に移動した。

手数48: いったん飛車を引き揚げ、次に△８六歩▲７六銀△８七角の攻めを狙う。

手数50: 後手は８筋を落ち着かせず、攻め立てていく。▲８五同歩は△８六歩、▲８五同桂は△８四歩がある。

手数52: △８六歩に▲同銀は△６四角と打たれ、以下▲７五歩なら△２八角成▲同金△８九飛で後手の攻めが続く。

手数54: 今度は自陣角で銀を狙う。▲７五銀は△８七歩成、▲６五銀や▲６五桂は△６四歩があるため、受けの手段としては▲６五角か▲９八角になりそうだ。

手数55: 端角で銀にひもをつける。△７六角▲同角△８七銀なら▲同金△同歩成▲同角で、歩切れの後手は攻めが細そうだ。

手数56: 香先が止まった９筋を攻めていく。

手数57: 先手も４筋から角頭を攻める。▲４五歩に（１）△同歩は▲４四歩△５四角▲６五銀、（２）△４五同桂は▲４六歩がある。

手数59: ▲４六歩△９六歩▲４五歩△９七歩成▲４四歩までは一本道の進行か。

手数62: 先に８筋の歩を成り捨てる。▲８七同角に△９七歩成とすれば、▲４四歩△５四角▲６五銀の変化で△８七とと感触よく取れる。

手数63: 先手は熟考の末に▲８七同銀で応じた。

手数65: 先手の銀が下がったため、▲４四歩に△５四角なら▲４六桂で追うことになりそうだ。

手数67: ▲４六桂に（１）△４五角なら▲３七桂で角の逃げ場がない。（２）△８七とには▲５四桂と取り合い、△９八とでも△７八とでも▲４三角の王手が厳しい。４六の桂を跳ねさせない意味では（３）△８七角成が考えられるか。以下▲同角△同と▲同金△９九香成と進めば後手の駒得だ。

手数68: 後手は角のほうを取った。

手数69:

手数70: 玉の隣に歩を打ち、▲４三角の打ち込みを消す。次に△５四歩と取れば駒損は回復する。

手数71: 代えて▲９八香は△９七歩があった。本譜、▲９八銀△同香成▲同香の進行は銀香交換だが、端の攻防では香の価値も高い。

手数72: △５四歩で駒割りはほぼ五分。これは長い戦いになりそうだ。

手数73: ▲３七桂〜▲４五桂と跳ばれる形は結構、嫌な形かもしれない。

手数74: ６筋の歩を突き、▲６五桂の活用を阻止する。

手数75: ▲９五歩は△同香に▲９四歩と垂らす狙いか。取らなければ次に▲８七銀と上がり、▲９四歩の突き出しが楽しみになる。

手数76: 金銀両取りの桂打ち。

手数77: ▲８八金は自玉と反対方向だが、代えて▲６八金だと△９八桂成▲同香に△８六歩の垂らしがいやらしい。

手数81: ゆらゆらと金の往復で相手の攻めをいなす。次に▲２九飛と引けば、９九の角が取れる。

手数82: △８七歩▲同金に△７八銀と絡んで食いつけるか。

手数84: 端で１歩を補充。▲２九飛に△８六歩を用意している。

手数85: 先手は丁寧に自陣をケアし、反撃に出るチャンスを待つ。

手数88: △８八角成に▲８七角は△８九銀の継続手がある。となると、先手が反撃に出るなら、この局面か。

手数89: ポンと単騎で桂を跳ねていく。次に▲２六角と打ち、▲４三歩成△同金▲４四歩の順で崩していけるか。

手数90: 香を入手し、▲２六角に△２四香の切り返しを用意。

手数91: 合わせの歩。△２四同歩▲同飛△２三歩に▲３四飛と寄れば、次の▲３三桂成が受けにくそうだ。

手数93: 少し先手がよくなったように見える。

手数94: 馬引きで金を取りにいく。

手数95: ▲７六金△８七馬▲７五金△８六馬▲８四金△８三歩で追われると金は捕まってはいるが、その局面で貴重な手番が先手に回る。

手数96: 今度は香打ちで金を狙う。９七の馬はそのままのほうが、あとで△６五歩と突いたときに受けに使えそうだ。

手数97: 返し技が出た。△８七馬なら▲６四角。それは先手が勝ちそうだ。

手数98: 素直に角交換に応じては△７四香の威力が弱まる。後手は一段目に馬を潜り、先手玉に近づいた。

手数99: しかし、▲６四角〜▲５三桂成の攻めが速い。△６二金と受けても▲６五桂の応援がある。これは受けが難しいだろう。

手数100: 金を寄り、▲５三桂成に△６一玉の逃げ場を作った。

手数101: ▲４三歩成△同歩に▲２一飛成と入り、次に▲３二竜の王手が厳しい。

手数103: ▲３二竜からの詰めろ。

手数105: ▲３一角成△同金▲同竜の２枚換え。駒得でリードを広げていく。

手数108: 馬を捨てて▲５七同玉は△１三角が王手竜取り。

手数109: 玉引きで余しにいく。後手玉は▲５一竜以下の詰めろだ。

手数110: 後手は飛車の横利きを通し、粘り強く指す。

手数111: ▲５三桂打の局面で後手が投了を告げた。以下△６二玉に▲７一銀△同玉▲５一竜が一例で、後手玉は一手一手である。

