手数1:

手数2:

手数3:

手数4:

手数6:

手数7:

手数8: 戦型は相掛かりに進んでいる。

手数11:

手数12:

手数19: 先手はまだ▲８七歩を打たない。△８六歩には▲６六角△８二飛▲８八銀で大丈夫そうだ。

手数20: ７筋を突いておく。油断のならない手で、仮に▲４六歩のように駒組みを進めると△７五歩▲同歩△８六歩と進めて、先手は金作りが受けにくい。一応（１）▲７七玉や（２）▲８五歩△同飛▲７七桂△８二飛▲８五歩で耐えている可能性はあるが、いかにも危険そうだ。無難に指すならここで▲８七歩と打っておくか。

手数21:

手数23: 先手は２筋の歩を交換。

手数25: ２筋交換から五段目に引いた。

手数26: 軽く７筋を突き出した。両者とも△２三歩や▲８七歩といった無難な手を指さずに進めている。現状での▲２四歩には△１三桂▲２九飛△２五歩で耐えているか。

手数27: いったん８筋を修繕。

手数28: ここで角に活を入れた。

手数29: ７五歩をさらっておく。これで先手の１歩得に。後手は代償が欲しいが、（１）△８八角成▲同銀△２八角は▲２五飛で後手がまずい。（２）△２四歩と打ち、先手の飛車が２筋に戻れなくしておくのか。

手数30: ５四に回って５七の地点をにらんだ。△８八角成▲同銀△８四角の攻めを見せている。

手数33: 角交換から４六に据えた。５七の地点を補強しつつ７筋突破を見ている。

手数34: 金を上がって７三を補強。

手数37:

手数39: ８筋を伸ばした。ただではあるが、△８六同飛には▲８五歩が用意の一手。その次の▲８七銀で捕獲が完了する。

手数40: 後手も歩は取らずに自陣整備を続ける。

手数41: 銀を上がって先手陣も好形になった。

手数43: ２筋に拠点を作っておく。

手数44: ４四に角を打ち、７七桂の動きを牽制する。

手数45:

手数46: ２筋に歩を垂らした。後手は先手の飛車を召し上げるつもりか。次は△７四歩▲２五飛△３三桂で飛車が御用となる。

手数47: ７五飛を助けるのは難しいか。玉を引いて守りを固めた。△７四歩には▲４五飛△３三桂▲４四飛△同歩と進めれば飛車角交換で収まる。

手数48: じっと５筋を突き出した。

手数49: 先手も歩調を合わせる。△７四歩▲４五飛△７七角成▲同金△３三桂という順があり、それで先手の指す手が難しく、形勢は後手よしと見られている。

手数52: △３三桂と跳ねて△７四歩を見せた。

手数53: 桂をぶつけて勝負。△７四歩なら▲３三桂成△同角▲２五飛で脱出できる。

手数56: ここで△７七角成を決行した。

手数58: 角切りから△３三桂と打つ。これで飛車が詰んでいる。

手数61: 歩で取られるわけにはいかない。

手数64: 飛車を取って桂を跳ねておく。次は△６五桂や△５七桂打が厳しい。一方の後手陣にはこれといったキズが見当たらない。

手数65: じっと歩を突いて△６五桂を防ぐ。

手数66: △５七桂打で金取りと△６九飛を狙う。▲５九金には△２九飛が金銀両取りだ。

手数67: 金を３八に上がって耐える。自玉と反対方向だが、２七銀を取られるわけにもいかない。

手数70: １歩を補充して悠々と引き揚げる。

手数71: ６筋から反撃。

手数76: きれいな王手金取りがかかった。

手数79: ６筋の取り込みが実現。

手数81: ５三の地点を狙う。先手は金損ながら、ここ数手で後手玉も嫌な格好になってきている。

手数82: 金を張り付く。

手数83: 拠点の歩を成り捨てた。

手数85: どうにか７筋を突破。

手数86: じっと歩を打つ。

手数87: 歩頭桂で攻めを継続した。△６五同歩なら▲６二成桂△同玉▲６四歩で手が続く。このままなら▲６二成桂△同玉▲５三角がきつい。

手数88: ７三成桂を取る。

手数89: すぐに取り返す。攻め駒が少なく見えたが、先手が巧みに後手陣を突破した。後手は△７八金▲同金△６六桂がどれほどのものか。

手数90: 単に△６五桂と打った。△７八金以下の寄せを見ており、打たれてみるとかなり厳しい。

手数91: 角を突っ込んで勝負。しかし後手玉は詰めろになっていないか。

手数94: 後手は駒を蓄えていく。先手玉は△８七金▲９六玉△８六金▲同角△８五銀以下の詰めろだ。先手玉は受けても一手一手、後手玉に詰みはない。

