手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数12: 後手はまだ、居飛車と振り飛車のどちらにもできる形だ。

手数13: ▲７七角と上がった。▲２五歩△３三角▲６八角というように、角を２筋の攻めに使う順を視野に入れている。

手数14: △３二金と上がって、自陣左辺を安定させた。

手数16: 飛車先の歩を決めた▲２五歩に、▲２四歩からの飛車先交換を受けることなく△６二銀。代えて△３三角としても▲６八角で、先手はやはりいつでも▲２四歩と突ける形になった。

手数17: △６二銀で後手のほうも居飛車でくることがほぼ決まったので、改めてここからの構想を練っていたのだろう。

手数19: 角を引いて、次の▲２四歩を見せる。現局面で仮に△８四歩などなら、▲２四歩△同歩▲同角△４一玉▲２三歩△３一角▲６八角で先手が一本取れそうだ。

手数20: 居玉を解消して、▲２四歩から△同歩に▲同角が王手にならないようにしておく。

手数21: すぐに▲２四歩などで動くことはせずに、自玉周りを整備して一呼吸置いた。

手数23: 攻めの銀を前に。次は▲３五歩△同歩▲４六銀といった攻め筋が考えられそうだ。

手数24: 熟考の末に、７筋の歩を突く。現局面で▲３五歩には、△７五歩▲同歩△７二飛というように自分も動いていくつもりかもしれない。

手数25: ▲３五歩を決行した。中盤の戦いに入りそうだ。

手数26: 代えて△３五同歩は、以下▲４六銀△３六歩▲２四歩△同歩▲同飛△２三歩▲２六飛といった要領で、次の▲３五銀〜▲２四歩を狙われて受け身になりそうだった。後手からも手を出していく。

手数28: ７筋の突き捨てを入れたうえで、３筋の相手をした。代えて△７二飛から、▲３四歩に△７五飛という進行もあっただろう。

手数29: 先手としては、このまま▲３五銀〜▲２四歩が実現すれば万々歳だ。

手数30: 受けの手筋といえる突き出し。▲３五銀に△３七歩成▲同桂△３六歩を用意している。この△３六歩に代えて△３四銀は▲３五銀△同銀▲同角で、次の▲４六角や▲２四歩△同歩▲２三歩が残って後手がまずそうだった。

手数31: 飛車先を軽くする突き出し。▲３五銀と出るための下準備だろう。

手数34: 後手としては、▲２四銀を防ぐ手段は難しい。先手の飛車のコビンを狙って反撃する。

手数36: これで後手は３七桂を取れる形だ。

手数37: 後手の飛車に当てつつ、△３七歩成に▲同角を用意。

手数40: 代えておとなしく△９二飛は▲２四銀で好きなように攻められるという判断か、△７五飛を見て強く戦った。先手の馬作りは受け入れる方針だ。ただし、現局面ですぐ▲９一角成には、△７五飛が王手銀取りになる。

手数41: この▲２四銀で、先手の飛車先突破はほぼ約束された。

手数42: 王手で飛車をさばいて勝負。

手数43: 豊富な持ち歩を生かして、先手を取って受けにいく。

手数44: こちらも飛車に当てた歩のタタキで返した。▲２七同飛とさせれば、先手の飛車は自玉の守りに働きにくくなるか。

手数46:

手数48: △５六飛を回って、後手の飛車はさばけた格好だが。

手数49: 香を取りながら角を成る手が大きい。△５七桂に▲５九香を用意している。

手数50: それでも△５七桂を打っていった。代わる手も難しかったということかもしれない。例えば代えて△７三桂も、先手に手番が回るので何かうるさい攻めがありそうだった。

手数51: ６九金をかわした。代えて▲５九香よりも、こちらのほうがよりよいか。以下△４九桂成▲５七歩に△３六飛は、▲３七香で後手の飛車が捕まっている。

手数53:

手数54: △２六歩は、先手の飛車の頭を押さえる一手。ただ、▲２九飛が４九の成桂に当たるのが後手としてはつらいところだ。

手数55: 現局面で△３六飛も、やはり▲３七香がある。

手数57: ５五の飛車を取った。

手数59: 成桂を払って、先手陣は万全。次に先手に手番がくれば、▲３五桂、▲２三香、▲６一飛など、厳しい手が多くある。

手数60: 相手玉に少しでも嫌みをつける。

手数61: 代えて▲５六同歩もありそうだったが、▲７九銀と８筋の壁形を解消した。

手数64: △５七歩成▲同金と形を乱したうえで、今度は薄くなった玉頭に手をつける。

手数66: 取られそうな桂を活用。次に△６五桂が間に合えば、攻めとしてはかなりのものだ。

手数67: △６五桂は許さない。

手数68: ６五は不可ということで、８五に跳ねる。とにかく△７七歩が打てれば、後手も望みが出てくる。

手数69: 王手で飛車を打ち下ろす。

