手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7: 戦型は先手中飛車となった。

手数18: １筋の歩を突き越したことに満足したのか、後手は角筋を２重に閉ざして守り重視の構えに。

手数21: 端歩を詰められているため、美濃囲いだと玉の狭さが祟りやすい。穴熊のほうが組みやすい状況だった。

手数26: 対する後手は左美濃に組み上げた。このあと銀冠や穴熊への組み替えも視野にあるだろう。とりわけ後手番ということで、そういった持久戦に持ち込みやすい。

手数30: 意外ですね、代えて△２四歩〜△２三銀〜△３二金と銀冠に組むのかと思いました。本譜は▲５六銀を防いだのでしょうけど、▲４八飛と寄れますからね。そこで△３三桂ということなのかな。しかし角は窮屈になります。このあとの構想に注目ですね。

手数31: 代えて▲４八飛という手もあったが、この角引きも狙いは似ている。つまり間接的に４六歩にヒモをつけることで、次にリスクなく▲５六銀と上がりたいのだ。

手数34: 桂を跳びましたか。こうなると囲いの進展性はありませんので、後に△４五歩と仕掛けるつもりなのかもしれません。

手数36: 次に△８六歩▲同歩△４五歩▲同歩△６八角成▲同金△８六飛の筋を狙っているのだろう。ただし手順中に分岐が多く、また６三銀が浮き駒になっている点も先手にとがめられる可能性はある。

手数37:

手数38: 囲いを強化しつつ浮き駒をなくして、△４五歩を絡めた仕掛けを決行しやすくなった。

手数39: ５六銀型は好形だが、後手が２四角型で窮屈ながら攻めを見てきたためか、先手は囲いの強化に努めたようだ。以下▲５六飛〜▲７五歩まで組み替えれば、８筋の守りに飛車も加わるため戦いを起こしやすくなるだろう。

手数44: 直前の飛車浮きは先手も指したかった手のはずだが、後手としても６八角が浮くこの瞬間は好機である。さっそく△４五歩で開戦した。互いに堅陣だが、玉の遠さが主張になる分だけ先手のほうがわずかに堅いだろうか。となれば後手はこの一連の攻めである程度の主張を作りたいところ。

手数45: ４筋の歩は取れないため、お好きにどうぞと。先手は反動を利用する形で手を作りたい。

手数49: 代えて▲３七銀引のほうが囲いは堅いが、６八角が浮いているため指せない。しばらくは相手のいいなりになるが、手順に歩切れを解消できたのはポイントだ。

手数50: ７七桂型になったことで、△８六歩▲同歩△同飛の狙いが生じている。

手数51: ということで飛車の横利きを通し、相手の８筋突破策を阻止した。

手数52: 浮き駒をなくすためにいったんは引いた銀だが、ここで再度６三に出る。△７四歩▲７六飛△７五歩▲同飛に△７四銀を用意しているのだろう。

手数53: 一見すると窮屈なところに角を引いているが、後に▲３八金寄〜▲２六角のような転回を目指しているのだろう。また２四角のラインから避けたことで、５七銀を移動しやすくもなった。

手数54: 後手は狙っていたであろうジャブを放つ。

手数56: 働きの弱かった右桂に活を入れた。理想としては△９四歩と突いておき、△７五歩▲同飛△７四銀▲７六飛△７五歩▲５六飛△６五桂▲同桂△同銀（以下▲９六飛には△９五歩で大駒のどちらかを取れる）で飛車を捕獲したいところ。

手数57: もう飛車のヒモは５七銀についていないため、▲３八金寄とはできなかった。先手が自陣の角をいかにして活用するか、これが本局の鍵となりそうだ。

手数62: ここ数手、バタバタと手が進んだ。飛車を抑え込み、厚みを主張にして後手が主導権を握ろうとしている。

手数64: これは歩では取れませんよね。しかし▲８六同飛△同飛▲同歩△７九飛▲６八角△９九飛成は、次に△４六香の追撃がありますよ。ただし後手も７筋に銀桂が残ってしまいます。

手数65: 取れば▲２六角が金に当たる、ということですね。

手数66: ということで歩のたたきは取りにくかった。これで先手はゼロ手で大きな攻めの拠点を作ったことに。

手数67: 辛抱の一着である。以下△７六歩には▲８五歩からさばこうということか。角の働きで後手に分があるため、何ともいえないところ。

手数72: 代えて△８五同銀で相手の飛車を封じ込めるのも一案だった。本譜は軽快に攻めようとしたもの。

手数73: 急所の桂打ちが入った。６５手目▲４四歩△４二金引の利かしが大きく生きる展開。

手数74: ▲３四桂は受からない。後手は構わずに飛車を成り込んだ。

手数79: 気がつけば後手陣は激しく乱れている。この端角が攻め駒として機能すれば、先手が終盤の主導権を握るだろう。

手数80: ３筋に歩が立つのは後手の主張。つまり次は△３八歩▲４八金上△３九歩成を狙っているはずだ。

手数81: 代えて▲５一角成も魅力的だが、それだと飛車が働かない駒として残ってしまう。本譜はその展開を避けたもの。

手数85: 角にヒモをつけつつ、▲１一飛成の攻めを見る。

手数87: △７九同飛成と取らせれば、８六角を自由に動かせるようになる。

手数88: この歩打ちが入るのが大きい。そのため先手は、直前に▲７九歩で緩和していた。

手数91: 後手が攻めだけを見るならば△５八桂成▲同金△４六桂が考えられるが、先手玉を詰ますまでは手数が掛かる関係、先手はどこかで手抜いて反撃に出るのだろう。シンプルながら▲４三歩成の攻めは速そうだ。

