手数1:

手数2:

手数3:

手数4:

手数5:

手数7:

手数8:

手数10:

手数13: 先手は「超速」と呼ばれる作戦。

手数16: ４筋で銀が向かい合う「銀対抗」の形。代えて△５四銀のほうが形はよいが、本譜の△４四銀は角頭の薄さをカバーしている。

手数20:

手数21: ▲７七銀の局面が後手の作戦の分岐点。

手数22: △６二銀は中央を厚くしつつ、△８二玉〜△７二金の駒組みを視野に入れている。

手数23: 先手は右桂の活用を優先した。

手数24: 後手が５筋の１歩交換に動く。

手数27: ２枚の銀を前に出し、次に▲５五歩と打てば飛車の逃げ場がなくなる。

手数28: 後手は、いちばん下まで飛車を引く。将来▲４五桂〜▲５三歩といった攻めが予想されるため、深く引いておくほうが安全だ。

手数31:

手数33: ２枚の金を縦に並べ、相手の駒組み次第では▲５八飛とぶつける手を狙っていそうだ。

手数34: 角を引き、あらかじめ▲４五桂の当たりを避けた。

手数36:

手数37: 先手は積極的に銀を出ていった。△５五同銀には▲同銀、▲同角どちらも考えられそうだ。

手数39: 角で。△３三角には▲同角成と交換し、以下（１）△同桂なら▲２四歩、（２）△３三同金なら▲４二角が生じる。

手数40: 後手は角をぶつけた。先手玉は７筋、後手玉は８筋にいるため、中央で戦いが起きれば危ないのは先手のほうだ。

手数43: 後手の角を盤上から消し、２筋の歩を切りにいく。

手数47: 代えて▲２九飛だと△３八角があるので二段目に引くのが自然だ。（１）△３九角には▲５八飛△同飛成に▲同金上と交換すれば、打った角の働きが悪くなりそうだ。後手は（２）△７二金と上がると▲５二歩△同飛▲４一銀の筋が生じるので、このまま（３）△３五歩とやっていくのかもしれない。

手数48: それでも後手は角を打ち、馬を作りにいく。

手数49: 代えて▲１八飛も候補に挙がっていたが、先手は▲５八飛とぶつけて勝負に出た。

手数50: 飛車先交換を阻むが、▲５二歩の手筋が厳しいか。

手数51: ▲５二歩に（１）△同飛は▲４一銀の割り打ちがあり、（２）△５二同金は▲５六飛と走った形が軽い。

手数53: 飛車金両取りの割り打ち。

手数54: 飛車が５筋からそれ、現局面は居飛車がペースを握っている。

手数57: ▲６五角は△４二飛と寄る手を想定しているが、そこで▲５六角では、ちょっと緩いような感じがする。代えて▲５六飛だと△６五銀のような手があるため、▲６五角はそれを消した意味もあったか。

手数58: 飛車寄りで４三の地点を守る。後手はしばらく我慢し、反撃に回れる手番を待ちたい。

手数59: 軽妙な歩の垂らし。△５三同銀に▲５六角と引けば、次の▲３四角が銀取りの先手になる。

手数62: 目標になりそうな、銀を前に出ておく。

手数64: 後手が端から反撃に転じる。▲９五同歩に△９七歩で手を作れるか。

手数65: ▲５四金は次に▲４三金や、▲４四金△同歩▲６一角成の攻めを狙っている。飛車先は重くなるが着実な攻めだ。

手数66: 無視して端を取り込む。▲９八歩と受けてくれれば利かしになるが。

手数67: 先手は攻め合い勝ちと判断し、金を入った。△９七歩成▲４二金△８八銀は詰めろにならないため、▲６一角成で先手が勝つ。

手数69: 金を斜めにすり込んでいく。これは痛い手だろう。

手数70: 後手は飛車の頭に歩を打った。▲３八飛で角が取られてしまうが、単純な攻め合いでは負けと見た勝負手だ。

手数74: 端にと金を作り、先手玉も怖い形になってきた。安全に指すなら▲９七同香だが、自玉が大丈夫と見れば▲４一馬や▲３九飛で勝ちにいくかもしれない。

手数75: （１）△８八金なら▲７七玉、（２）△８八銀なら▲４二飛の王手が厳しい。

手数76: △９八歩を打ったが、王手ではないため、先手に寄せの手番が回った。

手数79: ▲４二飛の局面で後手が投了した。以下△９三玉は▲７一角△９四玉▲９五歩と迫って後手玉が詰み。△７二金や△７二銀では攻め駒は不足し、先手玉に迫れなくなる。

