手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7: 戦型は先手三間飛車、後手居飛車の対抗形。

手数8:

手数22: △２四歩という手。△４四歩や△４四銀もあり得た。

手数23: ５六銀型の狙い筋。

手数24: 先の△２四歩は△２三玉を用意した手。後手は天守閣美濃に組む。

手数25: 先手は穴熊へ。玉の堅さを主張にする。

手数26: ▲１五桂のキズを消して必要な手だ。

手数32:

手数33: １手の得を端に投資。

手数36: 次に△３五歩で銀ばさみの形になる。

手数37: △３五歩は許せないと反発した。

手数38: 戦いになった。

手数43: ▲８六同歩は△６九銀▲６八飛△５八銀成▲同飛△６七金で後手が攻め続け、角を取ったあとに△８六飛があった。

手数44: ▲９五同角でも▲７七角でも△８七飛成。

手数46: （１）▲７七角は△８七飛成▲８八飛△同竜▲同角△７八飛▲６八飛△７六飛成。この変化は振り飛車がさばきにくく、居飛車がやれそうだ。▲７七角で先手がつらいなら（２）▲６八角△８七飛成▲７九飛もある。

手数47: ▲６八角は２四に利く手ではあるものの、穴熊との相性はよくなかった。▲２六歩から▲２五歩は穴熊が弱体化してしまう。

手数52: △７八飛のほかに、△８七飛も有力手として候補に挙がっていた。

手数53: ▲７七銀△８六銀▲８五飛は△７七銀成と銀を取る手がぴったりだった。▲７九銀に△８六銀なら▲８五飛で先手よし。

手数54: 後手は竜という主張を手にした。△８六銀から△８七銀成が間に合えば優勢だ。

手数55: ▲５四歩は急所の一手だ。次の狙いは▲５七飛。

手数56: ▲５七飛を予見して角を引く。

手数57: ▲９六歩△８六銀▲６五歩△８八角成▲同銀は△５五角と先着され、▲５五角は実現しなかった。

手数58: △５七歩もいずれ役に立ちそうな垂れ歩だ。▲５七同金は形が乱れるので指しにくい。

手数61: ▲５六飛から▲５七飛は崩れない指し回しだ。

手数62: 「△８七歩は銀を出て角で勝ち」という見方がある。▲７七角△８六銀▲６八角△６六角という変化だ。△８七歩では△７三桂も自然な手で有力だっただけに、△８七歩を選択した後手は自信を持っていそうだ。

手数67: ギリギリのせめぎ合い。

手数68: △７三桂は必須。▲６五桂を許すと先手に形勢が傾いた。

手数69: 先手は飛車の利きを７七から外せない。

手数70: △７五歩▲同歩△７六歩が見えている。先手がせかされる展開だ。▲６五桂△同桂▲同飛とさばくのは△５六桂が角金両取り。以下▲４六角と竜に当てても△４八桂成▲同金が先に入りそう。先手は困っているのかもしれない。

手数71:

手数72: 後手は攻めた。▲３七飛△７六歩に（１）▲３五歩では先手がいいと思えない。（２）▲７四歩△７七歩成▲４六角という手もあるが、それは後手も大変なので▲７四歩には△８四竜かもしれない。

手数75: 大事な一手。△５六桂の両取りを未然にかわす。

手数78: 重い形の８筋を避けて７筋の裏ルートを使った。

手数79: 苦しげに映る歩だが、後手も単純な飛車交換はできない。何といっても先手は穴熊である。

手数80: 次は△６六銀成。９五に打った銀をここまで使えたのはうれしい。

手数81: △３五同歩▲３四歩△２二角▲４四歩△６六銀成▲３五飛は景色が一変。先手の飛車が楽になる。

手数82: ▲５五飛には△６五成銀が好手だ。以下▲６五同飛に△４六竜がある。

手数85: やむなく交換に応じた。

手数86: △６六同角と取ることで▲９一角成に△７九竜を残している。

手数88: 代えて△３八歩の好手があった。▲３八同金寄と取らせれば△３九角成▲７六歩△３八馬と金を２枚取れる仕組みだ。△３九角成に▲同金も△４六竜で後手勝ち。

手数89: 本譜も△９九馬で後手がよさそうではあるが、先手も９一馬の守備力を得たのでそう簡単には倒れない。

手数91: この銀が穴熊と合体すれば。

手数92: 歩の裏から香は強力。ただ、先手にも香がある。

手数100: 形勢はまだ後手よしだが、まぎれは出てきたように思われる。後手玉も嫌な形になったのは間違いない。

手数101: ９４手目△３八同香成に▲３五桂△３四玉▲３八金寄と比べると、本譜は先手の金がひとつ前に出ている。後手に与えるプレッシャーが違う。

手数103: さらに前へ。代えて▲２六金は△２五歩や△２五香があった。

手数104: △６八飛成と△３七歩成▲同桂△３六桂の両狙い。かなり厳しい。

