手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数12: 戦型は一手損角換わりとなった。

手数15: 先手は早繰り銀の形を作っていく。後手は一手損のため、急戦となれば先手の手得が生きやすい。

手数23: 単に▲４六銀と上がっては△４五歩で追い返されてしまう。▲５六歩と突いて攻めの足掛かりを作った。

手数29: 先手は▲３五歩と突いて仕掛けを開始。

手数30: 後手は△４三銀と引いて柔軟に受ける。代えて△３五同歩▲同銀と進むと、次の▲３四歩と▲２四歩を同時に受ける手がなかった。

手数33: 銀を上がって、後手の手薄になった中央を抑える。次に▲６四銀で歩を取る狙いだ。△６三金には▲４六銀とする感じで、金を上がらせたことに満足する方針もありそうだ。見た目以上に後手の指し手が難しいかもしれない。

手数34: △６三金と上がった。いきなり攻め込むのであれば（１）▲２四歩△同歩▲２二歩△同銀▲２四飛のような攻めがあるかもしれない。またゆっくり指すのであれば（２）▲４六銀〜▲３六歩もありそうだ。

手数35: 先手は▲５八金上として自陣を強化した。△３九角と打つ手が気になるが、▲３八飛△８四角成▲４四銀で攻めることができる。後手は馬を作ることはできるが、活用することは難しい。

手数37: 見えにくい角打ちが出た。６三の金取りとなっており、（１）△６二金は▲６四銀で歩を取ることができ、（２）△６二飛は▲６四銀△同金▲８一角成で銀桂交換ながら馬を作ることができる。

手数38: 後手は△５二金と上がって辛抱する。玉から離れてしまうが、ほかの受け方は難しかったか。

手数40:

手数41: 桂を跳ねて攻めをためる。ここで△５四歩と突く手は気になる。（１）▲５四同銀△６二金引は、次の△５三歩が受からない。しかし（２）▲６六銀と引くのでは元気が出ないか。

手数42: △７五歩と突いて先手陣にジャブをかけた。次に△７六歩▲同銀△７五歩▲同銀△３九角と進めば角銀両取りとなる。

手数43: 先手はすぐに歩を取り返した。

手数44: 単に△３九角は▲２九飛△７五角成▲３五歩があった。（１）△３五同銀は▲３六歩で銀が捕まり、（２）△４三銀は▲４五歩から攻められてしまう。本譜の△３六歩に▲同角△３九角▲２九飛△７五角成に▲３五歩は、△３五同銀で角取りになる仕組みだ。

手数46: 後手待望の角打ち。飛車がどこに逃げても△７五角成で馬を作ることができる。

手数47: ▲２九飛と引いた。２筋に利きを残して反撃を狙う。

手数49: ▲４五歩と突いて攻め合いに出た。次に▲４四歩と取り込む手が残っており、△４五同歩には▲同桂が銀取りに当たる。後手は工夫が求められる局面を迎えた。

手数50: 後手は△８六歩と突いた。▲８六同歩は△８五歩▲同歩△７三桂として、次の△８五桂を厳しくする狙いがある。

手数51: そこで先手は▲８六同銀と取った。馬取りに当たっているため、後手は逃げる一手だろう。

手数52: 後手は馬を寄ってかわした。次に△５六馬が飛車銀両取りとなる。

手数53: ▲５七金直として、５六歩にヒモをつけた。また次に▲６六金とすれば馬を抑え込むことができる。

手数54: △３五銀と上がって角を狙っていく。角頭は弱点のため、先手は逃げるほかなさそうだ。

手数56: 角道を止めながら桂取りを掛ける。これで先手の桂が捕まった。

手数57: 無条件で桂を取られる訳にはいかない。先手は▲６六金と上がって馬にプレッシャーを掛ける。

手数58: 自陣に引き付けながら馬取りをかわす。

手数59: ここで▲４四銀と取って攻めを継続させる。馬の当たりを強くして攻めに勢いをつけたようだ。

手数60: 後手は△３四馬とかわした。先手に攻めの拠点を残さないよう進めている。

手数61: ▲３九飛と寄って飛車の活用をはかった。△３七歩成なら▲同飛で３筋の攻めに加わることができる。

手数62: △５四歩と突いて▲５五金と出る手を防いだ。

手数63: ▲５五歩と突いて攻めをつなげていった。△５五同歩は▲同金で攻めに金を加えることができる。

手数66: 先手の飛車に狙いを定めた。飛車が横に移動すれば後手玉への直射は避けることができる。

手数68: 代えて△３七歩成は先手の角道が通ってしまう。後手は角を働かせないよう進めている。

手数69: ▲８八玉と寄って、次に▲７一飛成を狙う。歩を成り込ませないために△７四桂や△４四馬などが考えられる。

手数70:

手数71: ハッとする銀打ち。△８三同飛は▲７二飛成が飛車金両取りとなる。

手数72: 後手は飛車取りを無視して一気に攻め合いに出た。

手数76: 後手玉も相当危ない格好だが、後手は鋭く踏み込んでいく。△７四桂と打って金銀両取りを掛けながら、先手の竜の利きを止めた。

手数77: 気づきにくい歩打ち。放置すると△７八金▲９八玉△７九馬の攻め筋が残っていた。▲７九歩は△７八金の王手を防いでいる。

手数78: 銀を取って先手玉の周りをはがしていく。

手数80: △８五歩と合わせて先手の玉頭を狙っていく。▲８五同歩は△８六銀が詰めろとなる。

手数81: 先手は▲８五同歩と取る。一度受けに回るようだ。

手数82: 貴重な一歩を入手。次に△８七歩▲同玉△８六金▲９八玉△８七銀までの詰めろとなっている。

手数83: ▲９八香と上がって詰めろを解除した。しかし先手はカナ駒がないため苦しい受けとなっている。

手数84: 金をかぶせて上部を押さえた。△８七歩▲９九玉△８八銀までの詰めろとなっている。

手数85: ▲８七桂と打って詰めろを防いだ。

手数87: 代えて▲７八同歩は△７九銀▲９九玉△８七金で受けなしだった。

手数90: △６九飛と打って今度は下からの攻め。上下の攻めで先手玉の包囲網を築いていった。

手数91: 先手玉の受けは難しかったか。先手は▲３四歩と打って攻め合いに出た。

手数92: この局面で先手が投了した。

