手数1:

手数2:

手数3:

手数4:

手数5: 先手は▲７七銀と上がった。矢倉を目指す。

手数6: 後手の指し手は△３二飛。▲２六歩には△３五歩と突いて、▲２五歩に△３四飛と石田流に構えることができる。とはいえ、２手目に突いた△８四歩がどういった影響を及ぼすのか。持久戦になれば△７二銀〜△８三銀と銀冠を目指すことになるだろうか。

手数7:

手数9:

手数10:

手数11: 右銀を４七に上がる。３六の地点をケアした。

手数12: まずは美濃に構える。

手数13: 先手は７筋の位を取った。

手数16: 後手の指し手は△８三銀。早くも銀冠を目指す。

手数17: 銀を上がって位を確保する。

手数18: 銀冠を完成させる。

手数22: 後手は７筋の歩を交換した。

手数23: がっちりと位を確保する。

手数28:

手数29: 今度は先手が８筋の歩を交換した。

手数30: 桂を跳ねて迎撃する。

手数32: 浮き飛車に構える。

手数33: 先手の作戦は向かい飛車だった。変則的な出だしから相振り飛車になった。

手数34: 歩を打って８筋を守る。７筋の位がどういった影響を及ぼすのか。

手数35: 左金を７八に上がった。大模様に構える。どんな構想を描いているのだろうか。

手数36: 後手は△６四飛と回った。次に△６六飛や△６六角を見ている。

手数37: 歩を取られないように飛車取りに突き出す。

手数38: 角を交換する。

手数40: 飛車を寄って△５七飛成を見せる。

手数41: 左金を上がって５筋をケアする。代えて▲５八玉のような受けでは飛車の横利きが止まるので△２八角と打ち込まれてしまう。

手数42: 後手は△８五桂と跳ねた。桂を持てば△５五桂が厳しい。

手数43: 先手は角を打って受けに回る。△７七桂成に▲同金を用意している。

手数44: 後手は角を合わせて対応する。

手数46: 後手は手順に左桂を活用できる格好になった。先手が神経を使う局面だ。△７七桂成▲同金△５七飛成があるので、その筋をどう防ぐか。▲５六歩と突ければいいのだが、△７七桂成▲同金△８五桂▲６七金に△７七角と打ち込まれるとイヤだろう。▲８五桂△同歩▲５六歩はあるかもしれないが、△８六歩と伸ばされると▲同飛は△９五角があるので、先手は歩を取ることができない。以下▲５八玉と上がって居玉を避けると今度は△２八角と打たれる。

手数47: 先手は再度▲６六角と打った。４３手目と違って１一の香取りにはなっていない。

手数49: 桂交換になった。

手数50: 桂打ちだ。▲６七金にはそれでも△７七角がありそうだ。以下▲７七同金は△同桂成▲同角△５七飛成、▲７七同角も△同桂成▲同角△５七飛成で、いずれも王手で７七の駒が取られてしまう。

手数51: したがって先手は銀で桂を取った。

手数53: 取った桂を７六に据える。▲６四歩や▲８四歩を見せる。

手数54: 後手は銀を打って角を取りにいく。

手数57: 銀を打って△５七飛成を防ぐ。

手数58: 飛車を引いておく。▲桂△角で後手が駒得になった。

手数59: 先手の指し手は▲５六歩。歩を突いて飛車を圧迫する。先手は駒損を取り返す展開に持ち込みたい。

手数60: 後手は銀取りに角を打つ。▲４八玉には△２八角の打ち込みがある。

手数61: 金を上がって銀を支えながら△２八角の筋に備える。

手数62: それでも後手は△２八角と打ち込む。▲２八同金は△４七角成だ。

手数63: 歩を突いて飛車を追う。

手数64: 飛車の逃げ場は４四だった。▲２八金なら△４七角成で、△４六飛が残る。

手数65: 歩頭に桂を打って角筋を止める。△３六同歩は▲２八金だ。

手数66: 後手は角で桂を取った。

手数68: 角で香を取る。駒割は後手が香得に。馬の存在も大きそうだ。

手数69: 取られそうな桂を逃げる。

手数72: じっと馬を寄る。

手数73: 銀を上がって飛車を責める。

手数74: △１四飛と逃げる。△１七飛成から飛車の侵入を目指す。

手数75: 歩を打って桂を取りにいく。△１七飛成には▲３三歩成△同銀▲４五桂で勝負するのかもしれない。

手数79: 先手が反撃に転じた。

手数80: 次に△３八馬を見ている。▲３九歩は△同馬がある。厳しい一手だ。

手数81: 玉を上がって金を支える。しかし、△３六歩が厳しいかもしれない。

手数82: 後手は△３六桂と打った。

手数84: 馬を切って決めに出た。

手数86: ▲５八桂には△４八金が厳しい。▲６七玉には△４八桂成の追撃がある。

手数87: 桂合いには△４八金が厳しい。

手数88: やはりこの手が厳しい。△５八竜の詰めろ。

手数90: この手も△５八竜の詰めろになっている。

手数91: 玉を上がって詰めろを防ぐ。

手数92: 後手の指し手は△６八飛。次に△５八飛成▲５七金に△４七竜と引くことができる。

