手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7: 先手は三間飛車で戦う。

手数8:

手数10: △４二玉と上がる。先手の三間飛車に後手の中飛車左穴熊になるのか。

手数14: △３三角と上がり、玉を深く囲えるようにした。

手数15: ▲３八銀と立ち、片美濃に構える。

手数18: 先手は三間飛車から浮き飛車にした。後手は再び穴熊に組むのか。

手数20: 端の打診は受けず、香を上がって穴熊を見せた。

手数22:

手数23: 左銀を引きつける。

手数26: ハッチを閉めてから端の突き合いに応じた。

手数29: ダイヤモンド美濃に組む。

手数31: ▲７七桂と跳ねて石田流の好形を目指す。

手数33: 相手の飛車先に歩を突き上げ、動きを見せた。△５六同歩▲同銀から▲４五銀と繰り出す順が映る。

手数34: ５筋の動きに構わず、金銀３枚で固めにいく。

手数37: 石田流に組み、好機に▲７四歩の開戦をうかがう。

手数40: ぶつかっていた歩を取り、△６四歩と角筋を止めた。▲７四歩のときに角がぶつからないようにしている。

手数41: 相手の飛車先に位を奪還した。

手数44: ▲８三飛成を見せられては銀を戻るのは仕方ない。代えて△８二飛では飛車を攻めに使いにくくなる。

手数47:

手数50: 銀冠穴熊に組み替えにいく。

手数52: 再び銀を６三に上がった。▲７四歩を防ぐ。

手数53: 銀に守られたところ、構わずに歩を突き出した。

手数54: 飛車先に歩を突き捨てた。▲６五歩の仕掛けが成立するのかどうか。

手数55: 穴熊相手に果敢に仕掛けていく。

手数57: 角を換えた。金で取り返されれば玉から離れ、△４二同飛なら▲５四歩のように飛車を狙いやすくなる。

手数59: 銀をぶつけるのではなく、振り飛車の命といわれる左桂をさばいていく。

手数60: △５七歩と垂らして反発した。

手数62: 飛車取りに角を放つ。歩の犠打で金を離れ駒にさせた点を生かせるかどうか。

手数63: 横にかわし、角を質駒にした。

手数66: 角を切り飛ばし、手にした金で飛車を取りにいく。飛車を取れば金銀の離れた先手玉を攻略しやすい。

手数67: ▲５三歩成を見せつつ、角で王手をかけやすくした。

手数69: 飛車取りに角を打って反発。△５一飛に▲７二角成と馬を作れる。

手数70: 一段目に引き、▲８一角成を許さない。

手数73: 五段目に角を並べる。ハッチの締まっていない穴熊に王手がかかった。▲７三桂成の狙いもある。

手数74: 軽く歩を突き出して王手を防いだ。▲４四同角に△３三金右が当たる。

手数77: 天王山に戻った。馬は作らず、後手玉をにらんでおく。

手数79: 金は取り返さず、成桂を作って後手玉を目指す。

手数80: ならばと△８五金と引き、金は渡さない。

手数81: 角を細かく使い、▲４三成桂△同金上▲同角成の攻めを見せる。

手数83: ▲４五歩と突き出し、こじ開けにかかった。△５九飛の金銀両取りは▲５八銀でひとまず受かる。△５九飛には▲５八銀で、先手は▲４四歩の取り込みだけで勝とうとしている。以下、△６七歩だろうか。後手に何か手段があるような気はする。持つとすれば後手か。

手数84: 飛車を使って狙われた４筋に利かせた。先手は▲５一歩成△同飛▲３二角成△同金▲４四角で攻めがつながるかどうか。

手数85: じっと馬を作った。先手は金損だが、後手は７、８筋で金銀が遊んでいると見れば、駒割りは互角の見方もできる。

手数86: 遊んでいた銀を活用した。▲６五同銀に△６九飛が銀の両取り。以下、▲３八銀打には△６五飛成が角取りになる。

手数89: ガッチリと銀を投入した。がら空きだった脇腹が締まり、安心感がある。

手数91: 馬を竜にぶつけながら角取りを受けた。馬になって戻ってきたことで４四の地点に利き、竜が逃げれば▲４四歩と取り込める。

手数92: 清算に応じた。▲５四同成桂に手番を握る。

手数94: じっと金を寄り、再びハッチが閉まった。

手数95: 先手はいつの間にか自玉の憂いがなくなっている。攻め駒が急所に利いてきた。

手数97: 三段目に飛車を下ろす。▲４三歩成△同歩▲４二歩△同飛▲５三成桂△４一飛▲４二歩から▲４三成桂の攻め筋を見せる。

手数98: 金を引いて頑張るが、やはり▲４三歩成△同歩▲４二歩の筋がありそうだ。△４二同金に▲５三成桂と当てる。

手数99: 竜を作り、▲５一歩成△３一飛▲５二との攻め筋を見せた。

手数101: 竜取りに構わず、飛車を取りにいく。

手数103: 後手は▲５一飛〜▲３一との攻めが分かっていても受けづらい。

手数104: 中段に飛車を打ち、△４八銀の攻めを見せた。先手は▲４六金から飛車を取って二枚飛車を狙うのが速い攻めになるか。

手数105: 飛車を合わせ、△４七同飛成に▲同金と金の引き寄せを図る。

手数106: ▲４五飛のタダ取りを見せられては、交換に応じるよりなかった。

手数108: ５筋に飛車を下ろし、△５八銀を狙う。

手数109: 構わずに▲５一飛と下ろした。▲３一と〜▲４三歩成まで回れば▲２一とまでの詰めろになる。

手数112: 角の手持ちを増やし、△６六角と放つ。△３九角打の攻めを見せた。

手数114: ▲７一飛打〜▲３一とで▲２一と△同金▲同飛成までの詰めろがかかる。

手数115: 鬼より怖い二枚飛車。▲３一とが受からない。

手数116: 囲いの銀をにらみながら、▲３一とに△同金でこの角が受けに利くようにした。

手数117: 慌てずに桂を補充。どこかで▲３三桂と放つ狙いがある。

手数120: 端に手をつけ、紛れを求めた。

手数121: 成桂を寄り、飛車が５筋から動いた際の△５五馬を防いでおく。

手数125: 香を１六に呼び込んでから交換に応じた。△１六同香に対し、１五に駒を打つ空間ができる。

手数129: この手を見て後手が投了した。先手玉に寄りはなく、後手は収拾がつかない。

