手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8: 戦型は矢倉。△７四歩は急戦含みの手だ。

手数9:

手数10: ２筋の守りだけを考えれば△３二金のほうが手厚い。本譜は左美濃に手早く囲って速攻するイメージか。

手数12: 早繰り銀の速攻だ。

手数13: ▲７九角から▲４六角の準備。４六に角を出れば後手の攻めを牽制できる。

手数14: 攻める前に玉を囲う。

手数16: 早繰り銀だ。△７五歩▲同歩△同銀から△８六歩が基本的な狙い筋となる。△７三桂も指せるようになった。

手数17: △７五歩▲同歩△同銀には▲４六角で対応できる。

手数19: 先手は積極的に動いた。△６五同銀は▲４六角に△９二飛の一手になる。

手数20: 後手は銀を引いて２手損。ただ、先手も６筋の位が伸びすぎになる恐れがある。

手数21: ▲２四歩△同歩▲同角と歩交換を済ませながら△２三歩に▲４六角とするつもりだ。

手数22:

手数26: △２三歩なら無難だった。△４四角は▲２四歩に△２六歩と上から歩を打つ方針か。

手数27:

手数28: △６四歩を見せた。後手の方針はわかりやすい。一方、先手は囲いからして難しい。▲６八飛から右に玉を囲うのか、それとも８八方面に移動するのか。

手数29: 代えて▲４八銀は壁になる。先手はもう３九銀型のままで戦うのだろう。かなりユニークな指し回しだ。△６四歩には▲４五桂かもしれない。△６四歩▲４五桂に（１）△６五歩は▲２二歩△同角▲５三桂不成が決まる。（２）△５二金右だと▲６四歩△同銀▲２二歩△同角▲２四歩が嫌みだ。以下△２七歩▲同飛△２六歩▲同飛△４四角で受かるとはいえ、後手は歩を消費させられる。

手数30: 決戦の順もあるので一手一手が重い。△２六歩は先手の飛車を止めつつ、▲６八飛に△２七歩成を見せて飛車を金縛りにしている。▲３五歩△同角▲同角△同歩▲２六飛は△１五角が怖い。

手数31: △３五同角▲同角△同歩▲２六飛△１五角には、▲２二角△４二玉▲２七歩△２六角▲同歩を考えているのかもしれない。後手も飛車１枚ではすぐには攻め込めない。▲２六同歩に△３六歩▲４五桂△３七歩成のような感じになると思われるが、▲２二角が入っているのも大きい。

手数32: △３五同歩は少し意外だ。▲２六飛で先手の言い分が通ったのではないか。

手数34: しゃがんで受けた。この展開なら先手に勢いがある。

手数35: △６四歩▲４六歩△６五歩▲４五歩の競争で勝とうとしている。

手数36: △６二飛とした以上、どこかで△６四歩を指さないと形にならない。

手数38: 角の早逃げで△１五角を用意した。

手数39: ▲４八銀は△１五角に備えて桂にヒモをつけている。４筋の壁を嫌うなら▲３八銀もあった。

手数41: 先手は２手前に銀を上がったので、△６六歩には▲６八歩か▲５八金と受けるだろう。

手数42: ▲３五角は見た目以上に痛いのか。▲７五同角に誘導しようとしている。

手数43: ▲５三角成の先手。

手数44: 後手を引いたが、３五の歩はしばらく安泰だ。

手数45: △６六歩を消し、角の退路を確保。

手数47: △１五角を消す。水面下に激しい変化を秘めつつ、盤上は渋い展開になった。

手数48: 金銀を盛り上げて守備ラインを上げていく。▲５七角には△３四銀で歩を守ることになりそうだ。

手数51: 持ち歩の数に着目すると、先手が少しよい。

手数52: ５筋は先手の角頭であり、玉頭でもある。後手としては攻めたい筋だ。△４二角も視野に入れているか。

手数53: ３五歩に狙いをつけた。後手が動きを見せないようなら▲５八金から▲６八玉と自陣を整備してもよさそうだ。

手数54: 後手は動いていくしかない。

手数56: すぐに△６四銀は▲同銀△同飛▲７五角で飛車と玉を串刺しにされる。△４二金右はどうしても必要だ。

手数57: 銀を戻して３五の歩取り。後手は△５五歩▲同銀△６四銀▲４六銀に△５五歩とするための１歩がない。

手数58: あの手この手で嫌みをつける。

手数59: ▲５五歩は△６四銀でかえって争点を与えた。

手数62: ▲３四歩を打たれてはいけない。△３四歩と先着した。

手数63: ▲７一角成に飛びつかない。渋い手だ。

手数64: 前手が▲７一角成にも△３五銀だっただろう。本譜は▲２八飛△５六飛に（１）▲５八飛△同飛成▲同玉とするか、それが怖ければ（２）▲６九玉となる。△３五銀から△５六飛に備えての前手▲６八角だったか。５七に角を利かせておけば、△３五銀▲２八飛△５六飛▲５八飛△５七歩は▲同飛と取れる。

手数65: ▲２九飛は△５六飛に▲５八飛のコースにならない。▲６九玉で耐えるのか。

手数66: ▲３八歩△５六飛▲６九玉は△３七銀成▲同歩△５七桂で手が続く。

手数67: 軽やかな手。△２五同銀▲同飛△５六飛は▲５八歩で耐えているか。

手数71: ２９手目▲３七桂あたりの局面を比べて、先手陣は見違えるほどよくまとまった。銀桂交換で駒得もしている。後手は７三銀が働いていない。

手数72: 後手陣は３四の角頭が弱点だ。△５五角とさばけるようにしたいのだが、５六飛型で△５五角は飛車が狭かった。

手数73: △５五角の前に先回り。とはいえ、△５五角▲同角△同飛は△３七角の王手香取りが残る。後手から角ぶつけはあるか。

手数74: 先手もすぐに強力な攻めはない。この歩は入りそうだ。

手数76: △６六歩に▲同銀は△５四桂がある。▲同歩にも△５四桂は有効だ。

手数80: 手順を尽くして△５五角を実現させた。

手数81: ▲４四歩と軽く突き出した。飛車の横利きを通して角取りだ。▲４四歩は筋だが、△１九角成▲４三歩成△同金直▲４四歩△同金で決まるのかどうか。まだ先手がよさそうではある。

手数82: △３七角成もある。ただ、▲６九玉で是非は難しい。「王手は追う手」になる場合もある。

手数84: △５七飛成▲同歩△４七馬を狙っている。

手数85: 持ち歩に余裕があれば△８七歩が手筋だが、歩切れを承知で指すかどうか。

手数88: △８七歩を決めずに△３七馬▲４八飛△同馬▲同金△３九飛としても▲８八玉と逃げ込まれてしまう。

手数89: 柔軟な感覚の受けだ。△３七馬▲４八飛△同馬▲同金△３九飛に▲７八玉を用意した。

手数90: 歩切れを解消。▲４三歩は覚悟している。

手数91: ▲６五歩は角の活用を見込んでいる。力をためきってから攻めるつもりか。後手としては、先手の攻めを催促する手があればいいのだが。

手数94: ▲７五角を消しながら６五の歩取り。だが、新たに▲８五角が生じた。

手数95:

手数97: ▲５七飛を狙っている。相手の裏を取るような華麗なさばきだ。

手数100: 飛車交換はできない。後手は再び歩切れに。

手数101: 盤の片隅から中央に転戦できた。あとは６筋の歩を伸ばしていけばよい。

手数102: 馬の利きを通しながらの金取り。

手数104: 後手は金桂交換に成功したが、１九香を取り逃した面もある。香があれば▲６四歩に△６五香の切り返しを用意できた。

手数105: 受けにくい。

手数106: やはり馬の利きを利用しないことには粘れない。

手数109: 先手は駒損することなく、と金作りを実現させた。わかりやすくなってきたか。

手数110: △２五飛から△２九飛成までに２手かかる。

手数111: ４二金を目標に攻めれば▲７五角の威力が上がる。

手数112: 逃げ道を確保して粘る。

手数114: 下段に残るよりも上部を目指したほうが粘れる。▲７五角には△３三玉だ。

手数117: １１５手目▲５三銀は５五飛の利きを遮る意味もあった。

手数118: 上部脱出は断念。△１四歩が入っていれば話は違うのだが。

手数119: △４二同金に▲同馬は詰めろではない。しかし、後手が先手玉に迫る手段もないか。銀を１枚渡すだけで後手玉は詰めろになってしまう。

手数122: この一瞬なら銀を渡せる。

手数125: 後手に２歩あれば△８七歩▲同玉△７六銀▲同玉△６六歩▲同飛△６五金と迫っていけるのだが、現 réalitéは歩切れだ。

手数129: 自玉に詰みなしと読んだのだろうか。△８七銀打▲同飛△同銀成▲同玉△６五馬▲７六歩△同馬▲同玉に△７一飛といった攻防手もある。この判断が正しいのか、後手に何かあるのか。

手数130: 踏み込んでいく。代えて△８七歩は▲７九玉で届かなかった。△８七銀打に▲７九玉は△７八歩で危ない。

手数137: 攻防手の威力を落とす。うまい手があった。後手は△７六馬が利かない。

手数140: △７六馬としても▲同玉で詰まなかった。

手数141: 何度でも腹銀。後手はもう逃げ道を開けられない。

手数143: △３三同桂▲２一銀不成△同角▲２二飛で詰み。

