手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数11: ９筋の端歩の交換が入った。

手数12: 積極的な角打ち。△９九角成の１点狙いで、先手の受け方によってそのあとの方針が変わりそうだ。

手数13: 先手は角を投入して受ける。

手数34: 後手は右玉に構える。

手数37: ９筋に続いて、１筋も端歩の交換が入った。

手数38: ドキッとする銀上がり。▲２二角が気になるが、△１三桂が下段飛車を生かした受け。飛車の横利きを通すことで、１一香にヒモがつく。

手数39: 先手は腰掛け銀に構えた。

手数40: 金を引いて一安心。

手数41: 手薄になった２四の地点で歩交換を狙う。

手数45: 歩交換をしながら、手順に下段飛車へ構える。

手数48: 桂の活用。盤面全体の駒をフル活用している。

手数49: 玉の入城。後手のバランス重視の構えに対して、先手は玉の堅さが主張だ。

手数51: 銀矢倉を完成させる。積極的に動くなら▲４五歩の仕掛けも考えられた。

手数52: 上部を手厚くして先手の攻めを迎え撃つ。

手数53: 好打の角打ち。両にらみとなっており、▲３五歩や▲７五歩の攻めを見せている。▲５六角は代えて▲４七角や▲３八角もあったかもしれない。△５五歩と突かれるが、突かせたほうが得と判断したのだろう。そのあとの進行として▲３八角△５四金▲５九飛△５一飛▲７五歩が挙げられる。最終手の▲７五歩が右玉の急所を突いた手で、△７五同歩は▲７四歩で桂が捕まる。後手玉は薄いため、対応を間違えると一気に差がついてしまう。

手数54: △５五歩と突き、働きの大きい角を移動させる。

手数55: 先手は角を引く。

手数56: 飛車を浮いて桂頭を補強した。▲７五歩△同歩▲７四歩は△同銀で問題ない。ただし、一段目に飛車の横利きがなくなったため、全体的に守備力が落ちている点は気をつけたい。

手数57: 先手は▲５九飛と着手した。５筋に飛車を転換して▲５六歩からの歩交換を狙う。後手に５五歩と突かせたのをとがめる方針だ。

手数58: 後手は４筋の歩をぶつけた。角頭を狙った一手で、▲４五同歩には△５四銀左〜△４五桂が攻めの一例。

手数60: 力強い。後手は金をまっすぐ上がり、５筋の位を確保しながら△４五桂を狙う。

手数61: ▲５九飛（５７手目）からの継続手。本格的な攻めが始まった。

手数62: △５六同歩▲同銀と進むと、先手の攻め駒が増えてしまう。後手は歩を取りながら反撃していく。

手数63: 歩を取り込みながら金に当てる。駒の勢いは先手のほうがよさそうだ。

手数64: 金の特性を生かしたかわし。

手数65: △３七桂成▲同金△４八角と進むと飛車金両取りが掛かってしまう。先手は桂を取って安定した形を保つ。

手数66: 桂交換まで進んだ。後手としてうまく先手の飛車や角を押さえ込みたい。▲７五歩△同歩▲５四歩からの展開が考えられる。△５四同銀左なら▲７四歩がある。受けるなら▲５四歩に△５五歩だが、何かありそうだ。

手数67: 指摘されていた攻め筋。先手は右玉の急所にめがけて、積極的に攻めていく。

手数68: 後手は△７五同歩と応じた。先手の攻めを正面から受けとめる。

手数69: 桂頭に歩をたたいて後手陣を乱していく。

手数72: ▲７四角はさわやかな手。ここで▲５四銀が考えられる。△４四金には▲４五歩、△４六金には▲４七歩といった感じか。

手数73: ５筋の歩を伸ばして突破を目指す。▲５三歩成の１点狙いで、受けるなら飛車先を止める△５五歩が予想されている。

手数74: 後手は△５五歩と着手。飛車先を止めることで攻めの緩和をはかった。

手数75: 飛車先を通すのは先手の急務だ。５五歩にヒモをつけている金を照準に定めた。まずは金先に歩を打って、対応をうかがう。△４六同金なら▲５五飛と走れる。

手数76: 金を引いて辛抱する。

手数77: 直前に金を引かせた効果で、王手金取りになっている。

手数78: 玉をまっすぐ上がる。力強い対応だ。

手数81: ５五歩を支える駒を狙うのが急所の攻め。じっと歩を突いて銀に当てた。△４五同銀は▲５三金△７二玉▲５五飛がありそうだ。最終手の▲５五飛が銀取りとなっており、△４四銀には▲４五飛△同銀▲６三銀が王手手飛車となる。直線的な攻め合いになれば、先手玉の銀矢倉が堅い。

手数82: 桂打ちの王手で攻め合いに出た。▲７六同銀直△同歩と進みそうだ。そこで▲４四歩と銀を取るか、▲７六同銀△同飛▲７七歩と受けるか分かれそうだ。

手数83: 桂を取って王手を防ぐ。

手数84: 後手としては大きな銀取り。△７七銀の王手を見せて、先手玉にプレッシャーを掛ける。

手数85: 銀を取って持ち駒を増やす。次は▲５三金△７二玉▲６三銀が王手飛車取りだ。後手は忙しい局面を迎えている。検討では△７七角が有力視されている。王手飛車取りとなっているため、▲７七同桂△同歩成▲同金△同飛成▲同玉△６五桂打までは進みそうだ。そこで（１）▲６五同歩は△同桂▲６八玉△７七角▲５八玉△５七銀▲同金△同桂成▲同玉△５六銀▲同銀△同歩から詰みそうだ。ただし、△６五桂打に▲６八玉が好手で、上記（１）の手順で進んだあと△５六同歩に▲６七玉で詰まないのではないか。以下、王手を続けるなら△６八金だが、▲７七玉△７八金打▲７六玉△７五歩▲同玉△７四歩▲８四玉△９三銀▲８三玉でギリギリ耐えている。まとめると、△７七角から迫れば先手玉はかなり危ないが、正確に対応すれば詰まないと見られている。

手数86: 後手は△７七銀と着手した。

手数87: 先手は玉をかわす。

手数88: 桂のただ捨て。７七の地点に数を増やしながら、玉の逃げ場所を広くする。▲８三銀と打つ手が考えられる。飛車を入手すれば後手玉を寄せやすくなる。

手数89: 飛車先に歩を打つ。△７五同飛と取らせて技を掛ける狙いだ。検討では△７五同飛には▲８四銀が有力視されている。△７八銀成▲同銀△７七歩成で先手玉に詰めろが続くが、以下▲７七同桂△同桂成▲５三金△７二玉▲７三歩と進めば王手を続けながら飛車を取れる。

手数90: 飛車は逃げない。後手は金を取った。

手数91: 先手は銀を取り返す。△７五飛には▲６七桂が痛いので、△７五飛以外の手だろう。後手が描く寄せの構想は何か。検討では具体的な攻めが見つかっていない。

手数92: 桂を成って詰めろを続ける。▲７四歩は△９七銀▲同玉△８八角▲９八玉△９九角成▲同玉△８八金までの詰み。

手数93: 先手は▲７七同桂と手を戻した。検討では△７七同歩成▲同銀△７五飛が詰めろになっていないため、▲６七桂で先手勝ちと見られている。以下△７七飛成は▲７五桂打から後手玉が詰んでいる。

