手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数10: 戦型は後手四間飛車の対抗形に決まった。

手数11:

手数12:

手数13: ▲７七角と上がって、▲８八玉から深く囲う順を作る。先手は持久戦模様だ。

手数17:

手数20: ７筋の歩を突いて、玉形を縦方向に膨らませていく。これで△７三桂の活用も可能になった。

手数23: ▲９八香と上がって、穴熊に囲う意思を明示。

手数24: 代えて△７三桂もあるところだったが、△５四銀と左銀を前線に繰り出して、次の△６五銀を見せた。

手数25: 代えて（１）▲６六歩や（２）▲６六銀も自然だったが、強く▲５五歩と突いて、△６五銀を催促した。

手数26:

手数27: ７六歩を直接は守らず、角の位置を調整。現局面で△７六銀には、▲２六飛△６五銀▲７七桂で対応できているという判断だろう。

手数28: △７六銀はあとの楽しみにして、まずは△４五歩と自身の大駒に活を入れた。

手数29: △５五角に▲６七金と上がる受けを用意しながら、６五銀を追う。

手数30: 後手は１歩得になった。

手数31: ５五歩を支えつつ、６八角の利きを軽くした銀立ち。先手はこのあと▲７八金〜▲９九玉〜▲８八銀で穴熊に囲いきることができれば一安心だ。怖いのは現局面で△５四歩だが、以下▲２四歩△同歩▲５四歩の進行は、先手も戦えているか。

手数32: △５四歩といくのは自重。右銀を使っておく。

手数33: 自玉周りの整備はあとに回して▲３六歩と突き、▲３七桂や▲２四歩△同歩▲３五歩といった攻め筋を作った。

手数34: 仮に先手がゆっくりしていれば、ここから△６四銀〜△５五銀というように２枚目の銀も攻めに使っていく展開もありそうだ。

手数35: 先手はここも玉周りの手入れは省略して、▲２四歩と動きを見せた。

手数37: ２筋を軽くしたうえで、▲３七桂と右桂を使う。次は▲４五桂だ。

手数38: 飛車を２筋に回って、堅実に受ける。現局面から▲４五桂△４四角▲２四飛には、△同飛▲同角△２九飛がある。

手数39: △２二飛と回らせたことに満足してか、▲７八銀と玉形を引き締めて手を渡した。

手数40: この△５一角は、先手の右桂が４五あるいは２五にきた際に角に当たるのを先避けした意味か。後手は、先手の出方次第では次に△２五歩と突いて勝負にいくつもりなのかもしれない。

手数41: ▲８六歩は、７六銀の退路を断つ歩突きだ。先手に持ち歩が入れば、▲７七歩で銀を捕獲する狙いができる。

手数42: △６四銀と出る。現局面で▲４五桂には、△７三角で戦えるということだろうか。

手数43: 先ほど▲８六歩と突いた流れに沿って、持ち歩を得る。

手数44: 跳ねてきた桂を捕獲する。これは以下▲７七歩△４五歩▲７六歩という取り合いになりそうだ。

手数47: 駒割りは銀桂交換で、先手がわずかに駒得になった。

手数48: 飛車先の歩を伸ばしていく。

手数49: ６四の銀を引かせにかかった。

手数51: 自玉のコビンを埋めながら、次の▲５四歩を狙う。先手好調の流れになってきたか。

手数52: 代えて△３三角は、▲３五歩の角頭攻めがうるさそうだった。こちらも攻めに活路を求める。

手数53: 気持ちのよい突き出し。現局面から△２七歩成▲２二角成△２八との飛車の取り合いは、以下▲５三歩成△同金▲５四歩△同金▲２一馬ではっきり先手優勢だ。

手数55: 歩切れを解消しながら、後手陣を乱しにかかる。

手数57: 金銀の連係を強めつつ、△２七歩成に▲５八飛の転回を可能にする。

手数59: 代えて▲５八飛から△３七と▲３五歩△２九飛成▲３四歩という順も有力そうだったが、△３七とと寄らせないように、飛車を２筋に居座った。

手数60: ▲５九飛の転回を防ぐ、手筋の歩。

手数61: ５八歩が残ったまま△２八とと入られると、２九の飛車が助からなかった。

手数62: 後手はここまでくると先手の飛車の働きを押さえながら２筋を突破することができており、少し前の局面と比べると盛り返したといえるか。

手数64: 香を取って駒損を回復しつつ、２八に飛車を成り込むためのスペースを作る。代えて△３八ともあっただろう。

手数65: ▲５五銀と天王山に進出して、次の▲５四歩を見せた。現局面で△５四歩なら、▲４四銀でどうか。

手数66: 飛車を成り込んで、竜の活躍に期待する。

手数67: ５九飛の縦の利きを軽くする。

手数68: ５筋を安定させる歩打ち。

手数69: 先手に攻めの順番が回ってきた。

手数71: 駒をさばいていく。

手数73: 次にこのまま▲５三歩成が実現すれば、先手が悪いということはなさそうだ。後手はどのように食らいついていくか。

手数74: ５九の飛車取りに竜を入り込んで、応手を尋ねた。

手数75: 金打ちで竜をはじきにかかった。現局面から△５九竜▲同金の進行は、竜が消える後手が嫌か。

手数76: 竜を逃げながら、持ち歩を得る。

手数79: 代えて▲５三同飛成は以下△４九竜▲５二銀△７九銀▲７七玉△６二金打が予想される進行で、先手がまずそうだった。

手数80: 左桂を跳ねて、３三の地点を空けた。現局面で▲５二銀には△３三角ということだろうか。

手数81: △３三角を防ぐ馬寄り。次こそ▲５二銀が厳しそうだ。

手数82: 自陣で負担になっている角を、相手陣をにらむ位置に出ていく。後手に手番がくれば、△６六香がある。

手数83: 攻めの幅を広げる突き出し。

手数84: 代えて△６四同歩は、▲６三銀があった。

手数85: 目障りな２四の角を狙って、▲３四馬と引いた。これは△６八角成を催促した手といえそうだ。

手数86: 後手としても、もう角を逃げているような余裕はない。

手数88: ▲６一馬と切り込まれる筋を防いだ歩打ち。

手数89: 歩の小技で手を続ける。△６二同金に▲５一銀でからんでいくつもりだろう。

手数90: ▲６二歩をひとまず手抜いて、△８四桂などの攻めの手を利かせることも考えたのかもしれない。

手数91: ▲６二銀成からの寄せを見る。

手数95: 金銀交換から▲２五馬と桂を補充し、次の▲５四桂を狙った。

手数96: 攻防の香打ちで頑張る。

手数99: ４九金を取られることを恐れずに、踏み込んでいく。

手数100: この△４九竜は、△７九銀以下の詰めろになっていそうだ。

手数101: ４九竜の横利きを遮断する底歩。

手数102: ▲５二馬や▲５二飛成を防ぐ金打ちで、いったん我慢した。

手数103: △６六桂と打たれる筋を消しながらの攻め。現局面で△７三銀とかわしても、▲８五桂の追撃がある。

手数104: 玉の早逃げで、延命を図った。

手数105: 馬の位置を調整して、攻防に働きやすくする。

手数106: ６七香の利きに構わず、△６五銀打。先手は５四飛を目標にしながら攻め手を組み立てにいくつもりのようだ。現局面で▲６五同香なら、以下は△同銀▲３四飛△６四桂という進行が考えられる。

手数107: 飛車を銀と刺し違える。これは勝ちにいった手か。

手数111: 厳しそうな桂が入った。対して△７二金寄などとかわしても、▲６二銀で先手がいけそうだ。

手数112: 開き直って攻める。後手の手駒がもう少し増えれば、△８七香▲同銀△９九銀▲同玉△８七桂不成という筋で先手玉に詰みが生じてもおかしくない。

手数113: 堂々と▲６二桂成。自玉は大丈夫と見切ったか。

手数115: 自玉の受けにも利かせながらの王手。対して△７三金は、▲７一銀△９二玉▲９三金以下の詰みがある。

手数117: これは詰ましにいった手のようだ。

手数122: 代えて△５一玉とかわしても、▲６二金打△４一玉▲５二金寄以下で詰みだった。

手数123: この局面で後手が投了した。以下は△６二玉▲７三銀成△５三玉▲４四金△４二玉▲３三金△５一玉▲４三桂△６一玉▲６二金までで詰みだ。

