手数1:

手数2:

手数3:

手数4:

手数5:

手数7: 端歩を挨拶しなかった。

手数8: 端を突き越す。

手数10: 四間飛車に構えた。

手数17: 持久戦志向の角上がり。

手数23: 穴熊を目指す。

手数28: 後手は美濃と穴熊を含みにしている。

手数29:

手数30: △４五銀はすごい手だ。▲３八飛に△２四歩▲同歩△２二飛▲２八飛に△２四飛とぶつけるつもりだろう。先手玉が未完成だからという主張だが、後手も美濃囲いを完成させていないので驚きだ。△７二銀▲９九玉を入れてから動くほうが自然に見えるが、▲９九玉ではなく▲７八金と離れ駒をなくす手を警戒したのかもしれない。△４五銀に▲２六飛は△１五角が嫌みだ。飛車を引くと△３六銀がある。

手数31:

手数32: ▲４六歩は△５四銀なら▲３五歩△同歩▲同飛で難しそうだが、△４六同銀▲同銀△４五歩▲５五銀△４六歩が成立するかもしれない。

手数34: 後手は△４六同銀の変化に踏み込まなかった。

手数37: △２四飛▲同飛△同角に▲２二飛△２八飛▲７八金△３三桂が予想される。▲２二飛に代えて▲３一飛は金桂両取りでも、△２八飛▲７八金△５一角で、先手は金も桂も取れずに困りそうだ。

手数41: ▲３一飛と打った。△２八飛▲７八金に△５一角〜△４三銀〜△２二飛成で飛車が危ないと思ったが、△５一角に▲３七桂と使って戦えると判断しているのだろう。

手数42: ▲７八金か▲７八銀、どちらがよいかは悩ましい。

手数45: 後手も一気に攻めるわけにはいかないので、△７二銀と自陣に手を入れるのが自然に見える。

手数47: 角の利きを通す。

手数50: 端に角を出た。４二で途中下車したのがポイントで、先手の飛車を追い返すことに成功している。

手数54: ２一の桂は助からないので、相手の桂を取りにいく。

手数56: 竜をぶつけた。長くなりそうだ。形勢は振り飛車ペースに見える。先手が穴熊に潜っていないことや、９筋の位が大きいからだ。

手数57: 竜の交換には応じなかった。

手数58: 切り札の端攻めを放った。▲９六同歩に△９七歩▲同香△８五桂と嫌みをつける。

手数66: 馬を好所に引きつける。次は△７六銀が気持ちよい。

手数67: 玉頭に攻防手を放った。

手数70: 竜と馬の利きで歩の防波堤を作る。

手数71: 玉頭に集中砲火する。

手数72: 玉頭は双方の生命線なので、丁寧に受ける。

手数74: 両取り逃げるべからず。▲５四桂なら△９六歩と攻める。

手数77: ▲６四馬から▲７四桂を狙う。

手数80: 馬を引いて、▲６四馬を防ぐ。

手数81: 竜と馬の利きを遮る。

手数83: ねじり合いになった。△６五桂が入ったのは大きい。歩が入れば△９六歩と打てるため、振り飛車ペースだと思われる。

手数85: 歩をさらに合わせた。△７五同歩に▲７四銀か。

手数87: たたいた。△７三同銀に▲８五桂が当たる。

手数89: ▲８五桂が抜群の味で、居飛車がよさそうだ。△８四銀は▲７四銀で困る。

手数94:

手数95: 敵陣の隅で眠っていた竜に活を入れる。

手数96: 竜の威力を緩和して粘る。

手数97: 割り打ちの銀で迫る。

手数98: 端に歩を垂らして嫌みをつけた。金が入れば△９八金の１手詰め。

手数99: △５二同馬は▲６四馬で後手が勝てない。

手数101: 玉の逃げ道を広げて、詰めろを解除する。

手数106: 後手の追い込みは足りない気がする。▲７六同金△同歩▲６三銀成で、以下△同金は▲４二竜がある。かといって▲６三銀成に先手玉を詰ますのも難しそうだ。

手数109: 自玉は詰まないと判断して踏み込んだ。△７七歩成▲同銀△同桂成▲同玉△２七竜は▲３七歩がぴったりだ。

手数115: △７八銀に▲同玉だと△７七金から危ないが、▲５八玉△３八竜▲４八香でぴったり受かる。直前に▲５九桂と合駒したのが正確な応手だ。▲４八香以下△４七金を▲同桂と取れるようにしている。先手玉は思っていたよりも危なかった。

手数116:

手数118: よく見ると▲４八香は△６七銀成▲同桂△４七金▲６九玉△４九竜がある。見た目より、先手玉はかなり危ない。△６七銀成に▲同銀は△６八金▲同玉△４八竜がある。

手数121: この局面で後手が投了した。△７八金▲同玉△７七歩成▲同銀△４八竜▲６八銀打△７七桂成と迫っても、▲同玉から上部に逃げられて詰まない。△６三金と手を戻すのは、▲４二竜△７二金▲９二金から詰む。

