手数1:

手数2:

手数3:

手数4:

手数5:

手数7: 向かい飛車を採用した。

手数16: 角交換型に進んだ。

手数22: △５三銀右に代えて、バランスを重視するなら△６三銀だった。以下△７四歩〜△７三桂〜△８一飛〜△６二金と一段飛車を目指す構想になる。

手数26:

手数27: △４四歩〜△４三銀から玉を固めたり、位取りを目指すことになりそうか。

手数28:

手数29: △３五歩〜△３三銀上〜△３四銀と組みたいが、３筋の位を取った瞬間に▲４五歩と突かれてしまう。△同銀は▲７一角なので、△５三銀引でどうか。

手数30:

手数31: 木村美濃を目指す。もし先手が銀冠に組みたいなら、２９手目▲４六歩に代えて▲２六歩が考えられた。

手数32: 端攻めを含みに銀を出た。

手数33: 木村美濃を完成させる。あとは左辺の形をどう作るかだ。

手数35: 金を上がり、先手陣はバランスがよくなった。

手数38: 先手が３筋の歩を突いたことに目をつけて、△３五歩と動く。▲同歩△同銀右と進んだときに、２筋の銀のおかげで▲７一角が両取りにならない。▲４五歩の反発は△同銀▲３五歩に△５六銀▲同銀に△４六角の王手金取りで困る。

手数42: 後手は３筋を交換することに成功した。

手数43: 端は薄くなるが、▲４五歩に期待する。４筋の銀を下がらせれば、▲５五歩△同歩▲同銀と５筋を交換できるようになる。

手数44: 先手は１筋の端攻めを緩和するために▲３九玉から▲４八玉が自然に見えるが、玉を左辺に移動させようとすると△８六歩▲同歩△８八歩▲同飛△７九角▲７八飛△６八角成▲同飛△８六飛▲８八歩△８七歩が気になる。

手数45: △２五桂とぶつけられるのを警戒した。

手数46:

手数47: 先手が仕掛けた。△５五同歩に▲５九飛から▲５五銀となる。後手玉は薄いので、攻め合いは怖い。

手数49: 銀交換すれば、▲４一銀の割り打ちで薄くできる。

手数50: △１五歩は２筋の銀に活を入れる手。端攻めに使わないと、遊び駒のまま残ってしまう。

手数53: △４五同桂▲同桂△８七歩成は▲３四桂と迫られるので、△５三銀と引くのが自然か。８筋の歩はどちらも取りたくない。▲８六歩は△同飛で速くなるし、△８七歩成は▲８三歩△同飛▲６一角を与えてしまう。

手数57: △３四銀は▲４六桂、△４四歩は▲７一角で困る。

手数58: 凄みのある角打ち。▲４六同銀△同銀▲３四桂△２一玉▲４一角は大丈夫か。

手数63: ▲４一角を打たないということは、△３七歩に▲２七金と我慢するつもりなのだろう。

手数64: 金が手に入れば、▲４一角に△３一金打で粘れるようになる。

手数66: しつこく金を狙う。▲４六飛は△４八桂成▲同飛△３八金で飛車を取れる。

手数67: 玉のそばの金を取らせるわけにはいかなかった。

手数68: ▲３八同玉は△３七銀打と銀にヒモをつけてから△６八桂成と金を取られてしまう。

手数74: 先手に手番が回った。しかし、後手はカナ駒をたくさん持っているので、受ける楽しみがある。▲４一角は△３一金打で忙しい。

手数75: まずは▲２二銀からの詰めろをかける。

手数76: 代えて△４四銀は▲６四角と飛車取りでかわされるのが嫌だったか。

手数77: △２五同銀は▲３三角成△同金▲２二銀。

手数78: 玉に圧をかけていた桂を外す。

手数80: ▲３七同玉は△４五桂の筋ができる。

手数82: 金を打って、角のにらみを封じた。

手数86: 成桂の活用が間に合いそうか。銀を取れば△３八銀が厳しい。

手数89: 後手が詰めろを続ければ勝ちの局面になっている。先手は攻めたものの、次の▲３二銀成に△同玉で後手玉に詰みはない。

手数96: 先手は受けがなくなった。

手数98: この局面で先手が投了した。先手は受けが難しく、後手玉に詰みはない。

