手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9: 角道を止めて角換わりを拒否した。次は▲６八銀〜▲６七銀と雁木に組むことが多い。

手数14: 角を上がって２筋の歩交換を防ぐ。後手も雁木に組むことになりそうだ。ここで△３三銀なら矢倉に組む方針。

手数17: ▲６九玉と寄って、居玉を解消する。

手数21: ▲３七銀から早繰り銀で攻める指し方もあったが、先手は▲４六歩を選ぶ。両者ともに攻めの形ができるまで時間が掛かるため、しばらく駒組みが続きそうだ。

手数25: 先手は▲８八銀と上がる。矢倉に組む方針だ。

手数26:

手数27: 金を上がって、上部を手厚くする。

手数29: 角を引いて７七に移動するスペースを確保した。▲７七銀から矢倉に組むほか、▲７七桂〜▲７九玉の菊水矢倉も含みにしている。

手数30: 後手は着々と駒組みを進めている。

手数31: すぐに▲７七桂は△８六歩▲同歩△同飛▲８五歩△同桂▲８七銀で飛車を捕まえられるが、△７七桂不成が返しの王手。以下▲７七同金寄△８一飛で飛車を逃してしまう。▲７九玉を入れておけば上記の手順で進んだとき、▲８七銀で飛車が確実に捕まる。

手数32: 後手も歩調を合わせて△３一玉と寄る。

手数33:

手数34:

手数36: お互いに５筋で銀がにらみ合う格好となった。

手数40: １筋と９筋、それぞれ端歩の交換が入った。

手数41: 角を上がって攻めの形を作っていく。次に▲３五歩のほか、▲３七桂〜▲４五歩の仕掛けが考えられる。

手数42: 後手は△６二飛と転換した。右四間飛車の形を作り、次に△６五歩からの攻めを見せる。

手数43: 玉を寄って６筋の戦場から離れる。

手数44: ついに後手から動いていった。

手数50: 銀桂の総交換となった。

手数51: △６六歩と先着されると攻めの拠点を与えてしまう。先手は▲６六歩と打って６筋のキズを塞いだ。

手数52: 無難に進めるなら△６一飛だが、後手は強気に△２五飛と歩を取る。▲３七桂△２四飛▲２五銀は飛車が捕まってしまうが、▲３七桂のとき△２六飛▲同飛と飛車角交換をしてどうか。後手の攻めが繋がれば、雁木の堅さが生きる。

手数53: 読み筋だったか、先手は▲１七桂と着手。

手数54: バッサリ△２六飛と飛車角交換で勝負する。

手数56: 守りの要である６七金に狙いを定めた。

手数57: 無条件で金を取られる訳にはいかない。先手は自玉を固めながら金取りをかわす。

手数58: ７筋の歩を伸ばして力をためる。次に△７六歩▲同金△６七銀の攻めが分かりやすい。

手数62: 金の両取りが掛かった。

手数63: 放置すると△７八銀成▲同玉△６七角で一気に危ない格格好となる。先手は金を引いて辛抱した。

手数66: ６七に金を打って張り付いていく。雁木が残っているうちに先手玉を寄せきりたい。

手数67: 金底の歩で後手の攻めをしのいでいく。

手数68: 歩を打って飛車の横利きを止めた。▲６一同飛成と取らせることで、７筋から移動して守りに利かなくなる。

手数69: 先手は▲２五桂と角に当てる。

手数70: 角を５一に引いて辛抱する。後手が粘りにいっているような感じだ。

手数71: 上部から攻めるのが先手の狙いだった。▲１五歩と端を絡めて攻めていく。▲１四歩〜▲１三歩成まで進めば、迫力のある攻めとなる。

手数72: ▲１四歩と取り込まれては持たないとみたか、後手はすぐに歩を取る。

手数73: ▲６一飛成と歩を取った。次に▲４一銀や▲１三歩など先手は楽しみが多い。後手は受けが利かないため、この瞬間にどれだけ先手玉に迫れるかが焦点となりそうだ。単に（１）△７八金は▲同歩で厳しい攻めがない。工夫するなら（２）△７七歩▲同銀と取らせて、△７八金▲同歩△６七桂成とすれば手順に銀取りが掛かる。

手数74: 後手は△７七歩と打った。攻めに工夫を入れる。この手が嫌なら▲６一飛成（７３手目）に代えて▲４一銀もあったかもしれない。飛車が７筋の受けに利いている点が大きいようだ。

手数75: 先手は銀で取った。△７八金▲同歩△６七桂成のほか、△７七金▲同金△５九角の飛車金両取り、または単に△５九角も考えられる。

手数76: 後手は△５九角と打ち、飛車銀両取りを掛ける。玉の堅さを生かして、先手玉を寄せきりたい。

手数77: △２六角成〜△２五馬まで進むと後手玉は寄らない。先手は▲２八飛とかわして辛抱した。

手数78: 金を渡すと受けに使われてしまう。そこで後手は△７七角成を選んだ。▲７七同金△同金のあと△６七桂成まで入れば、△７八銀▲同飛△同成桂▲同歩△８八金打までの詰めろとなる。

手数80: 角金交換まで進んだ。先手は受けに回るのか、決めにいくのか難しい局面を迎えている。

手数81: 先手の判断は受けだった。▲６九桂と打って、攻めの拠点となっている金を狙う。

手数82: 歩を打って金にひもを付ける。

手数83: 割り打ちの銀。▲５二銀不成で着実に攻めるほか、場合によっては▲３二銀成からいきなり詰ます手もありそうだ。７七金が質駒となっており、先手は詰ますために必要な駒が手に入る。▲６九桂（８１手目）が渾身の勝負手だった。金が手に入れば勝負になる。今度は後手が攻めるか受けるかを問われている。

手数84: 単刀直入に銀を打った。

手数88: 厳しい王手。また△２五飛成で桂を取る手も含みにしている。

手数89: 金で合駒した。

手数90: 桂を成るのが分かりやすい攻め。この瞬間は詰めろになっていないが、▲５二銀不成△同銀▲同竜と進めば、△７七金▲９七玉△８八銀▲９八玉△９九銀成▲同玉△９七香以下の詰みがある。よって先手は銀を渡すことができない。

手数91: 狙い澄ました角打ち。次に▲３二銀成△同銀（△同玉は▲５二竜）▲同角成△同玉▲５二竜以下の詰めろとなっている。

手数92: 金を寄って詰めろを解除した。後手は銀に入手すれば△７七金以下の詰めろとなる。

手数93: △４一金と銀を取られてはいけない。先手は銀を取った。

手数94: ３二金型をキープしながら先手玉に詰めろを掛ける。

手数95: 歩を取って詰めろを解除する。▲６五角（９１手目）は攻めだけの狙いではなかった。

手数96:

手数98: 後手は▲５一竜が間に合う前に寄せる必要がある。歩を打って先手玉に詰めろを掛けた。▲７七同桂が自然な対応だが、△７九銀▲同玉△６八金▲８八玉△７八金▲９七玉△７七金がリズミカルな攻め。

手数99: 先手は▲７七同桂と着手。

手数100: 後手は下から金を打った。▲７九同玉は△６八金▲８八玉△７八金▲９七玉△８八銀▲９八玉△９九銀成以下の詰み。途中の▲９七玉に代えて▲９八玉は、△８八金▲９七玉△９八金▲同玉△８八銀までの詰みだ。よって先手は金を取ることができない。

手数101: 玉の早逃げ。

手数102: ひたひたと先手玉を追っていく。

手数103: 桂打ちから後手玉を詰ましにいく。

手数105:

手数108: これで詰みはなさそうだ。

手数111: △３一桂には▲２二歩がありそうだ。以下△２二同玉は▲３三銀で王手が続く。

手数114: 後手は金で取った。

手数115: 先手の攻め駒が増えてきた。

手数116: △３二桂は▲同馬△同金▲３三桂打からの詰みがあった。金合ではつらい。

手数119: 歩が利くのが大きい。後手玉は詰み筋に入っている。

手数121: ▲３三桂不成は洒落た手だ。

手数122: △３三同金は▲２二歩△同玉▲１一銀△３二玉▲２一角△同玉▲２二金までの詰み。

