手数1:

手数2:

手数3:

手数4: 気合いを感じる一手だ。

手数10: 戦型は後手のゴキゲン中飛車に。

手数11: 先手は角交換型の対策を選んだ。

手数21: この局面で後手が手を止めている。

手数22: 美濃囲いの△７二銀ではなく、△６二銀と上がった。このあとは△７二金と組む形が予想される。

手数25:

手数26:

手数28: 互いに模様を広げている。

手数30: 木村美濃でバランスを取った。

手数31: １歩交換を目指した。後手は素直に応じる他に、△５五歩と突く手も考えられる。

手数35: 先手は１歩を手持ちにした。

手数36: 向かい飛車に振り直した。次に△５二金と囲いを強化したい意味合いもあるか。

手数37: 戦いに備えて陣形を整えた。

手数38: 後手もさらに力を溜める。

手数39: 陣形を盛り上げた。

手数40: 銀を出た。▲４五歩には△５三銀と中央に繰り替える狙いか。

手数41: 中央に戦力を足した。

手数42: 持ち駒の角を使って中央に戦力を足した。

手数43: 自然な桂の活用。△５五歩には▲４五銀と出ておけば対応できそうだ。

手数44: △３三角と打った以上は、ここから攻めていくのが筋のようだ。

手数45: ここは大人しく銀を引いた。

手数46: 飛車を回って、△５四銀〜△６五歩の狙いがある。

手数47: ▲７五歩と突いた。狙われている銀を１歩交換しながら８筋に繰り替える狙いだ。

手数51: これで銀は安全になった。

手数52: ６筋にプレッシャーをかける。

手数53: 堂々と歩を取った。△６五同桂に▲６六歩と取り返しにいって十分なのだろう。

手数55: 先手が細かくポイントを挙げて積み重ねている印象だ。

手数56: ▲６五歩なら△同銀で、飛車の後押しで進撃できる。

手数57: かまわず桂を取った。

手数59: あえて呼び込む。

手数63: 呼び込んだ飛車に金をぶつけた。強気な対応だ。

手数65: 後手の飛車の利きを止めながら▲７四桂を見せている。

手数66: 駒を惜しまず受ける。ここが勝負どころだ。

手数70: ６〜７筋を巡る攻防が続く。互いに譲れない場所だ。

手数75: 自陣角で攻めを続ける。

手数76: 囲いを再生して耐える。

手数77: 端に味をつけた。

手数78: 突き捨てを入れたところだが、飛び道具がないので端攻めの手段は少ない。

手数79: 銀を置いて、▲７四歩から６六桂の活用を狙っている。

手数80: かなりひねった印象の受け。とにかく銀を居座らせてはいけないと見たのだろう。

手数81: 相手の手に乘って前に出る。△５四同金▲同桂が角取りになって好調だ。

手数84: ▲６二金と打たれると寄り形だった。角を引いて頑張る。▲６二歩と打たれたら飛車を逃げて頑張るのだろう。

手数86: つらい飛車の隠居だが、粘るにはこれしかない。

手数87: △６五桂の当たりを避けつつ、金を前進させた。

手数88: 薄みをついて嫌みに迫る。次に△６五桂で上部を塞がれるのが嫌なので、その前に▲７七玉と空中遊泳するつもりかもしれない。

手数89: 空中遊泳の路線だ。

手数90: 遊び駒を活用して頑張る。

手数91: 歩を払って玉の安全を図る。ただ、後手玉への攻めは少し遅くなっている。勝ちが見えるまでは、まだ時間がかかりそうだ。

手数92: 先手玉をにらむ位置に角を配置した。

手数93: 端の突き捨て生かして手を作りにいった。

手数94: 香をつり上げてどうするか。

手数95: 桂を成り捨てて角道を通した。▲９三金△同玉▲７二角成の狙いがある。

手数96: △５五銀や△４五銀の筋で勝負にいった。

手数97: 堂々と金を取った。

手数98: 開き王手で迫る。

手数100: 後手玉はまだ詰めろがかかっていないので、寄せられたら一巻の終わりだ。逃げ間違いは許されない。

手数102: 次に△７四歩▲６四玉△４四馬と縛られると受けが難しい。後手玉はまだ詰まない。これは捕まってしまったか。

手数103: 先に逃げ出して脱出できるかどうか。

手数106: これで先手玉は行き場がない。△６三歩を受けるには▲４五角ぐらいしかないが、それでも△６三歩で危ない。

手数114: この局面で先手が投了した。以下、▲６五玉△５五馬▲７六玉△７七角成▲８五玉△７四銀▲９四玉△９三香までの詰み。

