手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数12: 先手は矢倉、後手は雁木の出だしとなった。

手数14: ２筋の歩交換は拒否。

手数17: 先手は早囲いを目指す。

手数21: 淡々と駒組みを続ける。

手数24: 雁木の骨格が完成した。

手数25: ▲６六歩〜▲６七金で先手玉の上部が厚くなった。

手数26: 居玉を解消。

手数28: 飛車先の歩を伸ばす。後手は好機で△６五歩から仕掛けたい。

手数29: 銀を上がって攻めの形を作っていく。▲２六銀〜▲３五歩または▲４六銀〜▲３五歩が攻めの一例。

手数30: ５筋の歩を伸ばした。狙いが見えづらいが、△４二角〜△６五歩のとき、角を使いやすくする効果がある。

手数31: 先手は棒銀を作る。次は▲３五歩や▲２四歩△同歩▲１五銀が有力か。シンプルながら後手は受けづらい。

手数32: 先手の棒銀が間に合う前に、後手が先に動く。ただし３三角が参加できてないため、攻めが軽い印象だ。例えば▲６五同歩△同桂▲８八銀は、次の▲６六歩が受けにくい。

手数33: 先手は▲６五同歩と対応する。

手数34: ６筋の歩の突き捨てを決めてから、角道を通した。

手数35: △６五桂を受けるなら▲６六銀や▲６六金が有力だが、先手は棒銀を生かして攻めていく。

手数37: 直前に後手の角の利きが止まったため、端から銀を繰り出す。

手数38: ７筋の歩を突き捨てて、攻めに弾みをつける。▲７五同歩は△６五桂▲６六銀△８六歩▲同歩△同飛が攻めの一例。次に△６六角▲同金△同飛が残っており、先手が忙しい。先手は必ずしも▲７五同歩の一手ではない。

手数39: ▲１五銀からの継続手。角に当てながらついに四段目まで出てきた。

手数40: 角をひとつ上がる。普通は（１）▲３五銀△同歩▲２一飛成で先手よしだが、△３一金と引かれて攻めが続かない。そのため（２）▲２三銀成△２六歩▲３二成銀△同玉▲４六歩のほうがよさそうだ。４四角が急所のため、▲４六歩〜▲４五歩が有力な攻め筋となっている。

手数41: 先手は銀を上がった。△７六歩や△６五桂の銀取りを未然にかわしている。

手数42: 後手は歩を取り込む。持ち駒の歩が２枚になったことで、△２七歩▲同飛△２六歩の連打が利くようになった。

手数43: ４四角を狙うのが急所だ。弱点の角頭を攻めていく。

手数44: 桂を跳ねて攻めにフルスロット。（１）▲６五同銀は△９九角成で香を取れる。（２）▲４五歩は△６六角▲同金△７七銀が迫力のある攻め。

手数45: 後手の角道を止めて、攻めの緩和をはかる。▲２三銀成が間に合う展開に持ち込みたい。

手数46: 攻め込む前に、まずは飛車先の歩を突き捨てる。

手数48: なんと。先手が▲２三銀成と指したいところに歩を打った。もちろん狙いがあり、▲２三銀成△２七歩▲同飛△２六歩▲３二成銀△同玉▲２八飛△７七銀が一例。後手はカナ駒を入手して７七から打つ攻めが魅力的だ。

手数49: 相手の誘いに乗るようだが、先手は歩を取って踏み込む。

手数52: 歩の連打で先手の飛車先を止める。▲２八飛なら△２三金で後手が銀得だ。

手数54: 金銀交換まで進んだ。

手数55: 飛車を寄って辛抱する。

手数56: 後手待望の銀打ち。この瞬間に先手玉へどれだけ迫れるかが焦点となりそうだ。

手数61: ７七の地点で総交換となった。

手数62: 先手の守りの要である７七金を取りにいく。

手数63: 金をかわしながら桂取り。

手数64: 角が進出。攻防ともに利く位置だ。

手数65: 歩を打って角の利きを遮断する。▲７七歩に代えて▲６六歩は△７七歩の王手が嫌らしい。

手数66: 桂を成って角のラインをこじ開けにいく。

手数70: 待望の角成り。先手陣に侵入してプレッシャーを掛ける。

手数71: 銀を投入して馬取り。また馬の利きが止まったことで、▲４四桂の攻め筋が生まれた。

手数72: 無条件で馬を取られる訳にはいかない。馬を引き、７六の金取りで対応する。

手数73: 惜しみなく持ち駒を使って受ける。

手数74: 金頭に歩をたたいた。手筋を駆使して先手陣へ迫っていく。

手数76: 金を上ずらせて飛車を走る。飛車と馬が強力できそうな形だ。

手数77: 金を使って馬を捕まえた。先手玉の上部はスカスカで怖いが、３七飛が守りによく利いている。

手数78: バッサリ。飛車を切って勝負に出た。

手数82: 王手金取り。先手から見るとなかなか嫌な王手だ。金にヒモをつけるなら▲７八玉だが、その瞬間は不安定な格好となる。

手数83: 玉を引いて６九金にヒモをつける。顔面受けだ。

手数84: 竜を作りながら７五の金取り。

手数85: ７五金にヒモをつけながら▲３一飛までの詰めろ。

手数86: しっかり銀を使って受ける。戦力不足になりかねないが▲９一角成は△７五竜で金が取られるのが大きく、攻め駒は足りそうだ。

手数87: 敵陣に飛車を打ち、王手を掛ける。また自玉の守りにも利いている。攻防一体の駒だ。

手数88: 香合いで受けた。すぐに取れないが、△７五香も視野に入る。

手数89: 玉頭を守りながら竜に当てた。技を尽くした攻防戦が繰り広げられている。

手数90: 桂打ちの王手。（１）▲８六同銀は竜取りが解除されるため、△６四銀と取る余裕が生まれる。（２）▲８六同竜も△同竜▲同銀△６四銀がある。逃げるなら（３）▲８七玉だが△６九竜で金のタダ取り。これは後手が一本取ったか。

手数91: 玉を上がって上部脱出を試みる。

手数92: ボロッと金を取れたのは大きい。

手数93: 香を取りながら角を逃げる。

手数94: ダメ押しの歩打ち。角がどこに逃げても△８九竜が金を取りながら王手となる。

手数95: 非常手段の銀引き。△７九歩成▲同金が竜に当たる仕組みだ。

手数96: しかし角を取れるのはシンプルに大きい。

手数97: 決め手がありそうな雰囲気だ。

手数98: 下から王手で迫っていく。

