手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10: 戦型は先手が三間飛車、後手が居飛車となった。

手数18: △３三角は持久戦志向の一手で、次に△２二玉と寄るスペースを作った。

手数21: ７筋の位を取った。このあと▲６八角〜▲７六飛と進めば、石田流の基本形が完成する。

手数22: 後手は左美濃囲いに決めた。

手数23: ▲３七桂と跳ねるスペースを作り、後手の駒組みに制限を掛ける狙いか。

手数25:

手数26: △６三銀と右銀の活用を視野に入れながら、△６五歩の仕掛けも見える。

手数27: 深く角を引いた。飛車先を通しながら▲３七角の転換を狙っている。７筋の歩交換を防ぐなら△６三銀だが、積極的に動くなら△６五歩もありそうだ。▲６五同歩は△９九角成があるため▲７六飛が受けの形だが、△６六歩▲同銀△６五歩▲７七銀と進めてどうか。すぐに攻めが決まる形ではないが、７七銀の形を強要できるのが後手の主張だ。

手数28: 後手はチャンスと見たか、△６五歩と仕掛けた。

手数29: 飛車を浮いて６六の地点を補強する。

手数33: 銀を引いて辛抱する。

手数34:

手数35: 角を転換して、間接的に８二飛をにらむ。▲７四歩△同歩▲８二角成と進めば先手よし。

手数36: ７四の地点を足しながら角の利きから離れる。

手数37: 先手は▲７四歩から攻めていった。△７四同歩は▲９一角成で先手が香得となる。後手は△７四同歩以外の対応が求められる。

手数38: 後手は５筋の位を取った。先手の角の利きを遮断することで、攻めを緩和している。ただし後手の角の利きも止まるため、どちらが得をしているかは難しい。△７四歩と取られては歩損となるため、▲７三歩成△同銀までは進みそうだ。そのとき先手は７七銀や８九桂が攻めに使えないのが痛い。立て直しをはかるなら▲６八銀〜▲７七桂が一例だ。

手数39: 先手は▲３五歩と着手。後手の角頭に着目した攻めだ。△３五同歩▲３四歩△４四角▲５五角と進めば、天王山に進出しながら王手となる。

手数43: 歩を突いてさらに後手の角に迫っていく。

手数44: 玉を引いて▲４五歩に△２二角と引くスペースを確保した。

手数45: ▲４六歩からの継続手。４筋の位を取りながら角に当てる。

手数46: 角を引いて５五歩のヒモはキープする。

手数47: 歩切れを解消しながらと金を作る。

手数48: △７三同桂は▲７四歩で桂が捕まる。そのため、後手は銀で取る一手だった。

手数49: 銀の裏側から歩を忍ばせる。次は▲７一歩成が残っているが、後手は狙いが分かっていても防ぐ手段が難しい。

手数50: 後手は８筋を突き捨てた。▲８六同歩や▲８六同銀、▲８六同飛とどれで取る手も考えられるため、選択が悩ましい。

手数51: 飛車で取る。激しい進行となりそうだ。

手数53: 飛車交換まで進んだ。

手数54: 歩の突き出し。▲６六同銀なら△６九飛が飛車銀両取りとなる。また取らない場合は△６九飛〜△６七歩成の攻めがあるため、先手は対応が悩ましい。

手数55: 先手は敵陣に飛車をおろした。後手玉をにらみながら▲８一飛成の桂取りと６筋の守りにも利いており、攻防によく働いている駒となっている。

手数56: 後手も敵陣に飛車を打つ。

手数57: 囲いにくっつけながら△６七歩成の攻め筋を消した。

手数58: 歩を成って先手陣を乱しにいく。

手数60: 再び銀頭に歩をたたく。

手数61: ここも先手は銀で応じる。

手数62: 金を引いて飛車の逃げ場所をうかがう。

手数63: 先手は読み筋だったか、桂を取った。

手数64: 銀を取って攻め駒を増やしていく。ひとまず後手は銀を取る目標は達成した。

手数65: 香を取って先手の攻め駒が充実してきた。駒割りは▲桂香△銀と気づけば２枚替えで、先手の駒得となっている。

手数66: 先手の弱点である角頭を狙っていく。

手数67: 先手は角を上がる。▲５三角成の王手など、一気に攻めに参加できる形となった。

手数68: 角道を通しながら△５七歩成の攻めを狙う。

手数69: 軽い歩の突き出し。４筋に歩が使えるように攻めの幅が広がる。具体的には△４四同歩は▲４二歩△同金右▲５四桂が攻めの一例。ただしこの瞬間は先手の角道も止まるため、しっかりした読みがないと指しにくい。

手数72: 角交換まで進んだ。

手数73: 先手は角打ちの王手を決めた。

手数74: 金を上がって辛抱する。

手数75: 狙いの攻め筋が出た。技が掛かっている雰囲気だ。

手数76: △２二玉は▲４二角成△同金▲３一竜が王手金取りとなる。

手数77: 金頭に歩を打った。△５三金には▲４一竜があり、△同玉は▲４二金でいきなり後手玉が詰む。

手数78: 後手は角を取った。

手数81: 竜を引いて王手を続ける。

手数82: 玉を上がったギリギリの受け。

手数83: と金を作るのが冷静だ。

手数85: 桂を取る前に端歩を突くのがそつのない利かし。△１五同歩と取らせることで、いつでも▲１四歩と王手できるのが大きい。

手数88:

手数89: 歩を叩いて詰ましにいった。

手数91: この局面で後手が投了した。投了以下、△１五同玉▲２六金△１四玉▲１五香までの詰み。

