手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11:

手数12: △３二銀と立ち、△４三銀〜△３二金の雁木の駒組みを見せる。

手数13:

手数14:

手数15: 本局は３手目▲２五歩とすれば角換わりの可能性があったが、▲７六歩で角換わりを外した。

手数16: 本局は雁木で戦う。

手数18: 積極的に銀を繰り出す。△６五銀〜△７六銀の角頭攻めを見せ、▲６六歩と突かせる狙いのようだ。

手数19: 薄くなった角頭に手を出していく。代えて▲６六歩だと守勢になるのを嫌ったようだ。

手数21: さらに飛車先の歩も突き捨てにいく。△２四同歩とさせることで、▲４六銀〜▲３五銀〜▲２四銀とスムーズに銀を進出できる。

手数24: 取られそうな歩をかわす手筋。面白い展開になったが、先手はこの仕掛けで大丈夫なのだろうか。

手数25: 代えて▲３五銀は△３七歩成▲同桂△３六歩があった。金を上がり、△３七歩成に▲同金を用意しておく。

手数26: ２四の地点の守りに金の援軍を送った。▲３五銀に対しては△４二飛で▲４四銀を防げる。

手数28: 代えて△４三銀と引くのでは元気が出ない。飛車を回って４四の地点を守り、△６五銀〜△７六銀の狙いは残す。

手数29:

手数31: ▲２七金と上がった。飛車は４筋に回らされた。８五歩型なので、どのように玉を囲うか。△７二銀だと危険な意味があって、▲３六金△３四歩に▲同銀△同金▲３五歩の攻めがあるかもしれない。大丈夫かもしれないが、気になるところだ。

手数32: 歩を成り捨てる。目障りな銀を五段目から追い返すために、△３四歩とした。

手数35: 銀を引かず、手裏剣を放つ。飛車で取れば▲４四銀、△２二同角や△同金なら▲２四銀と、この歩を取れば銀を進出できる。

手数36: 銀を取った。騎虎の勢といえる。

手数38: 狙いの△６五銀が実現。▲１一とで後手は▲桂香△銀の駒損になるが、角頭攻めで補う。▲１五桂が痛いのではないか。それには△３四金と逃げるだろうが、△１四銀と打ってはいられないだろう。△３四金は▲２三桂成で角が捕まるが、その間に△７六銀で玉頭から襲いかかる手はある。しかし、先手持ちと見られている。

手数39: ▲１五桂と放った。

手数42: 後手は角が助からない。△７六銀と角に当てつつ、先手玉を目指す。▲３三成桂△同金で桂が入れば△７五桂が生じる。角を引くと△４五歩▲３三成桂△同金なので、上に逃げる手がある。▲６六角△６五銀▲５五角か、単に▲５五角もあるだろう。▲５五角△５四歩▲６六角△６五銀なら▲７五角が飛車取り。▲６六角△６五銀▲５五角に△５四歩も▲７七角△７六銀▲６六角△６五銀▲７五角で同じことになる。先手持ちと見られている。

手数43: 角は逃げずに飛車を浮く。銀に当て、△７七銀成を催促した。

手数44: 促されては仕方ない。一足先に角を取った。

手数45: 銀ではなく桂で応じ、次に▲６五桂と１手で攻めに活用できる。

手数46: 飛車取りに歩を突き出し、態度を尋ねた。

手数47: 端にかわす。▲１一と〜▲１三飛成で成り込むルートを見せた。

手数48: さらに△２六歩と伸ばした。２筋から歩を消しにかかる。

手数49: 香を取り、▲１三飛成を見せた。後手がバランスを取るのも難しいと見られ、先手持ちのようだ。

手数50: ３手連続で歩が進み、と金を作って捨てる。

手数52: 金取りに角を打ち込んだ。２筋から歩をなくしたことで、▲３三成桂△同金▲１三飛成には△２三歩の受けを用意している。

手数53: 金取りを放置し、竜を作った。角を３三に残しておけば次の▲３三成桂が厳しい。

手数54: どうせ取られるならと１五に飛び出す。△４八角成を見せて▲１五同竜を促し、竜の働きを弱める。

手数56: 金を取り返し、駒割りは▲桂香△金の２枚換え。目標になりそうな自陣飛車と薄い玉形の分、後手は苦労が多い。

手数57: 歩を垂らす。と金攻めを見せた。

手数60: △３六馬〜△１四歩で竜を止め、飛車との取り合いを挑む。

手数63: ▲６一飛成△同玉▲５二金△７二玉▲６一角△８二玉▲８三銀までの詰めろ。飛車の王手に合駒を使わなくてよいため、後手はつらい。すなわち、△２八飛のような王手は▲８九玉で受かる。

手数64: 側近の金をにらみながら自陣に利かし、詰み筋を防ぐ。▲５八銀△２八飛▲８四香では受けにくいように思われるが、先手にはいろいろな手がある。▲８四香まで進めば▲６一飛成△同玉▲５二金△７二玉▲６一角までの詰めろになる。

手数65: 角を合わせ、馬を消しにいく。現局面は▲６一飛成△同玉▲５二金△７二玉▲８三銀までの詰めろになっている。

手数68: 先手玉に詰めろをかけて形を作った。後手玉に詰みがある。

手数69: この手を見て後手が投了した。△６一同玉▲５二金△７二玉▲８三銀までの詰み。

