手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11: 戦型は角換わりとなった。

手数12:

手数13: ▲２四歩△同歩▲同飛の歩交換を急ぐと△３五角の切り返しがあった。先手の飛車がどこに逃げても△５七角成で馬を作られる。▲４八銀は銀の活用をはかりながら、５七の地点を補強することで△３五角〜△５七角成を未然に防いでいる。

手数15: ここで▲２四歩も誘いの隙で、以下△同歩▲同飛△３三角が好打の角となる。以下▲３四飛は△２八歩、▲２八飛は△８六歩▲同歩△８八歩でいずれも桂が捕まり後手よし。

手数16: 壁銀を解消しながら▲２四歩からの歩交換を防ぐ。

手数17: ▲４六歩は腰掛け銀を目指した一手。代えて▲３六歩〜▲３七銀〜▲４六銀なら早繰り銀となった。

手数18: 後手は△６四歩と突いて腰掛け銀に決める。相腰掛け銀はすぐに戦いが起こらないため、しばらく駒組みが続きそうだ。

手数23: お互いに居玉を解消した。

手数24: ９筋の端歩を打診。

手数25: 先手はすぐに端歩を受けた。玉側の端歩は玉の逃げ道になるため、終盤で生きることが多い。

手数28: 腰掛け銀の定位置に銀を移動させた。中央に銀を据えることで、攻防ともに使いやすい駒となっている。

手数30: ９筋に続いて、１筋も端歩の交換が入った。

手数31: 金をまっすぐ上がってバランス重視の構え。次の▲２九飛がセットで、角打ちの隙が少ないのが主張だ。

手数32: 後手は△５二金と着手。玉の堅さを優先した。

手数33: ５筋で銀がにらみ合う格好に。

手数34: 安全地帯へ玉を移動させる。

手数35: 先手は▲２九飛を選んだ。飛車の横利きを通して守備力を高める。損にならない一着だ。候補手としては△７三桂や△６三金、△４四歩などが挙がっており、手の広い局面を迎えている。次の一手に注目したい。

手数36: 後手はじっと金を寄った。金２枚が連結して囲いが強化されている。

手数37: 玉を引いて囲いを進める。玉を戦場から離れた場所に移動してから戦いを起こしたい。手番の後手はどう進めていくか。△４四歩以外は指す手が難しい。△７三桂は▲５一角のキズが気になる。

手数38: 自陣を広げながら▲４五桂を防いだ。ただし、４筋が争点となるため▲４五歩の仕掛けには警戒したい。

手数39: 先手は▲６六歩と突いた。じりじりとした序盤が続く。

手数40: 角を据えて力をためる。次に△７三桂〜△６五歩と進めば６筋から攻め込める。しかし、△７三桂と跳ねてから△８四角ならわかるが、単に△８四角では▲４五歩から戦いが始まったら角が残りそうだ。△８四角はずいぶん思いきった手だ。後手は角を手放した以上、もう後戻りはできない。

手数41: 指摘されていた仕掛け。本格的な戦いが始まった。△４五同歩は▲３五歩△同歩▲４五桂が攻めの一例。（１）△３四銀は▲４四角と打ち、次の▲１一角成と▲５三桂成の両狙いが残る。また（２）△４四銀は▲２四歩△同歩▲２二歩が手筋のたたき。以下（２−Ａ）△２二同玉は▲２四飛が王手銀取りとなり、（２−Ｂ）△２二同金は▲２四飛△４三歩▲２三歩△３二金左▲２二角で２筋を突破できる。いずれの進行も後手の大駒が働かない。

