手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9: 戦型は中飛車となった。

手数11: ５筋の位を取りながら角交換を防ぐ。

手数14: 後手は急戦に進める構え。持久戦を目指すなら△５二金右〜△３三角〜△２二玉があった。

手数20: 銀対抗と呼ばれる形となった。

手数21: ▲２八玉〜▲３八銀の美濃囲いが自然に見えたが、先手は銀を上がって先手玉を引き締める。また、△３三銀に▲５七銀△４四銀▲５六銀の増援も考えられる。

手数25: １筋の端歩の交換が入った。

手数28: 持久戦にシフトチェンジ。▲４八銀（２１手目）に反応した組み立てで、先手が堅い囲いへ組めないことを見越している。

手数29:

手数30: 角道を止めた。次に△４三金または△４三銀と上がれば、５筋の歩交換を防げる。

手数31: ▲４六歩〜▲４七銀〜▲３七桂の木村美濃囲いも考えられたが、先手は矢倉に囲った。次に▲５九金〜▲４八金上と進めば、カナ駒３枚の堅陣となる。

手数34: 金を上がって自玉を引き締める。

手数36: 後手は穴熊の組み替えを目指す。

手数37: ヒタヒタと下段を移動する。

手数41: 先手も堅さ負けしないよう、穴熊に組み替えるようだ。

手数44: ３三角のままでは使いにくかった。５一へ引いて角の転換をはかる。

手数45: 銀を引いてコビンを塞ぐ。玉の堅さは互角となった。

手数46: 端歩を突いて△９五角のぶつけを狙う。先手の７七角がいない形となれば、△８六歩▲同歩△同飛で８筋が破れそうだ。

手数47: 先手は端歩を突き返して△９五角を防いだ。

手数48: ８四へ角を転換した。６六銀の先には３九金をにらんでいる。このあとは△７三桂〜△６五銀が攻めの一例。

手数49: 先手は角を引いて戦いに備える。

手数50: じっと陣形いを広げた。次に△２三銀と立てば銀冠穴熊となる。

手数51: ４筋に飛車を転換して、▲４五歩△同歩▲同飛の歩交換を狙っている。歩を入手すれば攻めの幅が広がる。

手数52: 先手の飛車が移動したことで、５四の地点は後手が勝っている。▲５四同歩△同金と進めることで、金の厚みで先手の攻めを封じる方針か。

手数54: 歩交換まで進んだ。穴熊から離れてしまったが、金を繰り出すことで▲４五歩の歩交換を防いでいる。

手数55: 再び５筋に飛車を戻す。

手数56: 天王山に歩を打って押さえ込みをはかる。

手数57: 先手も２筋の歩を突いて陣形を広げる。また、終盤で▲２五歩△同歩▲２四歩のような組み立てもあるかもしれない。

手数58: 歩をぶつけて中央から動いていく。

手数59: 先手は角を上がって４六歩にヒモをつけた。

手数60: いきなり△４六歩▲同角△４五金は▲２四角と手順に歩を取られる。△３五歩は工夫の一着で、▲３五同歩に△４六歩▲同角△４五金と進めると３筋の歩を突き捨てた効果で、先手の角は前に出られない。

手数61: 細かい飛車の動き。次に▲４五歩と取れば先手の数が勝っているため、後手は取り返すことができない。

手数62: ３筋の歩を取って攻めの足掛かりを築く。後手が桂や香を入手すれば、△３七桂や△３七香の打ち込みがあるのが大きい。

手数63: お互いに歩を取り合った。どちらが得をしているか難しいところ。

手数64: ５筋の歩を伸ばして先手陣にプレッシャーを掛ける。

手数65: 中段に角を進出。カナ駒の裏側を突いて▲７一角成を見せる。

手数66: 激しい。後手はガツンと銀をぶつけた。△５五同銀▲同金と進めば、８四角の利きが４八まで利くようになる。

手数67: ４筋の歩を伸ばして攻め合いを目指した。▲４三歩成がわかりやすい攻めとして残っている。また、△４四同銀▲同角△同金▲同飛は２枚替えで先手の駒がさばける。

手数68: ５筋の歩を成り捨てる。

手数70: 拠点の歩を払って▲４三歩成の攻め筋を消す。

手数71: 好位置に角を上がって飛車取りを掛ける。

手数72: 歩を使って角の利きを止める。

手数73: 歩を取りながら２四へ移動した。角の細かい動きで、後手陣の守りを揺さぶる。

手数75: 後手の角道を止めて攻めの緩和をはかる。

手数76: ４筋と５筋に手厚い防波堤が築かれた。先手が突破するのは容易ではない。

手数77: 桂を跳ねて△６五歩を防ぐ。

手数78: じっと歩を取る。△７六歩▲８五桂△６五歩と進めば、自然に歩が伸びる形だ。

手数79: 気づきにくい歩打ち。８四角の利きを止めることで、次に▲５一角成とできる。

手数81: 後手陣の隙間を縫って攻めをつないでいく。

手数85: 勢いよく角を切って勝負する。

手数87: さっそく入手した金を使って張りつく。銀は側面からの攻めに弱い。

手数88: ひとつ角を引いて４四銀にヒモをつけた。

手数89: 歩を使って角の利きを遮断した。

手数91: 銀は取らない。先手の本命は角だった。△７一角は▲７二歩で角が捕まり、それ以外の逃げ場所は▲５三金で銀を取られる。

手数92: これ以上の受けは難しかった。そこで、後手は銀頭に歩をたたいて穴熊攻略に着手した。

手数93: 代えて▲２七同銀は穴熊のコビンが開くのが気になる。

手数94: 飛車銀両取り。後手の攻めが勢いづいてきた。

