手数1:

手数2:

手数3:

手数4:

手数6: 相居飛車で後手が角道を開けない展開だ。

手数8: 銀を上がって△３一角と引く余地を作った。

手数10: ここで▲２四歩△同歩▲同飛には△５三銀右と受けて大丈夫。以下▲２三歩には△３一角と引ける。

手数13: 腰掛け銀模様に進めた。

手数16: 後手は雁木に構えた。

手数17: 先手も角道を止めて、じっくりとした将棋になりそうだ。

手数19: 雁木に構えた。

手数23:

手数24: 長い駒組みが続いている。

手数26: 角の活用を図る。

手数27:

手数28: まだまだ駒組みが続きそうなところから、後手が突っかけた。▲７五同歩に△６四銀で、３一角の利きを生かして攻める狙いだ。

手数29: △６四銀と出る手を防いだ。

手数30: 相手の位に反発して、銀と角の活用を図る。

手数33: ▲３五歩は、△６四銀なら▲４五歩△同歩▲４四歩の反撃を狙った意味のようだ。最後の▲４四歩に△３四銀とかわせないようにしている。

手数34: さらに戦線拡大。

手数36: 飛車を浮いて横の守りに利かせた。▲７一角の筋も避けているので、次は△６四銀と出られそうだ。

手数37: 位を確保。

手数38: 後手の銀が働き出した。

手数39: 後手の攻めが来る前に反撃に出る。

手数41: △４五同歩に▲４四歩△同銀▲２四飛の十字飛車が狙い筋だ。

手数42: ▲８六同歩で銀の進路を作ってから△７五銀と出て行く狙いだ。

手数43: ８筋を手抜いて攻め合いにいった。これは激しい切り合いになりそうだ。

手数47: 互いに我が道を行く攻め合い。後手は角と金のどちらも取れるが、△７八とは▲同銀で８九桂にヒモがつく。△７七となら▲同桂△８九飛成で飛車を成り込める。

手数48: 角を取った。

手数50: 互いに飛車を成り込んで終盤戦の雰囲気だ。

手数51: 後手陣は３二の金取りが残っているので、いったんは手を戻す必要がある。

手数52: 金にヒモを付けながら△６九竜の狙い。ぴったりの攻防手だ。

