手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11: 盤上は先手が角道を止めての相居飛車戦に進んでいる。

手数17: 先手は矢倉系の陣形になった。

手数18: 後手は早めに攻めの桂を活用。先手の出方次第では、囲いもそこそこに速攻を仕掛けることも考えているのかもしれない。

手数19: 居玉を解消した。

手数21: 先手は５筋の歩を突く手を保留している。

手数22:

手数23: ▲５六歩と突いた。代えて▲３七銀などもあっただろう。

手数25: 代えて▲６八銀も一局だった。

手数27: 角を５九に引いた。このあとは▲５七銀〜▲３七角というように、角を転換していくつもりだろう。

手数28: 腰掛け銀に構えて、いつでも△６五歩と動いていける構えを取る。

手数29: ▲３七角への転換を可能にしながら、上部を厚くした銀上がり。

手数30:

手数33: １筋の突き合いが入った。

手数34: 右四間飛車にして、６筋に力をためる。

手数35: 角を４八に動いて、△６五歩の仕掛けに備えた。代えて▲３七角は、△４五銀が嫌だったか。

手数36: 代えて△６五歩も有力そうだったが、ひとまず△９四歩と端を打診して間合いを計った。

手数38: ここで仕掛けを決行した。

手数39: 堂々と▲６五同歩と取った。代えて▲７七銀もあっただろう。

手数40: こちらも素直に△６五同銀と応じた。代えて△４五銀から、▲３八飛に△４四角といった順も考えられそうなところだった。現局面からは、▲６六歩に△５四銀でいったん収まりそうだ。

手数43: ８筋の壁形を解消する。現局面で△６五歩に▲同歩は△同桂が銀の両取りになってしまうが、▲３七角から△６六歩▲同銀右△６三金▲５五銀といった進行はバランスが取れていそうだ。

手数44: ３六歩を狙って△４五銀と出て揺さぶりを掛けた。

手数45: 代えて▲２六飛は、△４四角が浮いた飛車に当たってしまう。

手数46: ▲３五歩を防いだ角出。後手は▲４六歩を突かせたいのかもしれない。そうなれば先手からの▲３七角が後手陣に直射しなくなるし、４七の地点に隙もできる。

手数47: ▲４六歩は突かずに、玉を入城した。玉が間接的に後手の角の利きに入るので、一見すると怖いようにも思えるが、現局面で△６五歩には▲３七角で対応できているか。

手数48: 右金を自ら前進した。▲３七角に事前に備えつつ、次に△６四金で攻めの形を厚くするつもりだろうか。

手数49: ▲３七角に備えられたところで、▲４六歩を突いた。

手数51: 飛車を２筋に戻り、▲２四歩からの飛車先交換を見せる。

手数52: ２筋は放置して攻めに出た。代えて△３三銀は▲３七桂で次の▲４五歩を見せられると４四角が危ないし、△３三角もどこかで▲３五歩が残るため、▲２四歩は防ぎづらかったのかもしれない。

手数53: 以下△２四同歩▲同飛の瞬間は先手の飛車の位置が悪い面もあるので、まずくなる順がないか読んでいたのだろうか。

手数56: 無難に△２三歩と収めた。

手数58: △６四金と出て、後手からは次に△７五歩がかなりの迫力だ。

手数59: 先手も攻めの形を整える。手番がくれば、▲４五歩△２二角▲１五歩△同歩▲１三歩△同香▲２五桂△１四香▲１五香といった攻め筋がある。

手数60: すぐの攻めは自重して左桂を跳ね、▲４五歩に△同桂とできるようにした。△３三桂は頑張った手で、普通は代えて△７五歩だったが、▲４五歩に△２二角と引かされる展開が嫌だったのかもしれない。ただ、△３三桂も玉の守りが薄くなり、怖い面はある。

手数61: △３三桂と跳ねたことで手薄になった１筋に手を出していった。

手数62: 現局面で▲１三歩はどうか。以下△１三同香なら、▲４五歩から桂を入手しての▲２五桂という攻めがある。

手数63: １筋の突き捨てが入ったところで、２筋に歩を合わせた。以下△２四同歩▲同飛△２三歩には▲３四飛と横歩を取り、▲１五香△同香▲１四飛という筋を狙うつもりのようだ。

手数66: 低いところに歩を打って受けた。▲１五香には△２三金ということだろうか。

手数67: 桂頭に手をつける。△３五同歩なら▲３四歩、△３五同角なら▲３四飛が、それぞれ厳しい。

手数68: 歩を２三に打った。先手が▲３四飛と横歩を取れば、後手は△３六歩で戦うつもりのようだ。

手数69: 落ち着いて飛車を引き揚げた。

手数71: 攻めの桂をさばきつつ、４八角の利きを通す。

手数74: 手駒に桂が入ったところで、後手からも端を攻める。▲９五同歩に△９七歩▲同香△９六歩▲同香△８四桂が基本の狙い筋だ。

手数75: ９筋は相手にせず、３五角に当てて桂を据えた。角を逃げる手には▲５五歩で、５四の銀を引かせにかかるつもりのようだ。

手数76: ３五角は逃げずに、６筋を取り込んだ。先手はこれに▲６六同銀左と応じると、以下△４四角▲５五歩のときに△６五銀と出られてしまう。

手数77: 代えて▲３五桂から△６七歩成▲２三桂不成△４一玉▲６七金△２四歩▲同飛△３三金打といった進行は芳しくないと判断したか。

手数78: 角を４四ではなく２四にかわした。こちらのほうが１筋の守りに利いているということだろうか。どこかで▲４五歩で角を追われることもない。

手数79: ▲４七桂と打った流れを継承して、あくまで▲５五歩と突く。

手数82: 銀交換に。この△６五同金では△６五同桂も有力そうだったが、７三の地点が空くと▲７三銀の筋が生じるのが気になったか。

手数85: 後手陣にちょっかいを出しつつ、２五飛の横利きを通した。仮に△５四同歩なら、▲２六角の調子がよい。

手数87: ７筋の桂頭を攻める。現局面は後手がよくなっているようだ。自分の囲いの側から攻めている▲７五歩は、苦しげな雰囲気がある。

手数88: 相手玉頭に手をつけた。ここで▲７四歩には、△８七歩成から▲同金に△６五桂が後手の狙いだろう。２五飛の横利きを遮れば、△７五桂が生じる。

手数89: 覚悟を決めて▲７四歩と取り込んだ。代えて▲８六同歩も、△８七歩のタタキが痛かった。

手数90: △８七歩成はまだ決めずに、単に桂を跳ねる。

手数91: 先手はこのと金の働きに期待したい。

手数93:

手数94: 角の王手を決めた。対して▲６六銀にも△７五桂で、後手はやはり桂で金駒をはがすことができる。

手数96: △７五桂はあとの楽しみにして、飛車桂の両取りに銀を打った。

手数97: こちらも飛車に当てた銀打ちで返す。

手数98: 飛車を取り合う順を選んだ。

手数100: 満を持しての△７五桂。後手の手駒に飛車が入ったのは大きく、以下▲７七金寄△８七歩成▲同金寄△５八飛といった要領で厳しい手が続きそうだ。

手数103: 飛車打ちでの王手角取りは甘受した。代えて▲８七同金寄に△５八飛の進行は、△４八飛成〜△６六角と△８七桂成▲同玉△８六歩の両狙いで先手の受け方が難しかったか。

手数105: 自分からは崩れないように受ける。

手数106: △８七桂成は入れずに、４八の角を取った。▲７五銀と桂を取らせて、手番を握るほうがよいと判断したようだ。

手数108: この△６八竜は、△７九角▲９八玉△７七角成の寄せを見ている。

手数109: 攻防に飛車を打ち下ろした。

手数112: 決め手といってよさそうな角切り。

手数113: 代えて▲７七同桂も、△７八竜▲８八歩△９六歩で先手が勝てなかった。

手数114: △９七歩成以下の詰めろ。

手数115: ひとまずは王手を利かせる。

手数118: ぴったりの金の活用。△８八金▲８六玉△７七竜▲同玉△７六金打までの詰めろになっている。

手数119: ９一香を外して、玉を９六に上がれるようにした。

手数120: 銀を補充しつつ、△７七竜以下の詰めろ。

手数121: ８六の地点を埋めて、△７七竜▲同歩△８六金打▲７八玉△６八金という詰み筋を消す。

手数122: 歩頭銀で上部を制圧。▲８五同歩は、やはり△７七竜▲同歩△８六金打▲７八玉△６八金までだ。

手数123: 王手をかけつつ、角を７七に利かせた。

手数124: 中空に歩を突き出して受ける。▲４四同角なら、△３三銀が角に当たる。

手数125: ８五銀を外して、△８八金までの詰めろを解除。現局面で△７七竜には、▲同角で詰みはない。

手数126: しかし、９六歩を守るこの金寄りが冷静か。先手玉はいよいよ受け方が難しくなってきた。

手数128: この△７七竜に▲同歩は、△８六歩▲９八玉△８七金▲同歩△８八金までの詰みだ。

手数132: 先手の手駒に飛車が加わったが、依然として後手玉は安全。後手は寄せに専念できる。

