手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数16: 角を上がって２筋の歩交換を防ぐ。

手数19: 先手は攻めの形を急ぐ。４筋が争点となっており、このあとは▲４五歩から仕掛ける展開が予想される。

手数20: 銀を上がって４筋の厚みを増していく。

手数23: 左美濃囲いの骨格を作る。コンパクトながら堅い囲いが特徴だ。

手数27: ８筋の歩交換を防ぐなら▲７七角だが、先手は▲６六角とさらに前進する。

手数28: カナ駒４枚と角の堅陣で、先手の攻めを迎え撃つ。

手数31: 飛車を浮いて力をためる。そろそろ先手の攻勢が始まりそうだ。

手数34:

手数35: 先手は歩を打ち、８筋を収めにいく。

手数36: △７六飛と欲張ると▲６五銀で飛車の逃げ場所がない。そこで元の位置に飛車を戻した。

手数37: ▲４五歩の前にひと工夫。まずは３筋の歩を突き捨てて、飛車の横利きを通す。

手数38: 後手は△３五同歩と応じた。

手数39: 満を持して▲４五歩とぶつけた。

手数40: ３筋に厚みを築いて先手の攻めに対抗する。▲４四歩△同銀▲４五銀のぶつけには、△４五同銀▲同桂△同金で後手が駒得だ。

手数41: 自陣のコビンを塞ぎながら、▲６五桂の活用も視野に入れる。

手数42: ▲６五桂の攻め筋を防ぐ。

手数43: 端歩を突き捨てて、攻めに勢いをつける。

手数47: どんどん歩をぶつけていく。

手数49: 「合わせの歩」の手筋で攻めの継続をはかる。△２五同歩は▲同桂が角取りだ。

手数50: 下から歩を打って４四銀を支える。

手数51:

手数52: 歩は取らず、下から打って辛抱した。

手数53: １筋に歩を垂らした。後手がそのままだと▲１五香が残っており、△１三同香は▲２五桂が角香両取りとなる。後手としては悩ましい歩だ。

手数54: 端は対処せず、天王山に歩を伸ばした。銀取りかつ先手の角の利きを止めており、▲４七銀なら大きな利かしとなる。

手数55: 銀は逃げない。勢い重視で香を走る。△５六歩には▲１二歩成で攻め合う姿勢か。

手数56: 攻めの拠点となっている歩を取りながら、端攻めの根元である１五香を取りにいった。

手数57: 先手は飛車角交換で勝負する。飛車に強い左美濃囲いを生かした組み立てだ。

手数59: 歩を取って中央から攻めていく。

手数61: 銀交換まで進んだ。天王山に進出した角の働きは大きい。

手数62: 香取りかつ１二の地点に利かす。

