手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11: 盤上は相掛かりの出だし。まずは先手が飛車先の歩を切りにいった。

手数15: 飛車を自陣に引き揚げる。代えて▲２六飛も一局だった。

手数16: ９筋をあいさつして、間合いを計った。

手数17: 引き飛車から棒銀を見せる。

手数24: 飛車先の歩を切って、手順に高飛車に構える。現局面で▲２五銀には△３五歩で△３六歩▲同歩△５五角という筋を見せておけば、先手の棒銀攻めには対応できていそうだ。

手数25: 先手も角道を開ける。

手数26: ８五飛の横利きを生かして、銀取りに歩を突き出した。

手数27: 落ち着いて▲２七銀と引く。代えて▲２五銀なら、以下は△８四飛▲２四歩△８八角成▲同銀△３三桂という進行が一例として考えられた。

手数28: △７三桂の活用や、△７五歩のぶつけを可能にした。

手数31: 角交換から、左銀を使っておく。

手数32: 右銀を前に。

手数33: 左銀を前に使って、壁銀の形を解消。

手数34: 後手は好機に△７五歩で動いていく姿勢だろうか。

手数35: 歩越し銀に歩で対抗する形を作った。

手数36: 自陣右辺をカバーする金上がり。

手数37:

手数38: 左桂を使って、力をためた。

手数39: 先手も居玉を解消。

手数40: △７五歩と動きを見せた。以下▲７五同歩△同銀で右銀をスムーズに前に出られれば、後手に不満はなさそうだ。

手数41: 先手も攻め駒を働かせにいく。

手数42: ▲７六同銀が８五飛に当たるので、後手はいったんは飛車を逃げて先手に手番を渡すことになりそうだが、それでもバランスは保てると判断したようだ。

手数44: 飛車は五段目にかわした。代えて△８四飛に▲３五歩の進行は芳しくないと見たのかもしれない。後手は手番がくれば、△５五角がなかなかの攻めになるか。

手数45: 中途半端な格好になっていた２七の銀を、使いやすくする。△５五角に▲３七銀の対応を用意した意味が強そうだ。

手数46: 銀をぶつけていった。仮に▲７五同銀△同飛まで進めば、後手の飛車は楽になる。

手数47: 代えて▲３七桂で飛車を取りにいく筋も見えるところだったが、自重した。

手数48: ２八飛に当てつつ、△６六銀と出る手も含みにして角を打つ。

手数49: 角には角で対抗した。手堅い選択だ。対して△３七同角成は▲同桂で、先手の調子がよい。

手数50: ▲５五角△同飛▲４六角という筋を恐れずに勝負。

手数53: 間接的な飛車香両取りがかかった。

手数54: ５五の飛車を角で支える。▲５五角には△同角で、後手も戦えていそうだ。

手数55:

手数57: 後手の角に間接的に狙われている飛車をかわしつつ、▲３六飛を見せる。

手数58: 飛車を楽にした。

手数61: 角交換から、飛車を世に出る。

手数62: 馬を作りにいく。

手数63: 飛車を角に当て返して、角の成り場所を尋ねる。現局面で△４五角成なら、以下▲３六角△同馬▲同飛△２七角▲３七飛△４五角成……という順で千日手になることも考えられそうだ。

手数64: 角を成った。

手数65: 千日手の順は選ばずに、攻めて勝負した。

手数66: ３七飛の頭を押さえる。代えて△３四同飛から▲同飛△同馬の飛車交換は、以下▲８四角が後手としては怖かったか。

手数67: ３七飛を逃げているようでは△３四飛で何をやっているか分からないので、先手としては踏み込むしかない。

手数68: 現局面で▲３七同桂は、△６七馬▲同金左△３三銀で先手がまずい。

手数70: できたと金を活用して、先手玉を薄めにかかる。

手数72: 王手銀桂取りの飛車打ち。代えて△３八飛から▲４八歩に△３二飛成でと金を抜くのは、以下▲３六歩で後手からの攻め方が難しくなってしまったか。

手数73: 先手はここをしのいで手番を得ることができれば、▲８四桂が相当な攻めになる。

手数74: 竜で一段目を押さえながら、△５五桂を見る。

手数75: 寄せ合いに勝負を懸ける。現局面で△５五桂には▲５六金で、先手がしのげているか。仮に４五の馬が先手の駒台にのれば、後手玉に▲４一角△６一玉▲５二金△７一玉▲７二桂成△同玉▲６一角以下の詰めろがかかる。

手数76: 先手玉には△７八歩成▲同玉△６七馬▲同玉△６九竜以下の詰めろがかかっているので、現局面で▲７二桂成は利かない。

手数77:

手数78: 手筋の歩で７七の地点を埋めたところで、△５五桂を打った。△６七桂成以下の詰めろ。現局面で▲５六金なら、△６七桂成▲同金△７九銀▲５八玉△３六馬▲４七桂△２六馬といった要領で後手が勝てるか。

手数79: 銀のほうをかわす。後手は先手玉への詰めろを続けられるかどうか。

手数82: ３二とを抜く筋を視野に入れつつの王手。

手数84: 馬を銀と刺し違える。

手数85: 後手玉に▲４一角△６一玉▲５二金△７一玉▲７二桂成△同玉▲６一角以下の詰めろがかかった。

手数86: ３二とを払って粘る。

手数88: 飛車走りで先手玉にプレッシャーを掛けて、手を渡した。

手数89: 手堅く５七の地点を埋める。現局面で△２六飛には、▲１五角が詰めろ飛車取りだ。

手数90: 代わる手も難しかったか。

手数91: ２六飛に当てつつ、▲５一金までの詰めろ。

手数92: この△５九銀に▲同玉なら、△２九飛成と王手で飛車を逃げることができる。

手数93: 後手が投了した。後手は攻防ともに見込みがない状況になってしまっている。

