手数7: 後手番一手損角換わりに。先手の飛車先の歩が伸びている。

手数10: ▲２四歩には△同歩▲同飛△３三角▲３四飛△２八歩があり大丈夫。

手数11: △１四歩と受ければ、前述の筋で最後に▲１七桂と跳ねることができる。

手数12: それでも受ける。今度は▲２四歩△同歩▲同飛のときに△１三角▲３四飛△２三銀として、次の△５七角成を狙う。

手数13: ▲２四歩は断念。この手に対し△５五角は▲３七銀で受かっている。

手数16: 今度は返し技が難しいので▲２四歩を受ける。

手数27: 今度は相腰掛け銀となった。

手数36: 自陣角で主導権を握りに行く。狙いは△４四銀から△５五銀左のぶつけ。

手数39: 先手も自陣角で対抗。直接的には△４四歩を防いでいる。

手数40:

手数43: 決断の一手。△４四歩の筋は大丈夫なのだろうか。

手数45: 桂の成り捨てが飛び出した。先手先手で攻め切ってしまおうということだろうか。しかし現実問題駒損も大きそうだが・・・。

手数54: 戦線が盤面全体に広がってきた。

手数63: △１三同銀なら▲１五歩。だからといって△１一香とは受けにくい。やや先手ペースとの見方もある。

手数66: じっと傷を消しに行く。凌ぎきれば駒得が生きてくるが、この瞬間は相当怖い格好。

手数70: 歩を二枚持ったため、一手空けば△９八歩から△９七歩の筋が楽しみ。逆に先手は足を止めずに攻め切りたい。

手数74: 中空に△１六香捨てが飛び出した。▲同飛なら△２五銀の両取りがある。この鬼手に、先手はどう応じるか。

手数79: 角を取られても、この下段香が厳しいと見た。後手はどこかで攻め合いに転じたいのだが、なかなか暇がみつからない。

手数83: 銀を引かせてから竜を作る。形勢は、まだ難しい。

手数86: 香は利いているが、背に腹は変えられない。▲同香△同金から先手を取りたい。

手数88: じっと我慢。攻められ続けているものの、現物の角得は大きいか。

手数91: △同金は▲３四歩△３二金▲３三香が痛打。１三の銀が狙われている。

手数98: このタイミングで後手は攻め合いに出た。

手数103: 角を取って成桂も取れば自玉は安全になる。次の一手は勝敗を左右することになりそうだ。

手数104: 後手は一目散に玉に迫っていく。次に▲８七成桂が詰めろ。

手数109: 先手はギリギリの凌ぎを見せる。桂を手にして▲４五桂の筋を狙う。

手数113: この手で▲８八同玉は△６四飛がぴったり。銀を手にしたため先手玉が相当危ない格好になる。▲５五角の王手飛車は△４四角。というわけで本譜は▲６九玉。

手数117: ここで突進。

手数120: 他の合駒は▲２四歩〜▲１四金で詰み。２四に利かせる桂合いが最善手となる。

手数122: この手で△３三玉は▲１三竜△同桂▲２三金以下詰む。

手数124: 投了図以下、▲２四竜△同桂▲２三角成△４四玉▲４五銀△３五玉のときに、２四桂が利いていて詰みがなく先手玉は受けなし。

