手数1:

手数2:

手数16: 相矢倉になった。

手数25: ▲３五歩から歩の交換を目指す。

手数26: △６四角が多いところ。△５三銀は▲３五歩△同歩▲同角なら△４五歩〜△４四銀右とすぐに反発できるようにしている。

手数27:

手数28: 後手が攻めを狙おうとする場合、△６四銀と出ることになるので、４六銀・３七桂型の同形矢倉になりやすい。

手数30: 先手が▲３五歩と行くかどうか。

手数31: 仕掛ける。△６四銀と上がったので、今度は△４五歩と突けない仕組み。

手数34: 攻めの形を完成させる。後は、玉の囲いだ。

手数35: ▲４六角〜▲３七桂となれば理想形。後手は、それを阻みたいところ。

手数36: 中央から、反撃を狙う。

手数38: △５五銀から中央を制圧できれば有利になる。

手数39: △５五銀に▲５六歩を用意。

手数40: △５五銀▲５六歩の展開なら穏やか。

手数43: 端を攻められることがないので、６八のほうが固い。

手数44: ▲６八銀としたため▲６八角と引けないというのが後手の主張。

手数45: ▲４六角は△４五歩▲３七角△３五歩で銀が死ぬ。

手数46:

手数47: 歩を突いた。どこに銀が出ても、銀が死ぬ格好になったが、後手は覚悟の上だろう。激しい展開になりそうだ。

手数48: 銀を引いた。さすがに銀を捨てるわけにいかなかったか。しかし、攻め駒が引くのも辛い。

手数49: 桂馬を取りにいく。

手数50: △７三銀はこの手に期待をかけているからだった。

手数51: 強く桂馬を取りきる。

手数53: 厳しい突き出し。次に▲５五桂△５四金▲６三桂成がある。

手数54: 「敵の打ちたいところ」に打つ。△５七歩は▲５九飛△２八馬▲５七飛で効果がない。

手数55: 味のいい桂跳ね。

手数57: 得した桂で両取りがかかった。

手数58: 形勢は先手がかなり良いようだ。

手数59: すぐに▲５四桂はつまらない指し方。３四に利いている間にもう一仕事。▲３三歩を△同桂は▲３四歩。

手数61: 大きな利かしを入れてから金を取る。先手、金得。

手数62: 後手は△６六桂を楽しみに辛抱。

手数63: これが金取りになるのも▲３三歩の効果。

手数67: 詰めろがかかった。

手数68:

手数72: 急所にいた馬が消えて後手にとって好都合に見えるが。

手数73: 馬を交換したのはこの手が狙いだった。飛車が詰んでいる。

手数76: せめて一太刀という手だが。

手数77: 慌てず騒がずで、後手には手段がない。後手の投了となった。

