手数10: 後手は振り飛車を選択。後手番ならではの作戦選択といえる。

手数28: 後手の振り穴に、６筋の位をとって大きく指す先手。このあと先手はどのように玉を囲っていくのだろう。

手数35: 先手も穴熊へ。

手数36: そうはさせじと後手は動く。強気に指すなら▲５五同歩△同銀▲３五歩、穏やかに指すなら▲９九玉△５六歩▲同金だろうか。

手数41: 全面戦争へ。△同歩は▲３四歩△４四角▲２四飛。

手数42:

手数43: 渋い。形は悪いが、▲３四歩〜▲２四飛に期待した。

手数47: 打ちたくない歩だが、▲２四飛のときに△５七歩成▲同金△３五角とされる順を消している。

手数50: 捌きの手筋。▲同銀は△７七角成▲同金寄△４六飛。

手数54: △７五歩は成立すると思われたが、▲６七銀でひどくなる。本譜は先手が指せる展開になった。

手数60: 決断の一手。▲４四歩に△７五歩で王手飛車の筋を狙っていく。

手数63: 王手飛車の筋を避けながら成銀にあてる。

手数67:

手数76: えっさほいさと７六の地点を叩き、駒を一枚ずつはがしていく。穴熊ならではの制空権を握る指し方だ。

手数77: ここで△３五角があった。狙いは飛車取りと△４四角の王手飛車。

手数80: 普通に考えれば後手の攻め駒が足りない形。しかし穴熊、細くとも切れなければ勝負になる。

手数93: 悠々とした手。格調高い指し方だ。

手数98: 得をした香で穴熊を崩しにいく。非常に効率がいい。

手数110: 後手優勢。

手数115: 詰めろ竜取りだが、王手で銀を取って△５一金がピッタリ。

手数120: 角を抜いて詰めろを消す。いつの間にか金銀６枚が後手に渡っている。

手数138: ここで先手投了。以下▲６八玉△６七銀成▲５九玉△４八金の筋で詰む。

