手数1: 先手は初手▲７六歩を着手した。

手数2: 後手は２手目△３四歩を着手した。

手数4: 後手は△５四歩と突きゴキゲン中飛車模様に。後手番では初の採用。意表の選択と言えるか。

手数5:

手数6: 後手は△８四歩とゴキゲンと見せかけて居飛車に変化した。これは、先手は△５四歩にはほぼ１００％▲４八銀と指すのを踏まえた作戦かもしれない。

手数7: ▲２二角成は、１手損になるが、先手は▲４八銀を上がっているためこの手以外では飛車先を受けるのが難しい。ただ「角交換には５筋を突くな」の格言もあるため、理にかなってもいる。

手数9: ▲７八銀は新しい形。左美濃を見せて堅く囲える。

手数11: 一手損角換わりだろうか。先手は変わった陣形だ。４手目が△５四歩で、ゴキゲン模様の出だしだった。

手数12: おそらく後手は右玉にするだろう。手得を活かすためだ。普通の角換わりに比べて後手は１手得、一手損角換わりに比べれば２手得の計算。

手数21:

手数22: 後手は飛車先を決めた。▲８六歩から銀冠に組まれる順を嫌った意味もあるか。

手数23: △６五歩と仕掛ける順があるかもしれない。以下▲同歩△同桂に、▲６六銀は△８六歩、▲８八銀は△６六歩▲同金△３九角▲５八飛△５七桂成と殺到する順。手順中△６六歩に▲５六金は△６四銀で先手がまとめきれないだろう。

手数24: やはり後手は仕掛けた。６二金型は▲９五角の王手の筋を消している。△６五歩は▲同歩と取るとちょっと危ない。

手数25: 先手は６五歩を取らずに金を上がった。７八銀型だったから、７八金と締める手が遅れていた。そこを見越しての仕掛けだろう。

手数30: ６筋を押さえたことに満足し、形を直す。

手数31: 先手陣も堅く、強い戦いができる形になった。

手数34:

手数36: 後手は中住まいへ。

手数37: 先手は自らの玉頭から動く。これは思い切った手だ。普通に▲３六歩などとやっていると息苦しくなるということか。

手数39: 合わせの歩。金銀の厚みを活かし盛り上がる狙い。ちょっと見たことがない筋だ。一歩損しても６筋の制空権がにぎれればいいということか。

手数42: 後手は自陣角をはなった。ナナメのラインを狙う。

手数43: 先手は金を寄って受けた。▲７七角と合わせるのは△５三角とかわされて、次の△７五歩が厳しい。

手数44: 単に△５三角と打つより、▲７七金寄とさせた方が▲７七桂などを消して得とみた。一例として▲７七桂△７五歩に▲６四歩△同銀▲６五銀左のような強襲がある。うまい手順だ。

手数45: 自ら桂の利きに出た。△７五歩を打たせてから▲６五銀左と出ると、△６四歩で銀が取られる。非常手段的だ。

手数47: 銀桂交換で後手が駒得した。

手数50: △３五角は▲４五桂を消しつつ△４六角を見た手。

手数51: 先手は▲４八飛と回る。△３二金と形を整えると、▲９五歩△同歩▲９三歩が嫌なようだ。

手数52: １回玉を寄った。５二玉型のままだと、▲７五桂△７四銀▲６三歩など当たりがきつい。

手数53: しばらく駒組みが続く。

手数54: 深く囲うべく、玉を寄せていく。

手数55: 取られそうな歩を逃げつつ伸ばす。

手数56: △２二玉〜△３二金のほうが深く囲えるが、一手早く囲った。３五角で、２筋を守りつつ、飛車を４筋に釘付けにしておけば２筋の薄さは気にならない。後手は△７四銀〜△６五銀と出てくるのだろう。

手数57: ▲６六歩は辛抱の手。▲７五歩などと押さえると、△７四歩▲同歩△同銀▲７五歩△６五銀とぶつけられてかえってお手伝いになる。この局面は後手がやれるだろう。銀桂交換だし、▲６六歩を打つのでは。しかし、まだ長い。次はいったん△１四歩だろうか。

手数58: やはり端歩。玉も広くなり大きい。

手数59: 先手も端をおつき合い。突き越されると手詰まりの恐れがある。

手数60: 後手はさらに堅い囲いを目指す。先手からは有効な手が少ない。

手数61: ▲６六歩に続き、さらなる辛抱。これで歩切れ。ますます先手から手が出しにくくなった。

手数62: 穴熊も視野に入っているようだ。後手は玉を堅く囲ってから、３五の角を働かせる方針。先手は困ったか。指す手がない。後手ペースだ。

手数63: 角取りの歩突き。△２六角と出たらどうするつもりか。

手数64: 当然の角出。飛車の逃げ場が難しい。

手数65: 先手は桂を重ね打った。▲３七桂を辛抱できる人が▲６五銀と乱暴に出たりする。なぜ桂がダブっているのか、なぜ８一の桂がないのか理解しにくい。

手数66: 桂を使ってもらって満足し、当たりを避けて角を引いた。

手数68: 後手陣は十分の堅さになった。

手数71: 歩をぶつけて駒を使いにいく。歩切れを解消する意味もある。

手数72: 飛車を回って柔らかく受ける。

手数73:

手数74: 後手は４四の歩を取らずに、△４六歩と垂らした。これはひと目厳しい。全駒態勢が仕上がってしまいそうだ。

手数75: 飛車が２筋にいる間に、１回突き捨てた。

手数76: 後手は銀で取った。

手数77: ▲４八飛には△４七銀と重く打って、とにかくと金を作ろうという手もあるかと思う。形勢的には後手を持ちたいが、まだまだわからないという状況だ。

手数78: 後手は△４七銀でなく△５七銀と打った。

手数79: △４四角と飛び出す手が厳しい。次に△６六銀成だし、▲６七銀には△６五歩だ。

手数80: 後手はやはり△４四角。２九の桂と３七の桂の配置を見て、後手はほとんど銀得だ。

手数81: ▲３九角は予想されていなかった手。銀に当てながら△６六銀成も受けている。勝負手、といった感じだろうか。この角をうっかりしたのかもしれない。△５七銀は粗かった。▲３九角を打たれて王手飛車の筋があちこち生じてしびれたようだ。

手数82: 銀を取らせても△４七歩成が厳しいという意味。

手数85: ▲６六角の王手を狙った歩突き。△５七とと角を取るのは、もちろん▲４一飛成だ。△４八歩には▲６六角と王手してから飛車を逃げる。

手数86: △４四角にこの角引きが味がいい。▲４七飛とと金を払うのは、△７七角成▲同桂△４七飛成で先手敗勢。

手数87: 先手は角を逃げた。対して△４八とは▲同飛の強手がある。△７七角成▲同桂△４八飛成と飛車を抜けるが、▲６六角の王手飛車返しがある。△４八とが利かなかったことが誤算だったようだ。

手数88: 後手は桂を取る。△４六歩が第一感だったが。▲４四飛△同飛▲６六角で王手飛車が掛かるが、大丈夫か。

手数89: 予想通りの飛車切り。△４四同飛▲６六角で、△３三銀には▲４四角△同銀▲４一飛でかなりうるさい。▲６四歩もある。さっきまで後手の完封ペースと思っていたが、大変になったのではないか。

手数91: 準王手飛車。

手数92: 後手は桂で受けた。１回角道を止め、飛車を成ってしまえば二枚飛車の攻めが速い。

手数93: 飛車成りは許せない。

手数96: 銀のタダ捨て。そんな無茶はしたくないと思うが、後手は持てあまし気味だろう。これ以外の手では悪いので仕方ない。

手数98: この歩を打ちたかった。角を逃げる手はあり得ないので、▲５五銀に△６六歩▲４四銀と角と差し違えて飛車をさばいた格好になる。

手数99: やはり▲５五銀。

手数100: 後手は飛車を引いた。次の予想手は▲４四桂。△４四同飛は▲同銀△６六歩▲４一銀で先手の攻めが早くなるので、単に△６六歩と取るだろう。

手数101: やはり先手は▲４四桂と打った。

手数105: 大変なことになってきた。

手数106: 一発金頭をたたく。たたく一手だ。パッと見大変だ。

手数107: 歩を取りつつナナメにかわす。△７六歩のたたきで先手陣もかなり弱体化した。

手数108: 飛車を逃げつつ玉頭を狙う。

手数110:

手数112: 後手は歩頭に桂を放り込む。守備の金を狙うのが急所。といって▲８六同歩△同歩も厳しい。

手数113: 先手は金を打った。これは原始的な受けだ。

手数114: 後手は飛車を打ち下ろす。７九角が働いていないぶんだけ、後手が余しているか。

手数115: 先手はここで桂をはずした。

手数117: 飛車先を１回たたく。先手はどこかで▲７六金と払って、しゃにむに上部に脱出する順を狙っている。

手数119: さらに飛車を近づける歩打ち。△同飛なら今度こそ▲７六金だろう。

手数120: 後手も▲４四桂からのトン死筋を消して、１回早逃げをした。

手数121: 次に△８五飛がある。対して▲７六金には△６八飛成で必死となる。だから△８五飛には▲８七歩と血路を開くしかなさそうだ。

手数122: 手堅い決め手か。やはり後手が勝ちそうだ。

手数123: 金を引いて受ける。▲８八角の王手の筋が生じた。

手数126: 厳しい一手。歩で間に合うなら受けがない。

手数128: ２四への逃げ道を開けつつ２八飛の筋も通し、手堅い。いかにも後手らしい手だ。

手数131: 端玉には端歩。▲１四歩△２四玉▲１五金までの詰めろになっている。

手数132: 落ち着いて△１五同歩と取られてみると、２八の飛車の利きが強く先手からの詰めろは続きそうにない。

手数133: この手は詰めろになっていない。

手数134: 後手待望の歩成りが回った。

手数135: 先手は金で敵玉をしばって、ゲタをあずけた。

手数136: △８七金の打ち込みは王手が続くが、先手玉の上部が広くまだ詰まないようだ。

手数139: ▲１五銀△２五玉▲２六飛までの詰めろ。△５九角と受けると、▲１三桂成の妙手があって詰んでしまう。

手数140: △８七金の打ち込みは際どく詰まないようだ。△２四金は唯一の受け。

手数141: ▲２九飛は▲１五香△同金▲同銀以下の詰めろになっている。

手数143: ▲１六歩で後手勝ちかと思いきや、にわかに怪しいか。

手数144: △２六角成は受けの決め手。切るのが明快。▲２六同飛に△２五金で脱出確定だろう。

手数152: △６七銀は△８七金以下の詰めろになっている。後手勝ちの結論だ。

手数156: 後手は△４七玉と逃げた。▲５七金から６七の銀を抜く筋があるが、△３七玉の形で後手玉は安全。

手数160: ここで先手が投了した。先手は手駒に銀しかなく、後手玉を捕まえられない。

