手数1:

手数8: 四間飛車に。

手数10: 早めに玉を上がってしまうのが森調。穴熊にするなら勝手にどうぞという、まったりと大らかな指し方。

手数17: 先手は持久戦を目指す。この角上がりは玉を８八へ囲うための下準備。

手数23: 組んでいいと言われたので、では遠慮なくと▲９八香。

手数24: 角交換を迫るこの指し方が出てくるまで、振り飛車側はかなり苦労したといわれる。

手数25: △４五歩は角交換を迫り、▲６六歩を突かせることが狙い。交換になれば先手陣のバランスの悪さが響いてくる。▲６六歩を強要することで、四枚穴熊を許さない指し方が出てきてからは互角に近い勝負ができるようになったといわれる。

手数30: ひょこひょこ銀。次に△４六歩から銀交換になれば振り飛車十分。

手数35: 早くも駒がぶつかった。△同銀と取らせて銀を危険地帯におびきよせる狙い。

手数36:

手数39: 根元の歩を取りに行く。午前中から緊迫した局面を迎えた。

手数40: ▲３五角には△２四角の返し技を用意。これで受かっていれば一歩得を生かす展開にできそうだ。

手数41:

手数42: これで３五の歩は助かったが、依然として歩を渡すと▲３七歩がある。

手数43: △同歩は▲７七角で受けが難しい。

手数44: 飛車を浮いた。

手数45: 待望の歩を入手。▲３七歩をどうやって受けるつもりなのだろう。

手数46: △３四飛はこの手を作る準備だったようだ。指されてみればなるほどの手順。

手数49: 駒を中央に使う本筋の一手。次は▲６六銀から▲５五銀と飛車をいじめにいく順がある。

手数54: 終盤で生きてきそうな端歩。このあたりの呼吸が歴戦の雄といった感じ。

手数56: 空成り。悠長なことはしていられないという判断。

手数61: 穴熊の堅さに頼んだ強襲。攻めが繋がってしまえば飛車を取られても痛くない。

手数67: 食いつけるか、余すか。先手は６筋に歩が立つのが大きいと見ているのだろう。

手数77: いかにも時限爆弾といった感じの桂。飛車の横利きが止まった瞬間に爆発しそうだ。

手数79: と金は取られるが、自陣の安全を優先。

手数83: ここで手を戻す。これではうまくいっているとは言い難い。

手数88: これで桂香得。はっきりしてきたか。

手数96: 手厚く。

手数100: 盤面を耕す指し方。▲８四馬には△８三香。

手数104: これで角香得。

手数134: ここで終局。先手玉は受けなし。後手玉は王手が続かない。

