手数10: 本局も相矢倉になった。

手数26: 先後同型になった。

手数34: ▲４六銀・△６四銀の同型矢倉になった。後手は端歩の位を、先手は動きの早さを主張したい。

手数40: 後手は端歩を受け、９筋の位を主張する。

手数43: 先手は仕掛ける。これ以上待つ手も難しい。

手数47: この先手の攻めは時折見かける筋で、後手は銀の動きで２手損しているのを見越している。

手数48: 飛車を３筋に移すことで、攻めを緩和する手筋の受け。

手数51: ▲３五銀は△３四歩で受かってしまう。１歩持ったので、攻撃陣を破壊しにいく。下手をすると、攻めを呼び込むだけになってしまうため、勝負手に近い。

手数55: 先手も当然△８五歩は覚悟の上。歩を取って、△同香なら▲６五歩△同銀▲６六歩を見せる。

手数56: ９五銀はいつでも取れる。６四銀をさばくのが先決。

手数61: 攻めの銀を受けに切り替える。

手数65: 先手は強く踏み込む。もっとも、▲同歩は△７六銀打などで攻めつぶされそうだ。先手は飛車を持てば、▲７一飛や▲８一飛が王手になるのが心強い。

手数68:

手数72: このくさびが大きかった。

手数74: ▲８二馬は△６九銀▲同玉△６七馬で受けなし。この△６九銀に▲７七玉と上がれないのが、数手前の△７六歩の効果。

手数76: 以下、▲同玉は△７六銀打▲同金△８八飛成、▲同桂は△８九銀で寄り。先手の投了となった。

