手数1:

手数2:

手数3:

手数7: ここで△８五歩なら横歩取り。△８八角成なら後手番一手損角換わりになる。

手数8: 後手は一手損角換わりを選択。後手番のうえに手損をして、それでも局面の均衡は保たれるのだから将棋は面白い。

手数9: 相居飛車の左金は７八が定位置。△８八角成には▲同銀と応じ、形が乱れないように駒組みしていく。

手数10: この手を忘れては、▲２四歩△同歩▲同飛が桂取りになってしまう。△８八角成と△２二銀はワンセットと覚えておきたい。

手数11: 代えて▲２四歩なら、△同歩▲同飛△３五角の筋がある。うまそうな順には落とし穴。すぐに飛びついてはいけない。

手数13: 先手は手得を生かすため、棒銀での早い動きを目指していく。

手数14: 先手はどんどん銀を繰り出していくだろう。後手は玉を右に囲うか左に囲うか、右銀は早繰りか腰掛けかなど選択肢が多い。

手数15: 「棒銀」は狙い筋の単純さは初心者向け、バランスの取り難さは上級者向けと言える。

手数16: ▲１五銀と出られる手を防ぐ。まだ６、７筋方面の整備が出来ていない現状では、早い戦いは避けたほうがいいと判断した。ここは先手にとって岐路。▲１六歩と突いて▲１五歩△同歩▲同銀の仕掛けを見せるか、▲３六歩から▲３五歩と方向転換するか。

手数17: 態度を保留。相手の指し手に合わせて、攻撃形を決めるつもりだろう。考えられるのは△６四歩、△７四歩あたり。△４二玉は相手の棒銀に近づくことになるため、やや指しにくいか。

手数18: 後手は△６四歩を選択。この手は腰掛け銀と右玉の両狙いだ。

手数19: ▲３六歩。次に▲３五歩△同歩▲同銀となれば先手不満のない進展。後手はどう対応するのだろうか。

手数20: △６四歩と△６三銀もワンセット。７二銀型では飛車の横利きが止まったままで具合が悪い。

手数21: 午前中から積極的に駒をぶつけていく。

手数22: 再開の一手は△４四歩。先手の攻めを柔軟にいなし、場合によっては△４二飛〜△４五歩といった指し方も見せている。

手数24:

手数25: ３筋の形を乱してから▲３七銀と引く。次に▲２四歩からの歩交換を狙っている。

手数26: ▲２四歩の筋を受ける。後手はもう２、３筋に玉を囲う将棋ではないため、飛車をどこかに振って６、７筋方面に行くのだろう。

手数27: 壁銀の解消。目立たないけれど非常にポイントの高い手。

手数28: 玉を右に囲うのであれば、この歩は突いておきたい。

手数29: 先手は無視して玉を固める。

手数30: △４二飛と回る下準備。先手陣は構えも低く隙が無いが、後手陣は金が上ずっていて隙が出来やすい。後手は一手一手慎重に駒組みを進めていく必要がある。

手数31: 早い戦いが起こったとしても、７九まで玉が行っておけば安心感がある。一手で▲８八玉と入城できるのは大きい。

手数32: この銀を繰り出してしまったら、玉はどこに囲うというのだろう。３、４筋を押さえ込む構想だとしても△９四歩との関連性は低い。後手の真意は如何に。

手数33: 「歩越し銀には歩で対抗」、「角交換では５筋を突くな」。この▲５六歩はどちらの格言に当てはまるのだろう。

手数34: ４筋だけでなく、６筋の位も取る。直接の狙いは△６四角だが、次に△８五歩から馬作りを目指す順も見せている。

手数35:

手数36: 狙いの角打ちが実現。次に△３六歩となれば終了形なので、ここはしっかりとした対応が必要だ。

手数37: これは勇気が必要な手。△同角▲同銀△８五歩とされたときに▲７五銀の一手になっており、いかにも銀が不安定な格好になる。

手数40: ここで▲７七銀と引いたのでは、８五歩を突かせ損になってしまう。かと言って▲７五銀と出るのは△６三銀から銀を取りに来られる。その局面でうまく手を作れるかどうかが焦点になりそうだ。

手数41: ここは負けても出るところ。一例として考えられるのは、△６三銀▲２四歩△同歩▲７七桂△７四歩▲５五角△７三角▲同角成△同桂▲５五角。こう進めば玉形の差も大きく、先手の攻めが通りそうだ。

手数42: こうなったら、もうどちらも無傷では済まされない。

手数43:

手数44: 今度はこちらから。先手が▲６五桂と跳ぶ筋を牽制している。

手数45: 銀を再度２六へ。これは２筋、３筋から攻めるというより、△７四歩に▲３七角と打つスペースを作ったものだろう。変化の一例は、△７四歩▲３七角△９二飛▲６四銀△３六歩▲５五角。そうなれば銀が生還できそうだ。

手数46: これは４５手目の変化の最後、▲５五角と出る順を消した手。つまりここで後手の手番ならば、△７四歩▲３七角△９二飛▲６四銀△３六歩で後手優勢になる。

手数47: 再開後の一手は▲２四歩。△同歩なら▲２二歩などの攻め味が出てくる。

手数48: 後手はここで手抜いて勝負に出た。主張は△７五歩〜△７六歩と銀を取りながら敵陣に向かっていける点だろう。先手はもうガムシャラに行くしかない。部分的には▲３五歩と打ちたいところだが、△７五歩▲３四歩△２四金の展開でどうか。▲３五歩には△４三銀と引かれても次が難しい。先手はどうやって手を繋ぐのか。それとも形勢は後手に傾いているのか。

手数49: まずは▲２三歩成。これには△同金、△同銀以外に△７五歩も考えられそうだ。以下▲３三と△同桂▲３五銀と華々しい展開になるが、７筋の歩が伸びてくる味も捨てがたい。

手数50: △同銀にまた考え込んでいる。

手数51: 狙い筋の▲３七角を決行。これがどのくらいの威力を発揮するか。

手数52: 後手はすぐに△５五歩。もちろんこの手も読み筋だろう。

手数53: ハッとする強手。△同角に▲５五角〜▲３三角成で２筋突破を目論んでいる。

手数54: 先手のタダ捨て▲３五銀にも、ノータイムで△同角と応じる。

手数55: 現在後手銀得。７五の銀を取れば二枚得。長引けば先手は駒損が響く。先手は瞬発力で後手陣を攻略しなければ勝ち目はない。△２二飛▲３四歩△４四金▲９一角成（▲３七香狙い）として、後手が受け切るのも難しいのではと言われている。

手数56: ▲３四歩には△３二金と指す手があり、先手は自信がないかもしれない。

手数57: 先手は単に香を取った。△７五歩なら▲３九香で攻めが続くと判断した。▲３九香の筋を受ければ▲６四銀の活用が間に合う。今にも取れそうな銀を逃がすのも面白くない。

手数58: 後手の指し手はシンプルに△７五歩。これで銀二枚と香の交換。先手の頼みの綱は玉の堅さ。手早く仕事をしないと負債が重くのしかかってくる。

手数59: ▲３九香と下段から打つと、△２七歩と打たれたときに▲３八飛と寄れない。

手数60:

手数62: 薄くしてから受ける実戦的な順だが、後手がいいようには見えず、駒得は見た目ほどではないように思われる。検討されているのは、▲８一馬△７二銀▲８二馬△２七歩▲３八飛△４九銀▲１八飛△２八金▲６四馬△１八金▲同香△３九飛▲３一角の順。その局面で△５八銀成▲８八玉△６三銀打と示されたが、▲５四桂が好手でやはり先手に分があるとのこと。

手数63: ▲７五角成を狙った角打ち。△３二飛なら傷を消しながら馬を作ることができる。利いた逃げ場所は△５二飛（次に△５六飛がある）だが、玉飛接近となるためリスクも大きいか。

手数64:

手数65: △同銀は▲２一飛成、△同金は▲２三飛成。この香を相手にすることはできない。

手数67: 飛車の横利きが無くなった。ここからは火の出るような寄せ合いになるだろう。

手数68: △７六歩の攻め合い。ここで味良しとばかりに▲６五桂は、この終盤戦では価値が低い手。活用するメリットより、７七の地点を空けてしまうデメリットのほうが大きい。形作りで▲３三香成△７七歩成▲５三金としても、△７八歩から先手玉は詰むようだ。この順が詰むならば、△７七歩成には一回▲同金と応じなければいけないのかもしれない。

手数69: しっかりと時間を使って金を取った。こうなると△７七歩成は必然だが、そこでの先手の指し手に注目。

手数70: ▲同金は△５六飛がある。▲５三金は△同飛から△７八歩で詰む。他には▲４二成香と一回捨ててから▲７七金と戻し、先手玉に詰めろが掛かるかどうかの勝負もある。

手数71: これで勝ちなら一番わかりやすい。次は▲４二成香以下の詰めろ。問題は先手玉が詰むかどうか。一回△３三桂の補充もある。どうやら先手玉には詰みがないようだ。３三で香を補充しても、やはり詰みはない。

手数72: ▲同竜と取っても先手玉には詰みがないようだ。うまい受けがなければ後手は苦しい。

手数73: いきなり銀。詰んでいるのだろう。そうでなければ王手は掛けないだろう。△同飛は▲同角成△同玉▲３二飛△５一玉▲４一金の筋で詰む。

手数75: △７一玉と逃げれば詰まないものの、それは速度が変わっていないので論外。しかし取るのは▲同角成から、手数は長いが詰むようだ。

手数76: 首を差し出した。

手数80: 安い合い駒は、▲４四金〜▲４二竜の筋で詰む。▲４二竜を消す意味の金合いだが、これは▲同竜〜▲３五桂で枚数が足りている。

手数83: △５三玉は▲４三飛で詰み。△５二玉は▲２二飛で、変化はあるが詰んでいる。

手数85: 後手はここで投了。以下４二に桂か香を打つくらいだが、▲４三金から押していけば詰んでいる。

