手数1:

手数2:

手数11: 先手の相掛かり▲２八飛型となった。

手数16: 後手は浮き飛車で対抗。

手数21: ９筋の突き合いを入れるのが▲２八飛型＋腰掛け銀のポイント。９筋の歩を突いていないと△８六歩▲同歩△同飛で△８七歩と△４六飛を狙われて先手不利となる。▲９六歩は△８七歩に▲９七角を用意した意味がある。

手数32: 後手はひねり飛車に構えた。△５二玉型のひねり飛車は比較的珍しい。

手数43: さっそうと仕掛ける。

手数47: すでに中盤戦たけなわ。

手数48: この手をうっかりしていたという。なお、△４六角で△３五歩は▲４五銀が利く。

手数56: 角損の強襲。後手は駒の働きの差で勝負したい。

手数58: 角筋を止めつつ、銀取りになっている。

手数62: △８五桂▲８六角で楽になったようだ。後手は△３六歩を利かすのは有力だった。

手数67: 絶好の攻防手。

手数74: すでに終盤戦だ。

手数75: 先手は自玉に詰みなしと見て踏み込んだ。２枚角がよく利いているとはいえ、思い切りのいい手だ。たとえば△７八成香▲同玉△７九金は▲６八玉△６九龍に▲同角と取れる。後手玉は次に▲６一角成△同銀▲５一とから詰みそうだ。▲６八同角は△８四桂▲６五銀△６四銀で紛れる。

手数76: 後手は金を取った。

手数79: この合駒がよく利いた。

手数80: 角を取って自玉を安全にするのが後手の作戦。

手数81: △同玉は▲４三桂まで。

手数83: 先手の指し手が非常に早い。後手は手がかりが少ないので、先手玉を詰ますのは難しそうだ。逆に後手玉は▲７二龍△同玉▲８四桂△６一玉▲７二金以下の詰めろになっているようだ。何気ない合駒に見えた▲３八香が詰みに役立っている。

