手数3:

手数4:

手数9:

手数11:

手数16:

手数19: この後の作戦を決めたのだろう。

手数26: 中原囲いが完成した。

手数27: 先手は「新山崎流」と呼ばれる形を採用した。これは現在主流の対策の一つだ。本局は定跡形だが、どのような新手が出るのか楽しみだ。

手数28: ほかには△７四歩の実戦例が多い。以下▲３三角成△同桂▲３五歩△４四角が進展例。

手数30: ▲８七歩△７六飛と進めば後手十分。

手数31: ２六飛の横利きを通しながら、３三角を攻める一石二鳥。

手数32: 今度は３五歩を取りに行く。定跡化された進行。

手数34: （１）▲８二歩は△３六歩で、（２）▲３六歩△３四飛▲８二歩は△８四飛▲８一歩成△８七歩で困る。▲８二歩は攻めが遅いので、後手はを気にすることはない。

手数36:

手数38: ３７手目▲２五同桂までは全て△１五角とされていたが、斬新な新手だ。△１五角は直接先手玉を狙っているのに対して、△５五角は少しぼんやりした印象もある。後手は５五に角を置くことで、▲６五桂と跳ねにくくしているのだろう（ここで▲６五桂は△８八角成▲同銀△８七歩と反撃できる）。先手は▲８五飛、▲８二飛、▲２三歩などが考えられる。

手数39: 後手は△３六歩、△２九飛、△１九角成などが考えられる。先手は▲６五桂が切り札になりそうだ。

手数40: 香を取った。

手数42: 馬は自陣に引け。

手数45: 先手は左右から攻める形を作ろうとしている。後手は△８六飛だろうか。▲同飛成△同馬となれば８二飛を消しつつ王手になる。

