手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11:

手数14: 手数14: ▲３四飛と取れば、横歩取り。

手数15: 手数15: 先手は横歩を取った。

手数18: 手数18: 最近は純粋な中原囲いよりも、いったん中住まいに構える将棋が多い。先手は玉の囲いが△４一玉型と△５二玉型で別々の対策が必要な上、飛車の位置も△８五飛型の他に△８四飛型もある。以前までの△８五飛戦法に比べ、先手の対策は格段に絞りづらくなっている。△５二玉型の復活が、横歩取りブームを再燃させたといって過言ではない。

手数20: 手数20: 本局は飛車を８五へ。初期の頃はこの形でも△８四飛と引いた実戦例もあった。

手数22: 手数22: 定跡化された受け方。すぐに△２五歩は負担になりやすく、△２三歩は消極的で歩損が目立つ。

手数23: 手数23: ▲７七角は横歩取りの中でも最新形の一つで、プロ棋界全体としては先手の１２勝５敗と、優秀な戦績を残している。

手数24: 手数24: 前例は△５一金が１番多い。△７四歩は囲いの含みを残した積極的な指し方。

手数25: 手数25: ここで▲４八銀から銀を８八へ持っていくような実戦例もあったが、６八へ銀を持っていくのが▲７七角の狙いの一つ。８八角型のままで▲６八銀を上がると、△８八角成▲同金△４四角で飛び上がることになる。

手数26: 手数26: 後手の陣形はオリジナルの構えといえよう。通常は△５一金から△６二銀の形が多い。後手の指し口は、感覚的に相掛かりの攻め筋によく似ている。後手で有力な新しい形ですね。

手数27: 手数27: ▲５八玉は前例と離れ、新しい将棋となった。▲６九玉の他に、玉を囲うとすれば最も自然な一着だ。

手数28: 手数28: 桂跳ねも早い着手だった。この辺りの時間の使い方は、現代風の考え方だ。

手数30: 手数30: 何気ない端歩だが、仮に▲９六歩と受けるといきなり△９五歩▲同歩△９七歩といった手作りが生じる恐れがある。

手数31: 手数31: 先手はまずは金銀が並んだ囲いを作り上げる。先手の構えは空中戦特有の囲い方で、バランスを重視している。現在大流行しているゴキゲン中飛車相手にこのような陣形を組もうものなら、中央から格好の餌食にされてしまう。

手数32: 手数32: 後手の狙いは端。金銀の集結している中央から攻めるよりも、手薄な端から攻める指し口は、理にもかなっている。

手数33: 手数33: 先手も端歩を突く。先手は３筋から６筋までの歩を突くと、飛車の横利きが止まってしまうため、損得勘定が難しい。先手の狙いも端攻め。先手だけ指し手を進めると、▲１五歩、▲１四歩から端歩を突き捨てて、▲１二歩△同香▲３三角成△同桂▲２一角がこの戦型常用の手筋。

手数34: 手数34: 現在では常識化された端攻めの緩和。

手数35: 手数35: 現局面、後手の金銀が△６二銀、△５一金型の場合は前例が１局あったが、△７二銀、△６一金型はゼロ。一路の金銀の違いが、どのように局面に影響を及ぼすだろうか。

手数36: 手数36: △２四歩は実質ノータイムに近い。これで後手の１筋と２筋は容易に破られない構えとなった。ただし、持ち歩が減ってしまったので、後手からの端攻めもやりづらくなった。駒組を進める自然な指し手は▲３六歩や▲４六歩だが、飛車の横利きが止まった瞬間、後手から猛攻を仕掛けられる可能性もある。▲３三角成△同桂▲７七桂や、▲８六歩も考えられるが、相手の攻めを呼び込む意味もあるだけにどうか。ここに歩を打つと△９六歩▲同歩△９七歩▲同香△９八歩という攻め筋はなくなってしまう。

手数37: 手数37: ▲３九金は離れ駒を引き締める効果もあるが、相手に一度手を渡した意味もある。お互いに相手にアクションを起こしてもらった方が、考えやすい局面かもしれない。▲３九金は、後手が何もしなければ▲１七桂から▲２五歩の狙いがある。後手は△８四飛として次に△７五歩が有力。△８四飛には▲５六飛として中央を狙うのだろうか。△２四歩、▲３九金の二手は勉強になった。

手数38: 手数38: △６二金は悪手になる可能性もあるので、指しづらい。▲５六飛のような上部からの攻めには強くなるが、将来、▲７一飛や▲７一角といった筋で傷になる可能性もある。

手数39: 手数39: 先手は３八の金を２手かけて初形に戻した。初見でこの局面を迎えた場合、反射的に再び▲３八金と上がってしまいそうな形だ。▲３九金から▲４九金は、独特の世界観である。先手の狙いの一つは▲５九金から▲６九玉の組換え。後手は持久戦になってしまうと、進展性に乏しい。

手数40: 手数40: 玉の懐を広げ、△６三銀から新しい陣形を構築する狙い。後手番で千日手に持ち込めたら良いが、そうはならないだろう。

手数41: 手数41: 理屈では一度▲３八金と上がった先手は３手損。しかし、遠回りした分、後手からの急戦も防いでおり、局面のバランスは取れている。

手数42: 手数42: 手数をかけた分、後手の上部は格段に手厚くなった。半面、下段が薄くなり、飛車交換を挑みづらい陣形となった。振り飛車の高美濃囲いが銀冠に組み替えると、どうしても下段が脆くなるように、将棋の囲いは手数をかければ必ずしも堅くなるばかりでもない。自然な手は▲６九玉。条件がそろえば、▲７五歩や▲８六歩のように自分から攻める筋もあるかもしれない。

手数43: 手数43: 決断の仕掛け。（１）△同歩は先手に▲８六飛の権利を与える。飛車交換の攻め合いは相当な成算がないと指せない。（２）△同飛には▲３三角成△同桂▲７七桂が一例として考えられる。いずれにしても、先手としてはいいタイミングで▲８六飛と回りたい。このまま飛車交換のような展開になれば、早い決着もあるかもしれない。

手数44: 手数44: ▲７五歩を取ると手を作られるとみて妥協。▲８六飛には△８五歩と辛抱するのだろうか。

手数45: 手数45: 後手が飛車交換に応じられないのを見越している。現時点での交換は直後の▲８一飛が痛打となる。

手数46: 手数46: △８五桂は▲３三角成△同桂▲７七桂で、飛車取りは免れない。△同桂の局面は▲７六角といった筋も気にかかる。

手数47: 手数47: △８五歩を打たせて、この瞬間後手は歩切れ。形勢はともかく気分は良い。

手数49: 手数49: 現状、先手の右辺はお留守だが、△７七角成▲同桂△２八角といった順は、▲６六角などの反撃が見えているため、あまりにリスクが高い。よほど条件が整わないと、実現しない筋だろう。

手数51: 手数51: ここに来て指し手が早くなってきた。後手の主張は手得で築きあげた厚み。先手の主張は、１歩得と玉の堅さ。

手数52: 手数52: 歩切れになるのはつらいが、このまま戦いは起こせない。

手数53: 手数53: １０手前の４３手目▲７五歩の局面と比べ、先手陣の変化は、７六の歩が駒台に乗っただけ。しかし、自分だけ３歩を手にし、相手を歩切れにすることに成功した。一方後手は、手順に７五の位をガッチリと確保した。果たして、どちらの大局観が優っているのだろうか。

手数54: 手数54: 指し手は△８一飛。８四の位置では働きが今一つと見て、下段に飛車を据えた。現在、先手の攻め駒は飛車、角、歩しかない。▲１七桂から▲２五歩という援軍の送り方はあるが、果たしてどの程度の効果があるか。

手数55: 手数55: ３７手目▲３九金の時に指摘されていた攻め筋。先手はあくまでも飛車の横利きを通したまま戦う方針のようだ。ここで後手の指す手が難しい。（１）△５四歩と突くと、▲５六飛で突いた歩を目標にされる。（２）△６三銀は▲７六歩で、やはり指した手が目標となってしまう。現局面は三歩持った先手がリードを充分に保っている。△６三銀に対しては、▲７六歩は△同歩▲同飛△７四歩▲２六飛△７五歩で千日手なら後手十分。△６三銀に対しては、▲９六歩△同歩▲９四歩が有力。

手数56: 手数56: 詰められた端歩を突きだした。△１四歩は意外な手。▲１七桂を悪手にさせたいということだが、ここからこじ開けに行くのは、後手は自信がないのかもしれない。▲同歩△同香▲１五歩△同香▲１六歩△７七角成▲同桂△１八歩▲同香△５四角といった順が調べられている。手得を生かす展開にしたかったが、当初の予定と全然違ったようだ。

手数57: 手数57: 先手は慎重に考えて▲同歩。次こそ▲２五歩が厳しいので、前述の△同香で一歩入手して△１八歩の筋が有力。△同香▲１五歩△同香▲１六歩△７七角成に▲同銀も有力と見られている。むしろ、▲同銀が自然と見られている。先手持ちの声が多い。

手数58: 手数58: 逆側の歩も突き捨てる。自然に▲同歩。突き捨てない方が良い変化もあり、何ともいえない。

手数59: 手数59: やはり自然に。形勢が悪い時は手抜いて▲２五歩なども考えられるが、良さそうな時は自然な指し手を続けるのが良いようだ。逆に苦戦と見られている後手は、戦線拡大して局面を複雑化させたい。

手数60: 手数60: ▲１五歩△同香▲１六歩に単に△６五桂が検討されている。以下、▲３三角成△同桂▲７七歩で手を作れるかどうか。△７七角成▲同銀△６五桂もあった。以下、▲８八銀△３三桂でどうか。

手数63: 手数63: 後手は香損は避けられない格好。ここで有効な攻めがないと、はっきり先手が良くなりそうだ。

