手数1:

手数2:

手数3: ３手目に▲５六歩と突き中飛車を匂わす立ち上がりを見せた。

手数4:

手数5: 先手は５筋の位を取る。

手数7: ５筋位取り中飛車に構えた。

手数10: 先手番の超速▲３七銀戦法の応用で、後手は４二玉型で△７四歩と突いた。恐らくこの後は△７三銀〜△６四銀を急ぐのだろう。先手番の時とは違って、飛車先の歩が一つで止まっている。これが後の進行にどう影響を及ぼしてくるだろうか。先手は早くも考えている。

手数11: ▲３八玉と寄った。

手数12: 後手はすぐに右銀を上がる。

手数13: 開始１３手目にして、先手は仕掛けて行った。

手数15:

手数17: 先手は角道を止める。角交換をなくしておいて、次に▲３四飛を狙う。また場合によっては▲６五歩と突き出す手もあるかもしれない。

手数18: 後手は再開後、銀を５三に引いた。この銀の動きだけで見ると２手損だが、相手の捌きを封じに出ようとしているようだ。

手数20: ▲５九飛をみて後手はすぐに△５五歩と打った。先ほど銀の動きで２手損した後手だが、こうなってみると立ち遅れているのは先手のようにも見える。先手は歩を駒台に載せたものの、金銀がまだ一度も動いていないのがそう見える要因だろう。

手数21: 先手はようやく銀を使う。今後は相手の５筋の位を目標に駒組みを進めることが予想される。

手数22: 位を取ったら位の確保。

手数25: 先手は美濃囲いに構えた。

手数26: 後手は中央の補強を目指すべく銀を上がる。

手数28: これでいつでも△６五歩から仕掛けていけるようになった。

手数29:

手数30: 後手は金を上がった。

手数33: 先手は端を受けなかった。

手数34: 後手はそれを見てすぐに端を突き越す。

手数35:

手数36: 後手は６筋に飛車を回り△６五歩を狙う。この手で△８五歩は▲７七角で、攻めるまでに時間が掛かりそうだ。

手数38: ここで後手は仕掛けて行った。この手で△７三桂と跳ねるのは、▲７五歩の桂頭攻めが気になるところだ。

手数39: 先手は▲６五同歩と取った。

手数40: 後手は△６五同飛と飛車で歩を取り返した。

手数41: 先手はすぐに歩を受ける。

手数43: 先手は飛車を７筋に回り、▲７五歩を狙う。

手数44: 後手は今切ったばかりの歩を再度合わせていった。▲６五同歩なら恐らく今度は△同銀と取るつもりだろう。以下▲６六歩△５六銀▲同銀△同歩▲同金△６七銀と進めば、先手の飛車が狙われる形となり、前手の▲７九飛を咎めた格好になりそうだ。

手数45: 手抜いても△６六歩と取り込まれると嫌な格好となる。先手は相手の技を堂々と受け止めにいった。

手数48: △６五同銀からここまでパタパタと手が進んだ。

手数51: ▲５六同金と取るのは△６七銀▲４五金△６八銀成▲７七飛△６六角と攻め込まれる手が厳しい。先手はここで５筋に飛車を振り戻した。

手数52: 後手はそれでも銀を６七に打ち込んで行った。次に△６八歩（△６九歩成▲同飛△７八銀成の狙い）が狙いの一手だ。

手数53: 先手はゆっくりはしていられない。これは△６八歩には▲９七角と端に覗いて勝負ということのようだ。

手数54: 後手は攻め合いには出ず、５四の歩を払いに行く。

手数55: 先手は５四の歩を守りながら圧力を掛けた。

手数56: 後手は△５二飛と回り、５四の歩を取りに出た。

手数57: 先手は５六の歩を取った。△５八歩には▲同金と取って持ちこたえていると見ている。

手数58: この歩を打たずに△５六同銀成は▲同飛で先手が軽い形となる。後手は▲５八同金と飛車先を重くしてから△７六銀成とするつもりだろう。

手数59: この歩は取る一手。

手数60: 後手は歩を取りながら銀を成り返る。しかしややそっぽに行った感じは否めない。

手数61:

手数62: 後手はじっと歩を伸ばし、先手の角の捌きを封じに出た。

手数63: 先手は飛車先を通すべく▲６八金と金を寄った。▲４八金寄としなかったのは、そこで△６七歩と垂らす手を嫌ったのかもしれない。

手数64: 後手は飛車で５四の歩を払う。▲５五歩に△５一飛と一段目に引こうということか。

手数66: 後手は５一まで飛車を引いた。

手数67: 先手はまたもや７筋からの捌きを見せた。

手数69: 次に▲６四歩△同金▲７六飛△同歩▲６四角の大捌きがある。

手数70: 後手は前述の大捌きを防ぐべく、△８五桂として角をどかしに出た。

手数71: さすがにここでは角を逃げるしかない。

手数72: ▲８六歩△同成銀▲７五飛の捌きを防ぐ。

手数73: それでも先手は▲８六歩と突いて行った。

手数75: 先手は角の引越しを始めた。

手数77: 次は▲２六角の狙い。

手数78:

手数79: ９七の地点から４手掛けて新たな住まいへ到達。

手数80: 後手は５筋から逆襲に出る。

手数81: 先手は６七に銀を引き、成銀との交換を挑んだ。

手数84: 後手は露骨に銀を打ち込んで行った。

手数87: ▲６二角成は△５七歩成で後手良し。

手数88: △５四飛と逃げる手には▲６三銀には△５五飛で良いが、▲４五銀と打たれて困る。

手数89: ▲６二銀の評判は良くなかったが、△５五飛で角筋を止めさせておいてから飛車を回ってきたのが、斬新な手順だったようだ。

手数91: 先手は歩を打った。

手数94: すごい形が現れた。飛車金が密集していて、何が当たりになっているのかも分かりづらい局面だ。

手数96: この手では△６七金として▲６五歩に△４八金で後手勝ちだったようだ。以下▲６七飛には△３八金▲同玉△５八飛成の王手飛車がある。△４八金が相手に受けのスペースを与えない厳しい寄せの一手のようだ。

手数98: ただこれでもまだ居飛車がやや良しかと言われている。

手数100: この手では△６一歩が激痛と言われていた。先手は▲４二銀成とするよりないが、△同金で６二の銀の処置に困る。

手数103: △３六歩▲８七飛△２六金▲４二銀成△同角▲２六歩△６五角で投了図になるかもしれないと言われている。

手数106:

手数110: この手がぴったり。３一の角が遠く８六の飛車を見ている。

