手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数12: 後手は得意の横歩取り模様に進めている。

手数15: 先手は少し間をおいてから横歩を取った。

手数16: 後手は横歩取り△３三角戦法を採用。

手数17: 先手はここで▲５八玉と玉の位置を決めた。最も多いのは▲３六飛と飛車を引き７六の歩を守る手だが、先手は場合によっては飛車をこの位置のままで駒組みを進めようと考えているようだ。例えばここで後手が△２二銀とし、今流行の△５二玉△５一金型の駒組みを目指してくれば、▲３六歩〜▲３七桂とし、次に▲４五桂を狙う指し方がある。そうなると後手は３二の金が浮いているので、△８八角成の瞬間▲３二飛成と王手で金を取られ、将棋はそれまでとなってしまう。

手数20: 後手は△４一玉型の横歩取りに。

手数21: 先手は△４一玉を見てようやく▲３六飛と引いた。

手数22: 後手は８四に飛車を引く。

手数24: 早くも揺さぶりを掛ける。▲２七歩では２筋への攻めがなくなるので、ここは▲２八銀と上がるだろう。

手数27: 先手も飛車を左辺へ転換すべく▲７五歩と突いた。

手数28: ▲８六飛と回られると△８二歩や△８四歩と嫌な形で歩を受けさせられるので、後手は回ったばかりの飛車を元の位置に戻した。

手数29: それでも先手は８筋に飛車を回り、飛車交換を挑んだ。

手数30: 飛車交換は現状では８三に傷がある分だけ、後手は損になる。

手数31: この手では最近では▲５六飛と中央に飛車を回っているケースが多いが、先手は７筋に飛車を回った。

手数32:

手数33: 先手はほとんど時間を使うことなく▲６八銀と上がった。この手は新手。これまではいずれも▲３六歩と突いていた。定跡は▲３六歩だが、この手をやってみようと思ったのかもしれない。

手数34: ここで△８八角成▲同金とすれば先手に壁金の形を強要できるが、後手にとっても９筋の端攻めを、あらかじめ備えられた格好になり、損得は微妙なところだ。そこで後手はここでは角交換せず、単に△９四歩と突いた。

手数35: このタイミングで先手は角交換に出た。これは３２手目で▲３三角成△同桂▲６八銀とするよりも、△９四歩の一手を限定させた意味がある。

手数37:

手数38: 後手は端を詰めて△９六歩の機会をうかがう。

手数39: 先手はここで２筋に飛車を回した。△２五歩なら▲５六飛や▲７六飛と回っておいて、後手を歩切れにすることができる。

手数40: 後手は薄くなった先手の玉頭を狙うべく、△５四歩と突いた。

手数41: 次に▲３五歩が味の良い突き出し。ここまで予定だったのかもしれない。

手数42: 後手は端から仕掛けていった。これは先手が一番気にしていた手なのかもしれない。

手数44: ▲８六同銀は△４四角がある。

手数46: ▲３五歩に△５六歩を用意している。対して▲５六同歩は玉頭が開くので指しづらい。また▲５六同飛には△９八歩▲同香△６五角が狙いの一手。４４手目に△８六歩▲同歩と突き捨てたのは、その手が狙いとしてあった。

手数47: △５六歩は問題ないと先手は▲３五歩と伸ばした。

手数48: 後手は今度は挑発に乗った。

手数49: 先手は▲５六同歩と飛車ではなく歩で取った。玉頭が薄くて怖い形だが、手がなければ指し過ぎに追い込めると見ている。具体的にはここで△５七歩のたたきがある。▲５七同玉は△１五角〜△５九角成で馬を作られるので、玉を逃げることになるが、そのとき後手が歩切れになるので、それ以上手が続かないと見ている。

手数50: 後手は８筋に歩を合わせていく。以下▲同歩△同飛▲８六歩に△７五飛と歩をかすめとる狙い。そう進むと次に△３五飛を狙え、また持ち歩も２枚となり先ほどの△５七歩の筋が指しやすくなる。

手数51:

