手数1:

手数2:

手数3:

手数4:

手数5: 先手は居飛車党。本局も▲７六歩△３四歩▲２六歩と居飛車の出だしとなった。

手数6: 後手も△８四歩から８筋の歩を伸ばす。相居飛車の将棋となった。

手数8: 横歩取り模様の出だしだが、最近の先手は▲２四歩△同歩▲同飛の後、▲２六飛や▲２八飛と引く将棋をよく指している。果たして本局はどうなるか。

手数15: 先手は横歩を取らずに▲２八飛と引いた。

手数16: 後手の方が横歩を取る展開となった。

手数19: ▲７七角〜▲８八銀は、まるで横歩取り△３三角戦法の後手のような組み方だ。

手数22: 後手は中住まいに組む。

手数25: ここで▲２五飛と浮いた。一旦▲２八飛と引いているため一手損した計算になっている。しかし消費時間の少なさから見て予定の作戦だろう。最初から後手番で横歩取りに誘導したと考えれば腹も立たない。

手数26: 後手は△７四飛と引いた。

手数27: 先手は▲８五飛と回した。８筋に後手の歩を使わせる狙い。

手数28: 後手は△８四歩と打った。これで前例がなくなった。

手数31: 先手は▲５九金と寄る。先手は「中原囲い」と呼ばれる組み方だ。

手数32: 後手は△３三桂と跳ねた。２二角が陰に隠れるが▲２六飛なら△４五桂がある。

手数33:

手数34: この△３五歩は、先ほどの△３三桂の考慮とは対照的にすぐに指された。これが後手の一連の構想だろう。次に△２四飛とぶつける手もある。

手数35: 先手は▲４六歩と突き、事前に△４五桂の筋を受ける。

手数38: △２四飛とぶつける。飛車交換は打ち込みの隙がない分、後手に分がありそうだ。

手数42:

手数48: 右桂を跳ね、徐々に攻撃態勢を整える。

手数49: ▲７九玉と寄る。玉はこの位置が一番安全度が高そうだ。

手数50: △６四歩は次に△６五桂と跳ねたとき、桂にヒモをつけている意味がある。他には△６三銀と自陣を整備したり、場合によっては△６五歩と角を攻める狙いもある。

手数53: 先手は▲３八飛と寄り、次に▲３六歩からの動きを見せる。

手数54: 後手は△６五桂と跳ねた。

手数56: 右桂に続いて左桂も跳ねる。この桂を跳ねるとお互いの角が向かい合い、いよいよ決戦の始まりだ。次に△６六角▲同歩△４九角がある。

手数57: 先手は▲５八銀と引いた。守りを固め△４九角の筋も消している。

手数58: △２四飛は次に△３七桂成▲同桂△２九飛成と攻め込む狙い。▲２八飛と寄ると△６六角▲同歩△３九角がある。

手数62: 後手は△８六歩と８筋の歩を伸ばす。次に△７五歩と突き、▲同銀なら△３九角と打つ手がある。

手数63: 先手は▲８八角と打った。△４四歩なら▲６六歩と桂を取りにいく狙い。単に▲６六歩だと△３九角▲２六飛△６六角成があり、▲８八角が最後の△６六角成を消している。

手数67:

手数68: 後手は△３七桂成と踏み込んでいった。玉の守りは金銀四枚が密集している先手の方が堅そうだが、△６五桂や△８六歩の存在も大きく、形勢はまだ互角のようだ。

手数71: ▲６五歩と目障りな桂をはずす。角道が開いたため次に▲４四角と出る手がある。

手数72: 飛車を先着する。次に桂を取って△８七桂と打つ手が厳しい。

手数79: 厳しい桂打ち。△５四銀に▲６四歩と取り込んで攻める狙い。

手数82: ６筋の歩が切れたこのタイミングで△６八歩と攻め合った。

手数87: 厳しい飛車打ち。６筋に歩が利かないため△６二歩が打てない。

手数88: △４三玉と上に逃げる。▲５五桂には△３三玉とかわし、６三金と取らせている間に攻め合う読みだ。

手数91: 送りの手筋。（１）△２二同玉なら▲４二飛成。（２）３二玉なら▲３三歩がある。

手数94: 後手は合駒をせず△１三玉とかわし、次に△１四歩から上部脱出を図る。

手数97: ▲３二竜以下の詰めろ。

手数103: ▲２五金までの詰めろ。

手数104: 後手は△３六角と打った。▲２五金を受けつつ△８七桂からの詰みを見た「詰めろ逃れの詰めろ」になっている。

手数105: 先手は▲４四角と出た。この手は８八への逃げ道を作りながら▲１三金以下の詰みを見た「詰めろ逃れの詰めろ」になっている。互いに秘術を尽くした面白い終盤戦だ。

手数106: 金を打って受ける。一手の余裕が欲しい。

手数109: ▲３四金以下の詰めろ。△２六同竜と取るようでは先手玉への脅威がなくなる。

手数110: △６九角成と踏み込んでいった。

手数112:

手数114: この局面で先手が投了した。投了以下（１）▲７六同銀には△６九飛▲７七玉△７六歩▲同玉△８四桂▲８六玉△８五歩▲同玉△７六銀▲８六玉△８五歩▲９五玉△９四銀▲８四玉△６四飛成まで。（２）▲７七玉には△８七飛▲６六玉△６五歩▲同玉△６七飛成▲同金△６四銀▲６六玉△７四桂▲５七玉△４八銀▲５八玉△６九銀▲４七玉△３七竜まで。（３）▲５七玉には△６五桂▲６六玉△５七銀▲７五玉△７四銀▲７六玉△７五飛▲８六玉△８九竜▲８七歩△８五飛▲９六玉△８四桂まで。どの変化も手数は長いが即詰みとなる。

