手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10: 局面は相掛かりへと進んでいる。

手数11: 二段目まで飛車を引く。先手は得意の相掛かり▲２八飛戦法を採用。

手数12: 後手は初手▲２六歩に対しては、どちらかと言えば△３四歩と突く方が多い。しかし先手との対戦では過去にも後手を持って２手目に△８四歩と突いている。本局では先手得意の相掛かりを受けて立つ形となっている。

手数13: 引き飛車にして棒銀を狙うのが先手の基本スタイル。よって当然この銀も４八でなく３八に立つことになる。

手数14: 早いタイミングで角道を開ける。これは先手の棒銀に対し、△３三角〜△２二銀と受ける形や、８四飛型から△３五歩と突いてひねり飛車で受ける形、また△３三桂と跳ねて受ける形など、さまざまな対抗策を見た序章の一手である。

手数15: 先手は銀を繰り出す。相掛かりは個性が出る将棋だが、特に先手の場合は他者とはかなり異なる独特の駒組みを見せることが多い。例えばこの銀にしても、普通は次にすぐ▲３六銀と繰り出しそうなものだが、先手の場合はしばらくこの位置で待機していることもしばしばある。

手数16: ここで飛車先の歩交換を目指した。相手の作戦が棒銀と確定し、飛車を浮き飛車に構えやすくなったことでの突き出しといえる。逆に中原流相掛かり▲３七銀戦法や腰掛け銀に対しては、飛車は二段目に居た方がいいケースが多い。

手数17:

手数18: ここで先手が手を止めている。

手数19: ▲８七歩と受けずに角道を開けて突っ張った。このタイミングでの▲７六歩は前例がなかったが、手順の違いで現局面と同一の将棋が１局指されており、後手が勝利を収めている。ここで後手が考えている。

手数20: 中住まいに玉を立った。居玉を避けながら飛車の引き場所を保留し、また△７六飛と歩を取る余地を残した。

手数21: 本局では先手は本格的な棒銀を採用。

手数22: ２手前の△５二玉はこの突き出しを見ていた。△５二玉を怠ってこの△７四歩を突くのは、▲２二角成△同銀▲９五角で王手飛車が掛かる。その筋を防ぐためには△５二玉や△４二玉や△９四歩などが必要だったわけだが、後手はそれらの中で△５二玉の１手が価値が高いと見たということになる。

手数23: グイグイ銀を出ていく。ここで△３三金は形が悪く指しきれないだろう。となれば３四の歩を守ることは諦め、激しい打撃戦になることが展開として予想される。

手数24: ここで横歩を取った。▲３四銀には△８八角成▲同銀△３六歩のような順で対抗することが予想される。現局面は前例がある。その将棋では先手が現局面から▲７七歩△８六飛▲８七歩と一旦収めて▲３四銀を実現させ勝ちきっている。

手数25: 先手は前例通りの▲７七歩を選択。内容を思い返しながら指しているのかもしれない。

手数26: ８筋に飛車を戻した。

手数27: ▲７七歩と打ったからには当然の継続手。飛車を四段目から追い払って▲３四銀を実現させる作戦だ。

手数28: ひとつ飛車を引いた。前例では△８四飛と引いており、ここで未知の局面へ突入した。

手数29: 予定通り歩を取る。ただ取ってようやくここで歩の損得がなくなった。現局面を見て言えることは、先手は相掛かりの引き飛車の形から、駒の損得なく銀を５手掛けて３四まで進めたことになっており、また後手は８五飛型から、△７二玉、△７四歩、△７二銀の３手を指し３三の歩を駒台に載せた計算になっている。そして現局面の手番は後手。これらを総合で評価したとき、果たしてどちらが得をしているのだろうか。

手数30: この手では△４四角と出て、▲２三銀成なら△２七歩▲同飛△２六歩を狙う順も考えられたが、後手は切り返しの順を用意することなく攻め合いに向かった。▲３六同歩には△５五角と飛び出す手が受けづらい。

手数31: 先手は金に伸び▲３八金を着手した。この手で▲３六同歩は△５五角▲１八飛△８六歩▲同歩△同飛で△３六飛を狙われる順が受けにくい。

手数32: 銀と歩の間に割りこませるようにして飛車を回った。

手数33: この手で▲２三銀成は△３七歩成▲同金△５五角で後手ペース。先手は左辺が壁になっているのが痛く、また右辺も薄い。

手数34: ３六の歩を取らせるわけにはいかないが、△５五角と飛び出す手は考えられた。そこで▲３六銀△同飛▲同歩△２八角成▲同金のような順が一例だが、後手はやや無理筋と判断しただろうか。

手数35: ▲３七同桂は△３六歩の追撃が来る。ここは金で取る一手だ。

手数36: このタイミングで角を飛び出す。▲４六歩には△同角で▲同金には△３九飛成が王手飛車取りとなる。

手数37: 角ではなく飛車を止めに掛かる。

