手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数12: 後手は横歩取りへの誘導を目指す。

手数15: どちらかと言えばじっくりした将棋を好む先手だが、本局では後手の誘導に乗り、横歩を取った。

手数16: 横歩取り△３三角戦法。現代将棋界で居飛車の後手番戦法として核となる戦法でもある。

手数18: 後手は飛車を四段目に引き揚げ、横歩取り△８四飛戦法の作戦を採った。

手数19: △２四飛を防ぐ飛車回り。

手数20: △２三歩ではなく銀を上がって受けるのが定跡。後手は歩損のため動いていく将棋に持ち込みたいところで、歩もできるだけ多く持っておきたい。

手数21: こちらは穏やかに歩を受けた。歩得でもあり、また飛車の動きで手数を掛けている関係で立ち遅れているので、できるだけ序盤のうちは穏やかに進める方針だ。

手数22: 中住まいに玉を立つ。この手では△４一玉から中原囲いに組む構想もあるところだ。

手数23:

手数24: 他に△６二銀や△７四歩、また△２三銀や△１四歩と左辺に手を掛ける手も指されているところ。

手数25: 他に▲４八銀や▲３八金もよく指されているところ。この辺りは作戦の岐路で、手順の前後によって展開が大きく変わるところでもある。

手数26: 中原囲いを完成。この場合縦の攻めを目指すことが多い。

手数27: 角頭を目指しズンズン３筋の歩を突き上げていく。

手数28: 銀を上がって３四の地点を補強。▲３三角成△同桂▲３四歩△２五歩▲３六飛のときに△３四銀と歩を取り払う手を用意した意味もある。

手数29: 金開きに構える。角の打ちこみに備えた意味が強い。

手数30: １筋の歩を突く。これは様子を見たものではなく、将来的に１筋から攻め込む手を見た一着だ。

手数31:

手数32: 後手はすぐに角交換し、狙われている角をさばいた。この△８八角成では前例は△２四歩とされている。

手数34: 次に△２五歩〜△２四飛とし、２筋から攻勢に出る順を用意した。

手数35: ７筋の歩を突き出した。

手数36: 先手が▲７五歩と飛車の横利きを通した手に対し、後手はいきなり△１五歩と仕掛けていった。

手数37:

手数38: 端歩を突き捨てておいてから飛車を押さえた。後手はこれで手になっていると見ている。

手数39: 何箇所かの逃げ場所がある中、最も浮かびにくいであろう９筋へと飛車を逃がした。次に狙いがあるわけでもないが、逆にこの位置が最も狙われにくいと判断したのだろう。

手数40: 逃げてきた飛車を目標に歩を突き出す。次に△９五歩のほか、△８六歩とすれば飛車交換は絶対の権利となる。

手数41: 壁銀を直す。端で歩の突き捨てが入っているが、先手に咎めに行く様子は今のところない。

手数42: 飛車取りに歩を突き出す前に香の頭を叩いた。▲１八同香に△９五歩と突き出すつもりだろう。そこで飛車の逃げ場が難しいと後手は見ている。

手数43: 先手は△１八歩は読み筋だったようで、歩を取った。

手数45: 今度は逆サイドの端へ逃げた。端から端へ。このような飛車の動きもかなり珍しい。

手数46: 角を打って飛車を封じ込める。次は何が何でも△１五香と走って飛車を召し取ろうとしている。

