手数1:

手数2:

手数3:

手数4:

手数5:

手数10: 戦型は相矢倉へ。

手数17: 先手は藤井矢倉を目指している。早囲いと脇システムをミックスした作戦で、積極的に攻勢を取りやすい。

手数23: 銀を繰り出す。

手数24: 先手の攻めをけん制する角上がり。後手は堂々と受けて立つつもりだ。△６四角は珍しい。△４四歩と突いて、▲６八玉に△７五歩と動く将棋が多い。△６四角は▲６八玉〜▲７八玉〜▲８八玉と早囲いにされたときに、どうするかが気になる。

手数25: 玉を固めにいく。

手数28:

手数29: これは▲７八玉型で戦う藤井矢倉ではない。先手はガッチリ矢倉に囲ってから攻めるつもりだ。先手の作戦は早囲いと呼ばれる。通常の▲７八金〜▲６八角から玉を入城させるルートに比べると、角を上がる手を省略できているので一手早い。デメリットは守りの面だ。▲７九角型なので、端攻めや玉頭攻めに弱い。

手数30: 右銀を守りに使う。

手数31: 矢倉が完成した。先手は一手得をどういかすか。▲４六角は普通の脇システムに合流してしまうので、▲１六歩の加藤流や、▲４六銀と上がる形を考えたい。

手数32: たまに見かける飛車回り。つぎは△８二角〜△６四歩〜△６五歩の歩交換、△７三桂〜△８五桂と桂を跳ぶことができる。中川調だ。△６二飛は、中川大輔八段が好んで指している。

手数33: ▲１六歩。△１四歩なら、棒銀で端攻めを狙うことができる。

手数34: 角を引いた。６筋の動きを急ぐつもりだ。先手の手が止まっている。▲３五歩△同歩▲同角は△３六歩でしびれるので、一工夫して攻撃態勢を整えたい。藤井矢倉に△６二飛とまわるのは研究されている。△５二金のままやっているのがポイントで、△４二金右と角打ちに強い形で玉を固めることができる。

手数35: 飛車を３筋に回った。一例は▲１五歩〜▲１七桂〜▲２五桂。角のラインを受けながら、桂を繰り出すことができる。△６四歩に▲３五歩△同歩▲同角も考えられる。

手数37: 端から桂を活用した。先手ペースに見える。早囲いで手得できているのが、いきてきそうだからだ。▲７九角型は８筋が薄いものの、後手が飛車を６筋に転換したのでそれも気にならない。

手数38: 狙いの一手。８二角の利きも通った。

手数40:

手数41:

手数42: 当たりを避けて、一番下まで引いた。気になるのは、７二へカナ駒を打たれる筋だ。

手数43: △２四銀には、▲１五歩〜▲１七香から▲３五歩△同歩▲４六銀と仕掛ける手が考えられる。

手数44: 下へ。壁銀なので辛抱した印象だ。

手数45: 先手は端を伸ばした。これでいつでも桂をさばくことができる。

手数46: 桂を使うのは自然だが、問題はそのあとだ。後手は△４三金右とすると▲５二銀のキズができるので、駒組みに気を使う。△７三桂では△９四歩もありえた。

手数47: いきなり飛び込んだ。後手陣がいびつなうちに強襲をかけるつもりだ。駒を手にいれれば、８三へ打てる。銀なら▲８三銀△７一角▲７二銀成、香なら▲８三香△７一角▲８一香成△６二角▲８二成香。飛車角桂をいじめていけば駒得になる。これは先手が良くなるかもしれない、後手はこの瞬間に仕掛けられるのが一番嫌だ。▲１三桂成に代えて▲３五歩も考えられた。

手数48: 銀で。▲１四歩か、それともいきなり▲１三角成か。

手数49: 局面のペースが早くなってきた。

手数55: Ｂ面攻撃。後手の大駒をいじめにいく。△８五桂と跳ねていれば△７三角で軽くかわせるが、いまは△７一角しかない。考えにくい手だったようだ。

手数59: △４一飛▲７二成香△５一角という手がある。そこで先手がどう攻めるか。▲７三成香△同角▲６五桂とやってしまうのかもしれない。他の手を指すかもしれないが、先手ペースだろう。

手数60: ▲７二成香に△６三飛の逃げ場所を用意した。

手数63: なにで取っても▲６五桂。

手数64: ▲６五桂△８二角▲５三桂成。そこで△同金と△同飛、どちらも有力で、先手が攻めつぶすのも容易ではないようだ。

手数65:

手数68: 後手は△７五歩、△８五歩〜△８六歩と味をつけるのが楽しみ。先手は３八飛をどう使うか。▲１三角成△同桂▲１四歩は見えるが、角を渡すのでリスクも高い。検討では▲３五歩が候補に挙がっていた。

手数69: 端に垂らした。△２二玉は▲４一銀。△２二銀なら壁になるので、▲５五歩（△同歩は▲５四銀）と横から攻めてどうか。

手数70: 桂が９五に置かれた。いきなりの手だ。△８五香や△８七桂成▲同金△８五香と襲い掛かる手を作った。だが、ここで▲１一歩成が▲２一と△同玉▲１三角成の先手になる。先手ペースで進んでいたが、△９五桂で差が縮まった。△９五桂は厳しかった。▲１一歩成を受けないとは思わなかったようだ。桂に気づいていたら、▲６五桂と打つところで▲１二歩と指していたかもしれない。

