手数1:

手数2:

手数3:

手数4:

手数8: 横歩取り模様に進んでいる。

手数15: 横歩を取った。横歩取りは居飛車党の後手も得意とするところで、相手の得意戦法に飛び込んだ形だ。

手数16: 最も前例の多い角上がり。

手数21: １７手目に▲３六飛と引けばここまではワンセットともいえる手順だ。この局面から進行が分岐していく。

手数22: 中住まいに構える。

手数23: 先手も中住まいを選択した。

手数24: △９四歩と突く。

手数25: 金開きに構える。

手数26: 端を突き越す。玉形を決めず、端攻めを含みに入れる。

手数27:

手数28: １筋の端歩も突く。

手数29: 指された▲７五歩は前例にない手だ。

手数30: ９筋に続いて１筋の端歩も伸ばす。

手数31:

手数32: 対局再開の一手は△４二角だった。

手数34: いったん角は隠居するが、桂の活用を優先させる。

手数35: ひねり飛車だが、９筋を突き越されているため石田流本組みの形は作れない。

手数36: 飛成を見せ、歩打ちを強要している。

手数38: 玉頭の歩を突く。角を使える目途がたった。

手数40:

手数41: ８筋に歩を謝らせたことに満足して７筋に戻す。

手数42: △５五歩と突き、飛車の横利きを通した。

手数44: 角筋を生かして相手の飛車に狙いをつける。

手数48: 先手は飛車が狭い印象。また後手は７七の桂を狙っている。

手数49:

手数50: ７筋の歩を突き出す。

手数52: 飛車で桂取りをかける。受けにくそうだ。

手数53: △８五飛と桂を取られても▲３四歩で取り返せる。

手数54: ３四の地点に利かす。次こそ△８五飛で桂得になる。

手数55: ３筋に飛車を寄り、△８五飛には▲３四歩を再び用意した。

手数57: 飛車取りに角を上がり、△８五飛を催促する。

手数59: △３五歩は▲２六飛があり、後手は歩切れなので失敗だ。

手数60: 桂を打って飛車を追う。△３四銀が実現すれば桂得が残る。

手数61: ２六へ飛車を逃がす。△３四銀には▲２四飛だ。△２六同角▲同歩△３四銀なら３筋と７筋、両側に底歩が利き、飛車の打ち込みに強い形になる。

手数62: △６四角と上がった。これは▲３三歩成には△同金と応じて金と銀で先手の飛車を圧迫しようということか。△６四角は▲２五飛〜▲５五飛を防いでいる。

手数63: 桂を取り返す。

手数65: 飛車をひとつ上がる。次に▲５六桂を狙っている。例えば△３四金▲５六桂△２五金は▲６四桂が王手なので、２五の金が取れる。現局面から一例として、△３五歩▲同飛△３四銀▲５六桂△７三角▲７四歩△３五銀▲７三歩成△同桂の進行だろうか。

手数66: 直接桂取りに歩を打った。

手数67: 狙いの桂打ち。△５六同歩なら▲８五飛で飛車の素抜きだ。

手数70: △３四金と飛車取りに上がるのは▲５三桂成〜▲５五飛とさばかれたときに自陣の駒が上ずっている。引くのが手堅い。

手数71: 次に▲３四歩の垂れ歩が厳しい狙いだ。

手数74: 歩を成り捨てて先着し、▲３四歩を受ける。

手数76: 角と刺し違える狙いのようだ。

手数77: 角を引く。

手数79: 飛車取りに角を上がると……。

手数80: △６五飛で４手前と同じ局面に戻ってしまった。

手数81: 千日手を打開する。

手数83: 飛車を中央にさばき、交換を挑む。

手数84: 飛車でなく角を取る。相手陣は歩を突かせて角で攻めるほうが攻めやすいと見ている。

手数90: 角を３三に引き揚げた。次は△６六桂の両取りが狙いだ。

手数91: 金を上がって両取りを防ぐ。

手数95:

手数96: 対局再開。△５六歩と桂を取り、後手が桂２枚の駒得となった。駒得が大きく、後手がよくなったとの評判だ。

手数102: 先手は飛車に弱い陣形になっている。飛車を攻めるのが早い。

手数106: △６六桂を見せつつ、６二への逃げ道を作った。

手数108: 手筋の早逃げ。急に先手の攻めが遠くなった印象だ。

手数113: 必死に迫るが△５二玉で厳しい攻めが続かない。

手数116: 手番が回ったところで王手で飛車を下ろす。この手を見て先手が投了した。

