手数1:

手数2:

手数3: 本局は相居飛車の将棋が予想される。

手数4: 飛車先を突き、相居飛車が濃厚となった。

手数5:

手数6:

手数15: 横歩取りに進んだ。

手数16: オーソドックスに角を上がった。代えて△３三桂や△８八角成は、プロの間ではすっかり少数派になっている。

手数17: ▲２四飛〜▲３四飛と横に動いて歩を取ったが、飛車を働かせていくには位置が悪い。今度は手数をかけて立て直していく。

手数22: 飛車と玉の位置でいくつかの組み合わせが考えられる。後手は８四飛・５二玉型を採用した。

手数23: まずは右銀を４八に構える。代えて▲６八玉や▲５八玉もよく指されている局面だった。

手数24: 速攻を含みに右銀を真っ直ぐ上がる。

手数25: この局面は今まで公式戦で現れていない。飛車の横利きが止まることに抵抗があるのだろう。

手数26: 早速、７六歩を狙って飛車を寄る。

手数27: 飛車の横利きを通して７六歩にヒモをつけた。

手数28: 相手の飛車が縦に動けば△７六飛と走れる。飛車取りに歩を打って態度を聞く。

手数29: 堂々と▲２五同飛と応じた。

手数30: △７六飛と歩を取った手が△８八角成▲同銀（▲同金は△７九飛成）△７八飛成の先手だ。

手数31: 桂を跳ねて△８八角成を防ぐ。この局面で後手が手を止めて考えている。何か手がありそうだ。

手数32: △２四歩と打った。

手数33: 飛車を三段目に引く。

手数34: ３五歩を裏から狙って飛車を回す。読み筋だったか、早い着手だった。

手数35:

手数38: ３五の歩を取る。これで双方歩の損得はない。

手数39: 相手から△３六歩と打たれる手を犠打で防ぐ。

手数40: これで後手が歩得になった。

手数43: 利きのない所に再度歩を打つ。△３六歩を防ぎ、歩を犠牲にして▲４七銀を間に合わせようとしている。

手数45: ４七に上がったのは金だった。

手数47: 飛車を浮いて利きを足し、△３六歩に備える。

手数48: 浮いてきた飛車に歩で頭突きした。

手数49:

手数52: 再度の△２五歩で強制的に飛車の移動を迫る。

手数53: 横へ逃げ、３六への利きを保つ。

手数54: 相手の飛車は狭い。△１五歩を見せ、追い込んでいく。

手数55: 飛車の横利きを通す歩突き。後手としてはこのまま飛車に逃げられては面白くない。

手数56: 桂取りに歩を打つ。飛車の退路を断ち、交換を迫る好手だ。

手数57: 代えて▲３六同金としても△１五歩で飛車が取られる。

手数58: 飛車を入手すれば先手陣に打ち込みの隙は多い。

手数60: 王手香取りの先手で飛車を打ち込む。後手が有利になった。

手数62: 取れる香には目もくれず、金取りに飛車を成る。金を逃がせば△３六歩が痛打だ。

手数63: 力強く玉を上がり、金にヒモをつけた。

手数65: 角道を通す桂跳ね。場合によっては７七に逃げ込むことも視野に入る。

手数66: 竜をひとつ入り、△２七歩成のスペースを空けた。

手数68: 桂取りを放置してと金を作る。

手数69: さらに銀取りに歩を打つ。当たりになっている駒が多いのは局面の激しさを物語っている。

手数71: ▲２三歩△同銀で３三への銀の利きを外してから桂を取った。

手数72: 角で取る。露出した先手玉を追うのに手駒が欲しいところだ。

手数73: 一度は歩を突く。先手は４五の地点に桂を持って来られれば玉頭攻めが望める。

手数74: ▲４五桂でなく▲４五桂打があるようだ。△３八竜に▲５六玉と逃げた際、３七に桂を残しておくことで△３六竜を防いでいる。

手数75: 桂打ちではなく桂跳ねだった。

手数76: 玉を寄る。

手数78:

手数80: △８八角成と着手した。

手数93: 後手に決め手がありそうだ。

手数94: 後手は金銀両取りに△３九竜と着手した。この手を見て先手が投了した。先手は75手目▲４五桂で桂を２枚跳ねることができて手応えを得たものの、直後の△６二玉が好手で、自陣に竜およびと金を作られており厳しいと感じたようだ。一方の後手は63手目▲４七玉を軽視しており、玉が上がった形がなかなか寄らなかったようだ。

