手数1:

手数2:

手数3:

手数4:

手数15: 戦型は横歩取りへ。

手数18: ８四に引くのは流行形。

手数22: 後手は中住まいへ。

手数23: 先手は玉を６八に構えた。

手数24: 近年増えてきた布陣。△７四歩から左辺、△２四飛などから右辺で動く手を含みにしている。

手数26: △２四飛とぶつける将棋が流行している。

手数28: もう飛車をぶつけた。

手数29: 飛車交換は不利と見て拒否する。

手数30: ７六歩を狙う。縦歩取りと言われる筋だ。▲３三角成△同銀▲８二角は△４四角の飛車香両取りの切り返しがある。

手数31: 銀を活用。７六歩を取られて歩損を解消されても大丈夫なようだ。

手数32: じっと玉を寄る。△７二銀の形から美濃囲いに囲い直すのは、最近増えてきた手筋だ。

手数33: 飛車を引き、当たりを避ける。△４四角のラインがなくなったので、後手も７六歩は取りにくいだろうか。△７六飛は▲３三角成△同桂▲２四歩が気になる。

手数34: 後手は玉を囲った。

手数36: ここに歩を打つのは昔にない感覚。後手は相掛かりのひねり飛車に似ているが、ひねり飛車はなかなか歩を打たない。しかも一歩損しているのに打っている。ひねり飛車との違いは、後手が角交換できること、先手の玉がなかなか堅くならないことだ。だから持ち歩を減らす△８三歩も打ちやすい。

手数40:

手数41: ここで角交換。

手数43: つぎに▲７七銀と上がれば、△７六飛を防ぐことができる。いまは後手が手を作らないといけない局面。このままだと先手の形がどんどん良くなってしまう。ならば、現局面で△７六飛と横歩を取ってしまいたいが、飛車が４段目からそれるので先手から▲２四歩と突かれるのが気になる。

手数44: 飛車を３四にまわり、先手の桂頭に狙いをつけた。▲３五銀には△同飛▲同歩△３六歩。先手は壁なので、それは不利になってしまうだろう。

手数45: 飛車浮きで受けた。代えて▲３五歩△７四飛▲２六飛と欲張るのは、△３六歩▲同飛△２七角がある。

手数46: バンバン動いていく。このままだと△２五歩▲同桂△２四飛からさばかれるので、先手は▲同歩が自然だ。

手数48: ▲２五歩は△１五銀▲２九飛△３六飛とされてしまう。飛車が狭いようだが、△２六飛とぶつける手が後手にはある。その変化は、１筋の突き合いを入れていないのが後手にとって生きている。

手数49: △８四飛なら▲２五歩△１五銀▲２九飛だろう。今度は△３六飛がない。△２五歩▲２九飛△３六飛も見えるが、▲３四歩と桂損するので指しにくいようだ。

手数50: 飛車角交換を含みにした逃げ場所だ。ただ、飛車がいなくなると２四銀が浮き駒になるので、組み合わせが大事だ。

手数51: じっと形を直す。後手が忙しい。先手はどんどん形が良くなる。

手数52: ここで端角とは。△１五銀▲２一飛成△２四飛と飛車交換の筋を作った意味だろうか。１四角はそのときに３二金へひもをつけている。△３五歩や△２五桂もある。含みがある角打ちだ。

手数53: ▲１六歩で△１五銀を消した。▲１五歩と突かれる前に後手が動いてくるのは見えているので、堂々とした一手である。

手数54:

手数55: ▲３五同歩は△５六飛▲同歩△４七角成が嫌だったか。先手は端を突いて後手の攻めを急かした。

手数56: ３筋の歩は、角で取らせたと考えるべきだ。△３六歩だと歩で桂を取られてしまうが、これならなかなか取られない。あと先手は▲３四歩が打てるようになっている。

手数57: △５六飛▲同歩△４七角成を消す。

手数58: 桂をさばきにいった。

手数59: 玉を固め、後手の動きを待つ。後手の２四銀が活躍するかどうかの将棋になった。△３七桂成は▲同銀△２五角と進む。それは後手の２四銀が２五へ進みにくく、活用しにくい。角の位置も中途ណ្ぱに見える。

手数60:

手数61: さあ、ここで後手がどうつなげるか。後手の手に注目しよう。△４九角でつなげるのだろうか。

手数62: ▲６八金右は△４七角成、▲４八金は△２七角引成でつなぐことになる。

手数63: 先手は▲６八金右を選んだ。△４七角成は許すが、玉の堅さを重視した手だ。先手は後手の手に乗って玉を固めている。実戦的には、玉の堅い先手が勝ちやすい。

手数65: 桂の跳ね違い。後手は△３七桂成とすると▲２四飛と銀を取られてしまうので、なかなか桂は成れない。

手数66: ４六銀取りだ。

手数67: 自陣を固めながら銀取りを受ける。

手数68: 後手もと金を作って迫る。ここは手が広い。▲５三桂不成、▲５三桂成、▲２一飛などが考えられる。後手は△３五銀から飛車のいじめ、△４八とから迫るのだろうか。しかし、△４八とは▲同銀△同馬▲４六飛から角を手駒にされる筋がある。難しい。

手数69: 素朴に金銀両取りをかけた。△３三歩▲２四飛となれば、２五桂をどちらかの飛車で取ることができる。

手数70: ▲３二飛成が金取りになるが、どう対応するつもりなのだろうか。

手数71: 先手はすぐに飛車を成った。

手数72: つぎに△５八と〜△５七とで効率よくカナ駒をはがせる。先手はその前にどう指すか。△５八との前に、▲４八同銀△同馬▲４六飛で角を手に入れるのが手筋だ。それなら先手玉は堅い。もちろんも▲２三竜と金を取る手も見えるが、遊び駒の金を相手にさせられて手番を渡しているかもしれない。それよりは、後手の美濃囲いへ迫ったほうがわかりやすい。

手数73:

手数75: 指摘されていた筋。先手は角を１枚補充できる。

手数77: スピードを重視して、不成で飛び込んだ。△７一金には▲４三飛成だろうか。

手数78: 竜に当てた。一見▲６一桂成△３二金▲４八飛が決め手に見えるが、そこで△６一銀▲４九飛と角を２枚取らせて粘るようだ。△３三金に▲３三同竜△同銀▲６一桂成△同銀▲４三飛成も見え、遊び駒だった金銀２枚を相手にするので指しにくいが、竜が作れる。じっと▲２一竜と逃げる手もあり、先手はどれも有力に見える。選択肢が多いのは逆に悩ましい。

手数79: 先手は竜を逃げる手を選んだ。

手数80: 後手も金を逃げる。

手数81: △３四同金は▲４三飛成。

手数82: 飛車取りで切り返す。

手数83:

手数84: 飛車と金を取り合った。いよいよ終盤戦に突入だ。

手数85: ▲６一金は△同銀▲同桂成△同金▲同竜△７一金で弾かれる。それよりはと金を５二まで活用するのが筋だ。

手数86: 攻め合いになった。

手数87: 先手は▲６二金の他に、駒が手に入れば▲７一竜△同玉から玉を引きずり出して寄せる手も狙っている。

手数88: ５２手目△１四角以降、後手がピンチと言われていたが、ここに来て元気の出る展開になったのでは。局面は少し後手がよいかもしれないが、あとは残り時間との勝負もある。

手数89: ▲６八同金もあった。

手数90: ▲６二金は△６九金▲８八玉△６八金とされる。以下▲７一竜△９三玉となると、斜め駒のゼットになるから後手がいいだろう。よく見ると、後手の４八馬が利いている。先手が良さそうに見えたが、いまは大変かもしれない。

手数91: 玉の早逃げ。後手も安易に攻めると、駒を渡すので危ない。特に角を渡すと▲７一竜を誘発する。

手数92: 銀をかけた。

手数94:

手数95: 駒を手に入れるテクニックだ。▲７八同金△同銀成▲同玉は△６八馬が王手になるので危ない。

手数96: ▲３一同竜とさせて時間を稼ぐ意味だろうか。▲２四竜と銀を取られるのを消す意味もあるかもしれない。

手数97: この竜を働かせなければ、先手に勝機はない。

手数98: 強烈な放り込みだ。▲８八同金△同金▲同玉は△６八馬。そこで▲７一竜は△９三玉で詰まない。▲８五桂△８四玉▲７五金は△同馬だ。４八馬が働いて、後手玉は詰まない。

手数99: 飛車は取れなかった。

手数100: 後手が勝ちになったか。▲８九同金は△８五桂▲８六玉△６八馬で詰みだ。

手数101:

手数102: ここで先手が投了した。以下▲９八玉に△６八馬と銀を取れば先手玉は必至。▲８六玉は△６八馬から詰む。後手玉は詰まない。

