手数1:

手数2:

手数3:

手数4:

手数5:

手数7:

手数8:

手数9:

手数10: 戦型は角換わりへ。

手数13: 棒銀、早繰り銀、腰掛け銀を含みにした銀上がり。

手数15: 先手は腰掛け銀を目指す。

手数16: 後手も追随した。

手数22: △５四銀と歩調を合わせるのは、▲４五銀△同銀▲６三角でしびれる。

手数26: 端を突き合う。

手数28: △５四銀や△４四歩を保留したまま、７筋を突いた。後手の駒組みはやや珍しい。金の形も決めていないので、陣形の含みが多い。例えば、△４二飛とまわる作戦や、金を動かさないまま攻撃態勢を優先する工夫も指されている。

手数29: 金を上がった。

手数30: 足早に桂を活用。積極的な駒運びだ。後手ながら先攻するつもりかもしれない。

手数32:

手数33: 先手も桂を活用する。

手数34: ５二へ。△６三金と上がり、△６五桂を狙う展開も考えられる。

手数35: △６五桂を消した。ここは後手の分岐点。△４四歩▲２五歩△３三銀なら同型になる。

手数36: 後手は△６三金を選択。７三の地点をケアしているので、△６五歩と仕掛けやすい。

手数37: 飛車先を突き越した。

手数39: 先手も右金を右辺に使う。意味は△６三金と同じで、桂を跳ねやすくしたものだ。

手数40: 後手は△６五歩と仕掛けなかった。現局面から▲４五歩△同歩▲同桂△４四銀▲４六歩△８六歩と進んだ前例がある。

手数41: 仕掛けた。

手数42: 後手も突っかけた。どこまで同じ形が続くのだろうか。

手数43: さらに味をつけた。△３五同歩▲４四歩△同銀となれば、いつでも▲２四歩から十字飛車を狙える。後手は同じように△７五歩と突きたいが、先に攻めている先手が良くなりそうで怖い。

手数44: 後手は堂々の△同歩。

手数45: 間髪入れずに４筋を取り込む。

手数46: 相手の攻めを呼び込む強気な応手。▲３六同金には△３九角▲５八飛△４八歩と戦うのだろう。

手数47: ▲４五桂は△６四角や△４六歩を利かされるのが嫌だったか。

手数48: ８筋も突き捨てる。

手数49: ▲同銀は本譜のように△８七歩▲同金を利かされると、先手は思った以上に薄くなったようだ。

手数50: じっと垂らした。嫌味な垂れ歩で、このままでは先手玉が狭い。

手数51: 先手は歩を払った。

手数52: 利かしてから手を戻す。▲２四歩△同歩に（１）▲同飛は△１三角〜△５七角成で王手銀取りがかかる。筋は（２）▲２二歩。△同金と壁金にさせてから▲４五金とぶつければ迫力がある。

手数54: 後手は△３九角や△８五歩が楽しみだ。

手数55: お返しとばかりに垂らした。▲２二歩に比べると曲線的な手である。お互いにジャブを放ち、少しずつポイントを稼ぐ感じだ。△２三同金には▲８八玉で玉を安定させるのが大きいだろう。

手数56: △３八歩も考えられた。放置すれば△３九角〜△５七角成。

手数57: 当たりをきつくしてから歩を合わせる。△２五同歩には▲２四歩△同金▲２五金で棒金がさばける。普通の手（▲２五歩）ではおかしいと見たか。

手数58: ここで角を利かせた。いまなら▲５八飛の一手。

手数59: まだ形勢に差はついていないようだ。お互いに陣形が薄いのは珍しい。

手数60: 歩を使うのがプロの技。▲４七同銀なら△６六歩の取り込みが効果的だ。ただし、▲６四歩と反撃されるリスクは高い。△４八歩も考えられる。

手数61: △４八歩成▲同歩△２八角成で馬を作られるが、▲２四歩△同金▲２五金と攻めてどうか。▲４七同銀△６六歩▲同銀△８五歩▲同歩△６五歩▲７七銀△８五桂▲８六銀△６六歩▲６八歩も考えられたが、本譜はアヤがあったかもしれない。

手数64: つぎは△２七馬が厳しい。先手の飛車を封じ込めたのも後手のポイントだ。

手数67: 先手の攻め、後手の受けという構図になった。△２五同金は▲同桂で▲３四金の筋が気になる。△２三金と引いて、△３七馬を楽しみにするのだろう。先手も忙しい。▲４七歩△１九馬▲６五歩も考えられたが、本譜との比較は難しい。

手数68: （１）▲２四歩△３三金▲３四歩△３二金は気持ちよくても次がない。（２）▲３四角は非常手段気味か。これで手がなかったようだ。

手数69: ▲２二歩。△２二同金は▲３四金と進むことができる。△３三桂は▲２一歩成△同玉▲２四歩。△２二同玉に▲２四歩△３三金▲４五桂△同銀右▲同銀△同銀▲３四歩△３二金▲４一角が狙いか。

手数70: 金で取った。これは▲３四金が気持ちいい。

手数72: あの金が銀と交換になる。

手数75: 桂が金取りで跳べた。先手がうまくさばいている。

手数76: ここで指す手が難しい。さばいたように見えるが、ここで手がなかったようだ。例えば、▲２三歩は△３二玉と立たれる。そこで▲２二角は△１二金だ。

手数77: ３三へ垂らした。△３三同桂▲同桂成△同金は、桂と手番を渡すのでやりにくい。

手数78: 後手は先手の手に乗って、△４二玉から反対側へ逃げたい。そうすれば６三金が働いてくる。

手数79: また垂れ歩とは。▲２三角の直接手では玉を逃がすと判断したようだ。

手数80: 安全な右辺を目指す。

手数82: おお、△３三玉。後手は入玉を目指している。

手数83: 香車は入玉を止める駒になりやすい。

手数84: 邪魔な銀を追い払う。これは後手が良くなった。展開次第では寄せ合い勝ちも狙える。▲６七銀はますます入玉を止められない。２八馬が光っている。

手数85: 馬取りで飛車の横利きを通す。二段目をキープすれば、入玉はされない。

手数87: 銀を逃げては勝負にならないと開き直った。

手数88: ▲同歩に△６七銀が大きな重しだ。

手数89: △２四玉は▲４四角成△３四金▲１三銀△同玉▲３四馬で受けなし。

手数90: ▲４六桂△３五玉は後手玉が前進できる。

手数91: 馬でプレッシャーをかける。ただ、後手玉は４三のルートもあるので広い。継ぎ盤には△６七銀が示された。

手数92: ▲３八飛は△３七歩。逃げるなら９八しかない。

手数94: 上へ逃げた。

手数95: 飛車取りを手抜いたが、これは詰めろではない。△５八銀不成に▲２三馬△５五玉▲５六馬△６四玉で詰まない。

手数96: 飛車を取る。

手数100: この手で１００手に達した。

手数101: △６七銀成は▲５五銀で事件が起こる。△８五桂か△６二金が手堅い。

手数102: もっと派手な手があった。敵の打ちたいところに打ての格言に沿っている。▲５五同歩に△６七銀不成の詰めろが入る仕掛けだ。ちなみに△６七銀成は▲５六桂までの詰み。

手数104: 不成が大事なところで、成るのは▲５六桂で大事件。

手数108: △７八飛からの詰めろ。▲８八玉の早逃げは△７八飛▲９七玉△８五桂打▲同歩△同桂▲８六玉△７七桂成から詰み。

手数109: これは△６五同桂の一手。

手数110: ７三への逃げ道ができた。

手数111: △７八同金▲同玉△６七銀▲８八玉は詰まない。以下△７八飛▲９八玉に△８五桂打の筋がない。

手数112: 後手はかなり慎重な指し回しだ。ここで先手が投了。投了以下は▲８八玉に△３九飛成が馬取り。△７八金▲同玉△４八竜が厳しいので一手一手となる。

