手数1:

手数2:

手数3:

手数4:

手数11: 戦型は相掛かり。

手数12: すぐに歩を交換する。ここは飛車先を交換せずに様子を見て、先手が銀の態度を明らかにしてから△８六歩も多い。それなら後手は飛車の位置を先手の銀の動きに合わせて選べる。

手数16: 浮き飛車に構えた。

手数21: 先手は得意の引き飛車棒銀を採用。

手数25: 角道を止めて穏やかな戦いを目指す。

手数31: ▲４五銀。△６四歩で飛車の横利きが止まったことに目をつけた。

手数32: ３五歩を支える駒がないので、やや不安定だ。後手はどうやって後手陣をまとめるのか。

手数35:

手数36: 強気に銀をぶつけた。

手数37: 歩の裏側に潜り込んだ。

手数39: 銀をまっすぐ上がる。▲７七銀に比べると角筋が通っており、後手の動きに対応しやすいのかもしれない。

手数44: 銀交換になった。

手数45: 守りに見えた銀を中央に活用。後手陣が悪形のうちに攻めるつもりだろうか。

手数46: 壁銀を解消した。

手数47: どんどんぶつける。▲６六角から飛車を追うのも狙いだろう。

手数52: ▲３六同歩なら△２四角が△４六角を見て味がよい。△６二同金は▲６六角△８二飛▲７一銀、△６二同角も▲６一銀や▲６六角で受けきれないと見たのだろう。

手数56: 大きな利かしが入った。

手数62: 後手はかなり怖い形だが、▲５三角成には△４七歩▲同飛△４六歩と叩けばよい。

手数67: 先手が踏み込んだ。△４四同飛に▲同馬は△４九飛が王手馬取り。

手数69: △４七歩なら▲４四馬。それは王手馬取りの筋が消えている。

手数71: ガッチリ受けた。△４七歩は▲４四馬△４八歩成▲同金が飛車に当たる。

手数75:

手数81: ここで後手が投了した。後手玉は▲６二とで一手一手。先手玉は馬がいるので、金を取られても寄らない。

