手数1:

手数2:

手数3:

手数5:

手数6:

手数7: 先手の作戦は５筋位取り中飛車。本局ではどんな工夫を見せてくれるのだろうか。

手数11: 先手も玉を移動し、陣形を整える。

手数13: 先手は１筋の歩を受けず、玉を３八に寄った。後手に△１五歩と突き越されたら、穴熊に組むのだろうか。

手数14: 後手は△１五歩と端歩を突き越した。後手玉が広くなったうえに、いつでも△１六歩からの端攻めが見込める。

手数15:

手数16: 後手は角筋を開けずに△４二銀と上がった。どんな構想を描いているのだろうか。

手数18: 先手は美濃に組むのか、それとも穴熊にするのか。

手数19: 先手は▲６六歩と２重に角筋を止めた。いつまで玉の態度を明かさないのだろうか。

手数20: 後手は２０手目にして、ようやく角筋を開けた。

手数21: ▲６六歩からの継続的な銀上がりである。

手数22: 角筋が３重に止まった。しばらくは駒組みが続きそうだ。

手数23: 先手はまだ玉の囲いを明かさない。

手数24: △４四歩からの継続手。本格的な戦いは、まだ先になりそうだ。

手数27: 先手は▲３八銀と上がり、ようやく美濃に。１筋を突き越されている点が終盤でどう響くか。先手は端で省略した２手を中央に回した格好だ。

手数29: 先手はこのタイミングで９筋の歩を突いた。玉側の端歩は手を抜き、反対側の端歩を突く。実に奥が深い。端歩が永遠のテーマといわれるのもうなずける。ここで▲９六歩は意味が分かりにくいかもしれない。１筋を受けなかったわけですから、９筋の歩は突きたくないと考えるのが普通。そもそもなぜ１筋を受けなかったのだろうか。▲１六歩と受けると後手に動かれる可能性はあったが、振り飛車が先手なのでなんとかしたいところだろう。

手数30: 後手は△７三銀と上がった。次に△８四銀と角頭を狙うのか。もしくは△６二飛と回って６筋を反発するのか。

手数31: 先手が▲１六歩と受けなかった理由として、▲１六歩と突けば、後手は△３五歩〜△３四銀と玉頭位取りに組むことが考えられる。後手が２歩持ったとき、△１五歩▲同歩△１七歩▲同香△１六歩▲同香に、△２五銀と香を狙われる筋が生じる。

手数32:

手数33: 先手は飛車を回って応戦した。戦いが起こった筋に飛車を回るのは、振り飛車の基本の基といえる。

手数34: 対する後手も飛車を６筋へ転回する。

手数37: 先手は６筋の歩を取り込み、△６四同銀に▲６五歩と押さえた。

手数39: 飛車が６筋に移動したので、先手は▲５八金左と金を形よく活用できた。次に▲４七金と上がれば駒の連携がしっかりしていて、堅くて美しい高美濃囲いが完成する。

手数40: 居角のままでは角筋が２重に止まっていて、活用に乏しい。もちろん次は△４六角だ。

手数41: 先手は理想形とされる高美濃を組み上げる。

手数44: このタイミングで後手は３筋の位を取る。

手数46: この歩を突いたことで、後手はいつでも△２五歩と戦いを起こすことができる。

手数47: 先手は高美濃から銀冠に組み替えを狙う。

手数48: 後手も銀を上がって上部の戦いに備える。１三の角が狭い格好だが、△２五歩と突けばいつでも角筋が通る。

手数54: ２筋の継ぎ歩攻めが考えられる。▲２四同歩は△同角でどうか。以下先手が▲２六歩とキズを消すと、後手は△１六歩と取り込むことができる。

手数55:

手数56: ▲２六歩は△１六歩と取り込める。

手数58: 後手は△２五歩と歩を打って２筋を押さえた。先手の玉頭だけに大きな拠点といえよう。

手数60: 振り飛車もまずまずという見方もある。先手の手持ちの歩が多い点と、後手の７三銀の働きが弱い点がその理由。ただ、先手も２筋にキズを負ってしまったので、その辺りがどうか。

手数61: ここはいったん退く。

手数62: △２一飛の転回を含みにした飛車引き。後手は２五の拠点を頼りに攻めたい。

手数63: 金を真っ直ぐ上がる。形は▲３八金だが、かえって２五の歩に近づく意味があるだろうか。また、▲３八金と上がると、後に△５八銀と打たれるキズが生じる。

手数64: 後手はすぐに飛車を２筋へ。

手数65: ▲４八金上からの継続手。矢倉のようなやわらかい受けだろう。場合によっては先手から▲３六歩と突く可能性も。△３六同歩には▲同銀△３五歩に▲４五銀右が一例だ。

手数66: 後手は角を引いて、２一飛の利きを通した。

手数67: しかし、すぐさま▲１四歩と角取りに突き出された。

手数69: ▲５五歩は感触のいい手という見方がある。△同歩は▲同銀△５四歩に▲４四銀と繰り出して、５六の銀と５三の金が交換できれば先手がはっきり優勢となる。先手が序盤で１筋の歩を突き越させた意味として、こう進んでみると端の関係が逆転している。中盤で端歩が逆になるイメージを描いていたからこそ、△１五歩と突き越されることを恐れていなかったのかもしれない。

手数73: 先手は△３六歩に手抜きで▲５四歩〜▲５五銀と攻める。

手数75: 先手は金銀交換に成功した。

手数76: 後手待望の反撃。△４五歩が入ると先手玉も安全とはいえない。

手数77: 角を追われるのを防ぎながら拠点を築く。

手数78: 後手は踏み込んだ。

手数84: 後手が二枚替えに成功した。手厚かった先手玉も急に薄くなった。▲２七歩に後手はどう応じるのか。先手が攻めを呼び込みすぎた可能性がある。▲５五同角（７５手目）〜▲５四歩（７７手目）が２手続けて手を渡しているという見方もある。後手は△３六歩と突いてある形で、△２六歩〜△４六歩が思いのほか強烈である。これが見切りならすごい。

手数85: 先手は▲４三歩と攻め合いに出た。

手数86: 後手は△２七銀の王手を決めた。

手数88: 銀を入れてから手を戻す。激戦といわれているが、実際はどちらが勝っているのだろうか。

手数91: 厳しい攻めと評判の角打ち。△２五飛には▲２四金が継続の攻めとなる。先手に勝ち筋が多そうだ。

手数100: この手で１００手に達した。先手は△５八銀と打たれても、▲４八玉△４七歩▲３九玉に△３八歩が打ち歩詰めとなる。▲２三銀と打つ手がありそうだ。△同玉は▲２四金以下、▲２三銀に△同銀も、▲４三金△２一玉に▲２二歩から詰む。▲２三銀に後手は△４一玉と引くしかないが、▲３四銀成が▲４二金以下の詰めろになる。

手数101: 先手が▲２三銀を決行した。勝ち筋に入ったのだろうか。

手数111: この局面で後手が投了した。投了以下、先手玉に詰みはない。対して後手玉は▲４二金以下の詰めろが掛かっており、適した受けがない。

