手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数12: 戦型は先手石田流対後手左美濃に。

手数22:

手数24: ▲４五銀に△２三銀を用意。

手数27: 角にヒモをつける。先手は好機の▲６五歩が狙い筋だ。

手数29: 代えて▲２八玉なら無難だが、▲２六歩で後手玉頭への攻めを見せた。▲３六歩を突いていないのが先手の工夫で、▲４五銀と出てから銀を追われたときに▲３六銀と引くことができる。どこかでどかんと▲６五歩と突く手もある。先手の作戦は積極的で、後手は油断すると簡単につぶれてしまう。

手数30: △８四飛は極力離れ駒を作らずに先手の攻めを迎え撃とうということだろうか。また、▲６五歩とされたときに△同歩で飛車の横利きが自玉頭に通る。

手数31: 仕掛けた。

手数33: ▲２五桂△２四角▲６五歩を見た端桂。藤井システム的な攻め筋だ。

手数34: ７七の角のラインを避けつつ▲２五桂に△２二角を作った。

手数35: ▲２五歩〜▲１七桂と仕掛けたからには▲２五桂は自然な手だが、先手もしっかり考えて着手した。△２二角と引いて△２四歩を見せられると先手はもうあと戻りできない状況。先手が攻めきるか後手が凌ぎきるかという勝負になりそうだ。

手数37: 虎の子の１歩を犠牲に後手玉を危険地帯へ呼ぶ。

手数39:

手数40: 角交換に応じると先手からは▲４六角や▲２二角の筋があり、後手がまずかったか。ただ、△４四歩は２二の角の働きが弱くなるので、先手に▲７四歩などから手を作られる恐れもある。

手数41: 手筋の突き捨て。△７四同歩なら▲５五銀と出る手が相当に見える。△７四同銀は▲６四歩で７四の銀が窮屈な形。

手数42:

手数43: △２五玉と桂を取られる手への対応を練ったのだろうか。

手数44: 強く桂を取った。

手数45: 豪快な歩頭銀。△４五同歩には▲２二角成がある。また、△４三金のような見当違いな受けをしてしまうと、▲２六飛△同玉▲３六銀で後手玉は一瞬のうちに寄る。

手数46: 下方へ避難。

手数47: １歩入手しつつ▲３五銀を狙う。▲３五銀に△１三玉と逃げても、▲２四銀△１二玉▲２二角成△同玉▲６六角で王手飛車取りとなる。

手数48: とにかく下へと逃げる。

手数51: 後手玉は何か痛烈なパンチを食らっても決して文句はいえないような格好をしているが、果たして大丈夫か。

手数53: 飛車を４筋へ転換して４一の金に狙いをつけた。次は▲３五銀で▲４一飛成と▲２二角成を見せるのがかなりの迫力。▲３五銀以下は△４四歩▲同角△同角▲同飛でどうか。

手数54: 悠然と飛車を二段目に戻した。

手数55: 中空に歩。次の狙いは▲３三銀不成から４一の金を取っての▲２四金だ。

手数56: 代えて△２五同玉はやはり▲３五銀の筋があった。▲２五歩△２三歩の交換で後手玉のスペースは一気に狭まった感がある。

手数57: じっと攻め駒を増やす。次の▲３五銀が、角取りと▲１五香△同玉▲１六飛△２五玉▲２六銀上△１六玉▲１七歩△２七玉▲３八金以下の詰めろの両狙いになる。

手数59: ずばっと香を走った。△１四歩にうまい攻めがあるか。

手数63: この▲１二歩はよさそうな手。▲１二歩には△同香と取るしかなさそうだが、以下▲１五歩△１三玉に▲３三銀不成が鮮烈。対して（１）△同桂は▲４一飛成△同銀▲１四金、（２）△同角も▲同角成△同桂▲４一飛成△同銀▲３一角△２二合▲１四金。これは決まっているかもしれない。

手数64: 飛車の頭を叩く。横に逃げるのは先ほどの▲３三銀不成の筋がなくなるので、取る一手。

手数66: △４五歩▲同飛の交換を入れてから１二の歩を取った。これは▲１五歩に△同玉と取って頑張るつもりだ。

手数69: 再度、香の頭に歩。△１三同香には▲５三銀成△７七角成▲１六歩△１四玉▲４一飛成か。

手数71: ここで後手が投了した。投了図から（１）△２七香成▲同金△１六銀は▲１九香、（２）△１三香はやはり▲５三銀成〜▲１六歩で、後手玉の逃げきりは難しいようだ。

