手数1:

手数2:

手数3:

手数4:

手数7: ▲４八玉は持久戦志向。

手数21: 角交換型の石田流は、７八に金を上がってバランスよく構えるのが基本形。▲７八金に代えて▲７七銀は、△５四角でシビレていた。

手数26:

手数33: ▲３六歩でコビンが開いたが、次は▲４六銀から固めるのだろうか。

手数34:

手数40: 先手と後手の銀が４筋で見合っている。互いに歩を交換できないので、手を作りにくい。

手数43: 先手が動いた。△３五同歩は▲７一角。

手数44: 角を４四に打った。▲３四歩には△同銀で、後に△３三桂〜△２五歩とするつもりか。もしかすると、△３三銀は▲３五歩を誘った意味なのかもしれない。

手数47: 金を囲いに寄せていく。後手が角を手放したので、先手陣は角打ちを警戒する必要がない。

手数49: 先手は▲３八金など、プラスになる手がたくさんある。後手はこれ以上、陣形を発展させるのが難しいが、どういう方針で戦うのか。

手数50: △２五歩と指した。

手数52: バンバン攻める。いきなり戦いが始まった。

手数54: 何とも過激な仕掛けだ。▲７四同歩には△７五歩▲同飛△８六飛と攻めるのだろう。以下▲７三歩成△同桂▲同飛成と竜を作られても、△８九飛成や△８八飛成で攻め合いに持ち込める。後手は４四の角で、▲７一竜を防いでいるのが心強い。

手数55: 取られそうな歩を伸ばした。

手数58: 後手は△８六飛を見送った。シンプルな攻め合いは、２四の拠点が働いてくると判断したか。

手数60: 金取りで２四の歩を払いにいった。

手数63: ▲５五歩は感触がよい手で、△４六角▲同歩△７五銀を防いでいる。

手数64: ▲７五同飛に△８六飛で勝負するつもりか。

手数68: ３筋に歩が利かなくなるのは痛いが、飛車成りや２筋の叩きで先手玉を追い込むつもりだ。現局面で後手の手番なら、△２六歩が厳しい。▲２六同銀は△４六角▲同歩△同飛の十字飛車、▲３八銀は△４六飛▲同歩△同角が王手金取り。現局面で▲３五歩は、△同銀▲同銀△同角が竜に当たる。なので先手は自陣に手を入れるしかないが、手が難しい。▲５八金寄△８九飛成▲４八金寄だろうか。

手数69: 敵の打ちたいところに打て。先手は辛抱した。

手数73: 浮き駒の銀を狙う。▲５六角が厳しいので、この局面は振り飛車がよい。夕休前は先手の陣形がバラバラだったが、現局面はしっかりしている。▲２六歩と渋く守ったのが、好着想だったのかもしれない。

手数74: 銀を引く。玉頭が薄くなるが、△２三玉は▲３五歩があったのでやむをえない。

手数75: ばっさり切った。

手数79: △３四玉には▲３五歩がある。△２二角は▲２六銀が冷静だ。この局面で後手が投了した。

