手数1:

手数2:

手数5:

手数6:

手数8: 後手は得意の四間飛車を採用する。

手数9: 最近はたまに見かける駒組みです。先手は銀冠から穴熊に組み換える着想で指すことが多いです。

手数19: ▲８六歩を突いたということは、やはり▲８七銀からの銀冠狙いですね。

手数24: △３二飛と回って、△４二角〜△３四飛の石田流本組を狙う。さらに後手は△５四歩〜△６四角として、先手の飛車を攻める狙いがある。先手の銀冠から穴熊を警戒していますね。後手らしい積極的な駒組みです。

手数25:

手数29: 飛車の横利きで△３六歩を防ぐ。

手数30:

手数31: 先手は右銀を４六に繰り出す。後手が△３四飛と浮けば、▲６八角〜▲３五銀が受からなくなる。

手数33: 互いに玉を美濃（左美濃）に納めた。

手数36: 力強い金上がり。

手数37: 金を寄って離れ駒をなくす。

手数38:

手数39: ▲６八金寄の効果で離れ駒がなく、▲８七銀と上がりやすい。戦いが起こることを警戒しながら、繊細な駒組みが続いている。

手数43: 先手の銀冠が完成した。

手数44: 飛車の横利きを通すが、先手の角筋が通る意味もある。

手数45: 先手は勢力を５筋に集める。次に▲５四歩と打てれば先手の攻めがつながりそうだ。

手数47: 先手は金銀４枚に角もいる堅陣になった。

手数48: △３四飛からの継続手。この桂がさばければ後手が優位に立ちそうだ。

手数49: 「スキあらば穴熊」は現代将棋の常識になりつつある。

手数53: ハッチを閉めて、ひとまず穴熊が完成した。もう一手▲７八金右が指せれば完璧な穴熊となる。

手数56: ▲７八金右の前に後手は動いた。後手は銀を持てば△７九銀の割り打ちがある。

手数60: 後手は角成りを狙う。先手は形よく受けるのが難しいかもしれない。

手数62: 角ののぞきで桂を使わせてから、狙いの割り打ちを放つ。

手数66: 銀と両替した金を天王山に打ちつける。▲２六飛は△３六歩と突けば、△６六金が厳しそうだ。

手数67: 先手は飛車を逃げていられないようだ。

手数69: 先手は飛車桂交換で駒損ですが、穴熊ペースだと思います。▲８五歩に△６二角と引けば、▲７五歩△同歩に▲６四銀と絡むのがうるさい攻めになります。先手は攻めが続きそうですので、いずれ駒損も回復するでしょう。駒の働きに大きな差がついています。

手数71: 先手は７筋の突き捨てを入れずに▲６四金。△６二金引は▲７四桂で調子がいい。

手数72:

手数73: 厳しい垂れ歩。６六の桂が支えているため、後手は△同銀とは取りにくい。

手数74: 力強く金を上がって５三の地点を補強する。徐々に後手陣は歪んでいくのだろうか。

手数75: 先手はこの手に期待したからこそ、７筋の歩を突き捨てなかったのだろう。

手数76: 上がったばかりの角を目標に反撃する。

手数79: 部分的には先手の攻めが成功したように見える。

手数81: 後手は５九の飛車を主軸に、９筋から猛攻を仕掛ける。

手数82: 先手が優位を広げている。後手は４三の銀が働いていないのがつらいです。▲５九歩と受けておくのが手堅いと思います。

手数83: 銀をかぶせる。△５三金は▲７四桂の王手がきつい。△６四同金は▲同歩で、やはり▲７四桂がある。

手数85: ▲６四銀と打って、△９七桂に▲５九歩が素晴らしい順です。先手が勝勢になりました。

手数87: 先手が待望の▲７四桂が実現した。

手数91: 玉を９四に呼んでから、▲９六銀と拠点の歩を払う。先手が勝利に近づいているようだ。

手数97: 後手は▲９四金以下の詰めろを受ける適当な手段がない。

