手数1:

手数2:

手数3:

手数4:

手数5: 三間飛車を見た先手は、右銀を上がる。どうやら居飛車で戦うことになりそうだ。

手数10: 後手は三間に飛車を振ったあと、一目散に玉を移動させている。果たして囲いは何だろうか。

手数11: 保留していた飛車先を、ここで突いた。

手数12: ▲２五歩に△３四飛と石田流で受ける形を用意した。

手数15: △７四飛に▲６七金と受ける手を作る。

手数16: 香を上がって穴熊の作戦を示した。

手数17: 先手は持久戦志向だ。

手数19: 次は▲９八香からの相穴熊か、▲７八銀の左美濃か。

手数20: 穴熊のハッチを閉める。次に△７一金と締まればひと安心だ。

手数21: 先手は左美濃で対抗。対穴熊戦では、このあと銀冠への組み替えが行われることが多く、場合によってはさらに銀冠穴熊に組み替えて戦うことなどもある。果たして本局はどうなるだろうか。

手数23: ５筋の歩を突く。代えて▲４六歩と突き、▲４七銀と上がって△３六歩に備える順もあるところだ。

手数25: 角交換を挑む。

手数26: ４筋の歩を突いて角交換を拒否した。

手数27: 高美濃を完成させる。

手数29: 四段目に飛車を浮く。代えて▲５七銀は、△３六歩▲同歩に△同飛が△３九飛成の先手になり、▲３七歩と受ける必要があった。

手数30: 穴熊に左金を寄せる。

手数32: 一段目を這うようにして、左金を６一まで寄せた。

手数33: 端歩を突いて玉の懐を広げる。

手数34: 金銀３枚の穴熊が完成した。

手数35: 玉頭を広げる。銀冠への組み替えを用意した手でもある。

手数36:

手数37: 対局再開。先手は▲１六歩と突き、△１五角を消した。

手数39: さらに８筋を突き、▲８六角とのぞけるようにした。

手数40: ９筋をここで受けた。

手数41: ６六に銀を上がり、手厚い形を築いた。

手数42: 先手の角筋が止まったタイミングで、自身の角道を通した。

手数43: ８六に角をのぞいて、▲５三角成を狙う。

手数44: 銀を引いて角成りを受けた。

手数45: 玉をにらむ後手の角筋を、二重に止めておく。

手数46: ５一に角を引く。次に△７三角と上がる狙いかもしれない。

手数47: 銀冠への組み替えを図る。

手数49: 銀冠を完成。堅く、伸び伸びとした陣形となった。

手数51: 先手は１筋を突き越して手を渡した。

手数52: 今度は６二に角を引いた。代えて△５四歩と動くのは、▲４二角成が銀取りで馬を作られる。

手数54: 金銀４枚をすべて穴熊に引きつけた。

手数55: 飛車を５筋に転回して、▲５四歩を見せる。

手数56: △２五桂と跳ねて歩を入手した。

手数57: ２筋に飛車を戻す。△２四飛なら▲５四歩が厳しい。対して△同歩なら▲４二角成。△同飛なら▲２五飛と桂を取れる。

手数58: 後手は歩を突いて桂取りを受けた。

手数59: ２四に飛車を回れなくしておいてから、５筋に飛車を戻した。

手数60: ４筋に飛車を回った。すぐにやるかどうかは別として、△４六歩の狙いがある。対して▲同歩なら△４八歩として、と金作りが受けにくく、▲同飛には飛車交換して、飛車を先着できる。

手数61: 先手は６筋を突き捨てた。

手数62: 素直に△６四同歩と応じる。

手数63: 今度は５筋を突き出す。△５四同飛なら、▲５五銀△３四飛▲６四銀が気持ちのいい進軍だ。

手数64: ここも歩で応じた。

手数65: 角を飛び出して▲３一角成を狙う。また歩が入ったことで、▲２六歩と桂を取りにいく手も可能になった。

手数66: 角を追った。▲３一角成でお手伝いのようだが、そこで△４六歩▲同歩△３六歩▲同歩△３四飛と、馬を射程に入れながら攻める順がある。

手数67: 馬を作る。△４六歩のときにどのような対応を見せるか。

手数69: 素直に歩で取った。△３六歩のときに手抜きだろうか。

手数71: 先手は６四に歩を合わせて攻め合った。

手数73: ▲６四同馬と取って、次に▲５四馬を見せた。

手数74: 馬に角をぶつける。

手数76: △４六飛のさばきでなく、飛車取りに歩を打った。▲５五同銀には△５四飛▲同銀△４七角ということだろう。

手数77: 先手は飛車で応じた。

手数78: 素直に△５五同角と飛車を取る。代えて△４六飛は、▲６四歩と角を封じられる手を嫌っただろうか。

手数80: 後手からは△５九飛や△３七歩成など、楽しみが多い。

手数81: 歩を垂らしてと金作りを目指した。

手数82: 丁寧に受けておく。こうなると、穴熊玉は堅く、遠い。

手数83: 今度は６四に歩を垂らした。次に▲６三角と打ち込むつもりだろうか。その前に一本、▲８四歩の突き捨ても入れたいところだ。

手数84: ここも丁寧に歩を受けて面倒を見た。

手数85: 飛車取りに角を打つ。

手数86: ４二に逃げた。この飛車は思いのほか狭い。

手数87: 歩を取り払ってと金の種を取り除いておく。△５九飛なら▲５六角成とすれば、桂を守ることが可能だ。

手数88: ５九でなく、３九から飛車を打った。

手数89: ２枚目の馬を作った。先手は非常に手厚い形だ。

手数90: 飛車を３二に回って△３六飛を狙う。

手数91: 先手は△３六飛を受けずに攻め合った。

手数92: ２枚の馬と２枚の飛車による対決の構図となった。

手数93: ７筋を取り込む。どこかで切り札の▲８四歩を発動させるつもりだろう。

手数94: 馬の利いている位置に飛車を成った。

手数95: 馬で飛車を取る。△３八同飛成のときに、手番が回ってくる。

手数97: 馬を寄って竜取り。これで桂を取られることもない。

手数98: 角を合わせて、馬を消しにいった。

手数99: 先手は交換を拒否した。

手数100: 桂を補充。次に△１九竜と、香も取ることが可能だ。

手数101: 飛車を打ち下ろす。▲１一飛成と香を取ったあと、▲６五桂から▲７三香が厳しい攻めとなる。

