手数1:

手数2:

手数3:

手数4: 後手の作戦は４手目△３三角戦法だった。

手数5:

手数6:

手数8: 後手はダイレクト向かい飛車を採用。ここで▲６五角には△４五桂と跳ねて大乱戦になる。以下▲４八銀や▲４八金には、△５五角で香取りが受からない。ただし、実際には難しい形勢のようだ。

手数9: ▲６五角は打たずに、端歩を突いて後手の出方をうかがった。ここで△９四歩なら▲６五角を決行するつもりかもしれない。以下△４五桂▲４八銀△５五角と進めたときに、▲９七香と９七まで逃げることができ、以下△９九角成に▲７八銀で馬は作られるものの、駒を何も取られずに済む。

手数10: 後手は端歩を受けずに△４二銀と上がる。これで▲６五角が両成り狙いとならない。

手数11: ９筋をさらに伸ばす。早い突き越しだが玉を盤面の左側に囲い合う形であり、攻防においてポイントを挙げているという判断だろう。

手数12: 端の突き越しを許した後手。囲いは何を選ぶだろうか。

手数13: 先手としては、端の位をどのように生かすか。左美濃がその一例として考えられる。

手数14: ４筋の歩を突く。△４三銀と立つ形を用意した。

手数15: ４八に銀を上がる。▲７八玉より急いだのは、△６五角のような手を警戒したのかもしれない。以下▲５六角には△同角▲同歩に△５七角で馬作りが受からない。

手数16: 玉を６二に置いたままで、△８二銀と上がった。△７二金と上がる手を含みにしており、銀冠などへ組み替えることも可能だ。

手数17: 先手は▲７八銀と銀を立った。

手数18: 後手は囲いの構築を急がずに△４三銀と左銀を上がった。

手数19: 左美濃に組むのかと思いきや、さらに７七に銀を上がった。上部の手厚さを重要視する方針のようだ。

手数20: ７筋を突いて▲７五歩の位取りを拒否した。後手は銀冠や矢倉といった囲いが考えられそうだ。

手数21: ７七銀型を作っておいてから、玉を７八に寄った。

手数22: ここでも玉の移動や△７二金を保留して駒組みを続ける。

手数24: ７二に金を上がる。玉は７一に引いて指すことになりそうだ。

手数25: ４筋の歩を突く。角交換には５筋を突かないのがセオリーとされるところで、例えばここで後手が△５四歩と突くと、▲３一角から先手は馬を作ることができる。

手数26: △６四歩と６筋の歩を突いた。

手数28: 右の金を６三に上がる。バランス重視の指し方で、場合によっては９筋を地下鉄飛車で逆襲するような順もあるかもしれない。

手数29: 先手は深く玉を囲う。玉の守りの堅さで勝負する方針だ。

手数30: 下段飛車に構える。△７三桂から△９二香とし、△９一飛とすれば地下鉄飛車が完成する。

手数33: 先手は駒組みを進める。どのような完成形を見ているだろうか。

手数34: ８筋を突く。８三銀型に組んで９筋を逆襲する手を見せるようだ。

手数36: 後手は８二の地点にキズができた。よって△９二香から△９一飛と地下鉄飛車に構える場合は、△７二玉と寄ってからとなりそうだ。

手数37: 四段目に銀を繰り出す。このあとは▲３七桂から▲４五歩を狙うか、▲６七銀として自陣に引きつけるか。その場合は▲４七金と上がるような展開が考えられるところだ。

手数38: ７二に玉を寄る。これで△９二香から△９一飛としたときに、飛車を狙われることがない。

手数39: 端歩を突いて手を渡す。先手は後手に攻めさせてカウンターを繰り出す狙いだろうか。

手数40:

手数41: ９筋に続いて、１筋も突き越した。

手数42: ８二に玉を寄る。このあと△６二金寄から△７二金とすれば銀冠の完成形だが、それは左辺にキズが生じるため目指しにくい。このあと△７二玉と再び戻すような順も十分に考えられ、そうなると千日手も視野に入れた戦いとなる。

手数43: 金を寄って自玉を固める。

手数44: 後手は６三の金を引いた。次に△７二金だろうか。その後に△６一飛として６筋を目標にする順があるかもしれない。

手数45: ここで先手が３筋から動いた。狙いとしては△３五同歩に、▲１四歩△同歩▲２四歩△同歩▲１四香△同香▲３四歩△同銀▲１二角の筋だ。

手数46: 後手は素直に△３五同歩と応じる。

手数47: 先手の猛攻が始まるようだ。

手数49: １筋続いて２筋も突き捨てる。

手数51: 香を捨てて攻め立てる。

手数52: ここも素直に△１四同香と応じた。▲３四歩のときにどういう対応を見せるか。

手数53: 厳しい一着。△２五香は▲３三歩成△２八香成▲４三と△同金▲３二角で先手よし。

手数54: 後手は△３四同銀と歩を取った。▲１二角に△２三飛で受けるつもりだろうか。

手数55: 狙いの飛車銀両取りが掛かった。

手数56: 飛車を盾にして銀取りを防ぐ。飛車角交換は仕方がない。

手数57: シンプルに飛車角交換した。

手数59: 銀取りに飛車を下ろす。△３二銀や△３四銀には▲２四飛引成が厳しい。となると角を打って銀取りを受けることになるか。

手数60: ３四から角を打って受けた。ここで▲２二飛成なら△２五桂と逃げてひと息つく。問題は▲２四飛と走られたときだ。居飛車がよさそうに見える。端の位も大きそうで、ここは景気よく▲２四飛と走ってみたい。

手数61: 飛車を走った。

手数62: ▲２四同飛成が角桂香取り。△５六角▲同歩は手番を得るものの、先手に角銀を渡すだけに攻め合いで勝つ必要が出てきそうだ。

手数64: 角を切った。逃げているようでは▲３三竜や▲３四歩でジリ貧と見たのかもしれない。

手数66: 先手陣の一段目に飛車を下ろした。この飛車を軸に、どこまで攻め込むことができるか。

