手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8: 角を上がって２筋の交換を防ぐ。代えて△３三銀なら矢倉模様だった。

手数9: 後手が居飛車の可能性はまだ残るが、▲６八玉と玉形の整備に手をつける。

手数10: △４三銀と立つ。矢倉流にはしないようだ。

手数12: 後手の作戦は向かい飛車だった。

手数15: 先手は▲７七角〜▲８八玉と深く囲う。居飛車穴熊が視野に入る。

手数17: 代えて▲７八銀なら左美濃だが、▲７八金と上がった。▲９八香から穴熊に組む狙いだろう。

手数19: ▲９八香と上がり、穴熊で戦う意向を示す。

手数20: △３二金と上がった。△２四歩▲同歩△同飛と手早く動く狙いが見える。

手数21: ▲３六歩は△２四歩▲同歩△同飛ならいったん▲２五歩と飛車交換を拒否し、３七に駒を運ぶ狙い。後手の左金が玉から遠ざかり、先手が勝ちやすそうだ。

手数22: △７二銀と立ち、片美濃に構えた。囲いの整備がこれで十分と見れば、次の手番で動いていくのだろう。

手数24: △２四歩と突っかける。囲いに手をかけるのは、先手も玉形の整備ができて後手が不満だろう。

手数26: 角で応じた。▲５六歩を牽制した意味か。対する△７九角成が王手飛車取りになる。

手数27: 対局再開後、しばらくして先手は▲４六歩と突いた。

手数28: 取れる歩には飛びつかず、△３三角と引く。▲２二飛成には△同角と形よく応じられる。

手数29: 飛車取りに▲２三歩と放つ。（１）△２三同飛は▲同飛成△同金に（Ａ）▲４五歩か、（Ｂ）▲４一飛△３二銀▲３一飛成△２二金としてから▲４五歩か。（２）△２三同金にも▲４五歩が狙いだ。（２）△２三同金▲４五歩に△２四歩と打ち、後手は流れを穏やかにして１歩得を主張するだろうと見られている。

手数30: 後手は予想されたとおり、金で応じた。

手数31: 銀を立って離れ駒だった金と連結させ、力をためる。

手数32: △５二銀と引いて自陣を引き締めた。自玉が相手よりも堅くなれば飛車交換からの激しい順も歓迎だし、流れが緩やかになれば１歩得の主張が残る。

手数33: 本局はまだ一局だとしながらも、後手が苦労するイメージで、現局面で指す手が難しいという。△２四金からの棒金には▲３七桂で止まる。先手はもちろん、▲９九玉〜▲８八銀を指したいが、この玉形で戦いにすることもできる。仕掛けるなら▲３七桂〜▲４五歩がある。

手数34: △２四歩と受けた。これは局面を収めて１歩得を主張しようという流れか。先手は▲９九玉と囲うのか。仕掛けを目指すのなら▲３七桂、▲３八飛、▲５六銀が候補手として挙げられる。

手数35: ▲５六銀。右四間飛車にして攻める狙いが見える。

手数36: 先んじて飛車を４筋に。戦いの起こりそうな筋に飛車を回るのは、振り飛車の手筋だ。

手数37: ▲４八飛と回った。互いに時間を使う、難しい中盤戦だ。

手数38: ５筋の歩を突く。「歩越し銀には歩で対抗」の格言に沿っている。

手数39: ▲８六角とのぞく。前手△５四歩で生じた飛車取りだ。

手数40: 先手も後手も、飛車を取って相手陣に打ち込む展開になれば攻めやすい。飛車の価値の大きな将棋だ。△４一飛と逃げる。

手数41: ７七にいた角が動き、△４五歩が王手になる形になっていた。▲６六歩と突き、自玉のコビンをケアする。

手数42: △２二金と引いた。働きの乏しい金の活用を図る狙いだ。次に△３二金が見える。

手数43: 相手は穏やかな流れを望んでいるようだ。満を持して▲９九玉と穴に潜る。

手数45: 互いに自陣を整備する流れになった。長い将棋になりそうだ。

手数46: 穴熊に組めて先手に不満がないとの見解だ。２筋も▲２四歩△同歩と突き捨てた局面だと見れば、指しすぎになっている形ではない。局面は先手持ちだが、後手も対穴熊戦に慣れているため、まだまだこれからだ。

手数47: ７九に金を引く。次に▲７八金寄の狙いか。

手数50: この角のぶつけは後手がポイントを挙げたようだ。△４二角をウッカリしたのかもしれない。

手数51: 対局再開。角交換は先手陣に打ち込みの隙が多い。▲７七角と引いて交換を避けた。

手数52: △２五歩と伸ばす。２筋突破はスピードに欠けるが、確実な攻めだ。相手を急がせる効果がある。

手数54: △２四角と上がり、飛車筋を通して４四の歩を守った。４六の歩が動けば△５七角成があり、▲４五歩を牽制している。

手数55: 再び▲８六角とのぞいた。互いに角のにらみで相手の駒の動きを牽制し合う。

手数56: △２六歩と伸ばした。と金作りを見せており、飛車が４筋から動けば△４六角がある。

手数57: ▲４七飛と浮いて歩成りを受けた。それでも△２七歩成として、▲２七同飛△４六角の進行はどうなのか。以下、▲２二歩△３三桂▲２一歩成には△２六歩▲同飛△２五歩で歩の数がピッタリ足りる。△２六歩▲４七飛の交換が入ってだいぶよくなりそうな感じがする。ここで△３三桂は▲６四歩△同歩▲同角△６三歩▲７五角と進められ、後手がさえないようだ。

手数58: △４二角と引き、再度角をぶつけた。角を出たり入ったり、パズルのような手順だが、その間にも後手は２筋の歩を伸ばしている。

手数59: 角交換すると△３八角のキズがあった。再び▲７七角とかわす。

手数60: ４四の歩は守らず、△３三桂と左桂を活用する。▲４四角には△９七角成がありそうだ。▲９七同銀△４四飛の取り合いは、穴熊を弱体化させて後手がポイントを挙げる。現局面、△２一飛〜△２七歩成を見せられ、先手は忙しい。

手数61: 跳ねてきた桂をめがけ、▲３五歩と突き出した。△３五同歩には▲３七飛で、▲３五飛〜▲３四歩で桂頭を狙える。

手数63: 飛車先の４筋の歩を突き出した。味つけをするだけして、どのような技を繰り出すのか。

手数64:

手数65: ▲３七桂と跳ねた。△９六歩が有力で、後手持ちだと見られている。

手数68: 玉頭攻めに手をつけた。▲９七同香は△同角成▲同銀に△４六香が強烈だ。

手数69: 香で応じた。

手数70: 飛車取りに歩を突き出す。▲４六同飛ならば△９七角成が詰めろ飛車取りだ。

手数72: 待望のと金作り。指し手の調子はよさそうだが、相手は穴熊のため、まだ難しい。

手数75: 互いに負担になりつつあった桂をさばいた。手番の後手はここで何を指すか。

手数76: 角香両取りに桂を放つ。後手は手順に△９七角成が指せれば、飛車筋が通って４五の銀を取れる。

手数77: 角取りは放置し、金銀両取りに▲４四桂と打った。４筋を重くし、後手の飛車が走る変化を防いでいる。

手数80: 銀をかわし、手順に３二の金にヒモをつけた。桂が入れば再度の△８五桂がある。

手数83: 角取りに▲４三歩と打つ。銀で取らせることで、飛車先を重くする狙いか。放置すれば△９七角成〜△４五飛の筋があった。

手数85: 最後の１歩で拠点を設ける。先手も攻める形を作りたい。

手数88: 軽く△３一角とかわし、飛車筋を通した。△４四飛を見せた先手になっている。

手数89: 利きの数が足りていないところ、銀取りにと金を作った。△４四飛と一方的にさばかれるのだけは許せない。

手数92: 後手の飛車が伸び伸びとしてきた。

手数93: 飛車角両取りで返す。駒得が先手の主張になりそうだ。

手数94: 角を切り飛ばし、先手玉を薄くする。馬を取らせて飛車を逃げれば、３二に打たれた銀が重くなりそうだ。

手数96: 横に広く動ける４四に逃げた。現局面、駒割りは▲金△香で先手が駒得している。

手数98: 王手で態度を打診。▲９八同玉なら△９二香打から△９六香の要領だろう。９六の歩を取ったあとに▲９八歩と受けられるスペースをなくす手筋だ。

手数100: 継ぎ歩の攻め。放置しても、▲９五同歩にも△９六歩がある。後手は▲９四桂の王手に気をつけながら攻めることになるだろう。

手数101: 負担になりそうな桂を８五に跳ねる。△９六歩の取り込みには▲９二歩〜▲９三歩の連打を用意した。

手数102: 飛車で６四の歩を払う。縦横によく利く飛車だ。縦の利きで先手玉の逃げ道を塞ぎ、何かの際に△９四飛と玉頭攻めの応援に動ける。

手数103: 攻防の角打ち。△９六歩なら▲９二歩と打てるようになるなど、手を渡した意味もありそうだ。

手数104:

手数105: 働きの強い飛車を盤上から消す。

手数106: 得られた手番で、どれほど迫れるか。

手数107: まずは▲６二歩とたたく。美濃崩しの手筋だ。△６二同金には▲５四桂の追撃がある。

手数108: 逃げるのでは歩が拠点として残るところだった。△６二同金と応じる。代えて△７一金の可能性もあった。その場合、▲６一金を気にするなら△６一同銀と応じる。以下、▲６一同歩成△同金▲７三桂成△同玉と進む。手順中の▲７三桂成は玉が露出するうえ、まだ堅い先手玉への寄せも考えなければならず、読みづらい順だ。

手数109: ▲８六金と上がり、８五の桂を支えた。▲６二歩△同金の交換は金銀の連結を外し、後手陣を乱した効果が残る。この局面では負けかと考えていたようだ。

手数111: 玉周辺を手厚くする△６三角は有力だったようだ。

手数112: 飛車に当てながら、８九の逃げ道を塞ぐ。

手数113: 代えて▲６九飛は△７六角成▲６四飛△６三歩▲９四桂△同香▲同飛△９三銀の順で後手玉が堅くなる。▲６九飛では勝てないと考え、本譜を選んだようだ。

手数114: 先手玉頭に△９六歩と取り込む。詰めろではないにせよ、かなりの迫力だ。この手は▲９三歩と打たれるため危険だったかもしれない。代えて△７七桂がまさったようだ。▲４一飛成なら、そこで△９六歩（△８九角打以下の詰めろ）となる。△７七桂なら自信がなかったようだ。

手数115: ▲９三歩と放つ。香筋を止め、放置すれば▲９四桂が厳しい。

手数116: ここで▲９四歩という手があったようだ。△９四同香▲同金に（１）△８五桂の詰めろには▲９三金がある。△９三同桂は▲９四桂から詰むので△９三同玉だが、以下▲９五香△９四桂▲同香△８四玉▲７五金△９五玉▲８五金△同玉▲７七桂△９四玉▲８六桂△９三玉▲９四飛△８二玉▲７四桂打△同歩▲同桂と王手の連続で追っていく順がある。（２）△９七銀▲同銀△同歩成▲同玉△８五銀の変化は勝てない。対して▲９六香で先手よし。以下、△９四銀なら▲９一銀から詰み（△９一同玉▲９四香△９二歩▲同香成△同玉▲９三歩△同玉▲９一飛△９二歩▲９六香以下）。

手数117: ９五に香を「合わせ」た。放置すれば▲９三香成△同桂に▲９四桂、△９五同香にも▲９四桂の狙いがある。△９五同香は以下、▲９四桂△９三玉▲９一飛△９二桂（△９二香では先手玉への脅威がなくなる）▲９五金△８四銀に▲８五金打で、先手の攻めを振りほどきにくい。

手数118: △９七銀と打ち込む。先手玉が広くなる変化には要注意だ。

手数121: 先手は玉を８八〜７七や８六〜７七と逃げていけるようになればうまい。

手数122: 王手に△９五香と走る。▲９五同金は後手玉への詰めろ。後手はうまく詰めろを外しながら、端攻めを緩和できるようにしないといけない局面だ。

手数124: ▲９三歩が指摘されている。これには「敵の打ちたいところに打て」の格言に従った△９四歩があるようだ。

手数125: △９三同香は▲９四歩で先手が勝ちそうだと見られている。△９四歩がよく、対して先手が何かひねり出さなければいけない。

手数126: △９四歩と放つ。▲９四同金なら先手が端から攻める順がなくなる。

手数128: 代えて△９五歩は▲７一銀から危ない。△６一桂と受けておく。それでも▲７一銀と打ち、△７一同玉に▲５四桂が挙がる。

手数129: 金頭に▲６三歩と放つ。△９五歩は▲７一銀で危険だ。△６三同金のときの後続手段は何か。△６三同金に（１）▲５二飛は△６二桂で後手玉が堅いと見られている。（２）▲５二竜△６二桂▲８六香の順が挙がった。△６三同金には▲５二竜が予定で、対して△９三桂なら▲７二竜△同玉▲８四桂△同歩▲８三銀△６二玉▲４二飛△５二銀▲７一銀△５三玉▲５二飛成△４四玉▲４三竜△５五玉▲５六銀以下、後手玉は詰みそうだ。

手数130: 歩頭に△７五角の鬼手を放つ。勝負手の雰囲気だ。▲７五同歩△９五歩のときに後手玉が本当に詰まないのかどうか。▲７五同歩なら△９五歩が先手玉への詰めろ。後手玉は▲７一角△同玉▲６二歩成△８二玉▲７二と△９三玉▲８二銀△９四玉▲８四金△同歩▲８三銀△同玉▲７三とと追っても△９四玉で詰まない。▲７五同歩なら後手が勝つ。

手数131: 銀を打って受ける。▲７一銀の王手がなくなった。代えて▲８六香がまさる。対して（１）△９五歩なら▲９四桂△９三玉に▲８二銀と打てるので詰む。また（２）△７六角成は▲７一銀△９三玉▲８五桂△同馬▲同金で先手が勝つ。

手数132: 強く△９五歩と金を取る。▲７五銀は△８五桂以下、先手玉が詰む。

手数133: 歩で角を取った。手番を得た後手にチャンスがきているか。代えて▲７五銀は△８五桂▲８六玉△９六金▲８五玉△９三桂▲９四玉△７六角成まで、先手玉が詰む。

手数134: ▲９八玉で後手玉が詰めろになっているかどうか。代えて△９六銀▲８八玉△８七銀成▲同玉△７六金▲８八玉に△８六金と銀を抜いてしまうのがよかった。その局面は△９七銀▲９九玉△８七桂までの詰めろ。後手玉は上部が抜けており、詰まない。▲８八玉に代えて▲９七玉△９六歩▲同玉は△８四桂▲９七玉△８六金▲同玉△７六角成▲９七玉△９三香以下の詰み。

手数135: 後手玉が詰めろになっていると見られている。

手数136: 代えて△９三玉も挙がっていたところ、９七に銀を打ち込んだ。清算すれば、角の利きが９四まで通る。

手数138: △９七同桂成と取った。先手が勝ちそうだと見られている。

手数139: △７七銀のときに後手玉が詰むかどうか。

手数140: ７六に角を成り、△８六銀以下の詰めろ。上部が厚くなった後手玉に詰みはないのか。

手数141: 冷静に玉を引いたが、△９六歩が指摘されている。△９七銀以下の詰めろだ。△９六歩は以下、▲７一角△同玉▲６二歩成△８二玉▲７二と△９三玉に▲９五飛と打つスペースができる。対して△９四角に▲９六飛で、後手は指す手が難しい。

