手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数10: 戦型は角換わりになった。

手数21: ▲４五桂と跳ねる急戦を狙っているのかもしれない。

手数31: 先手はじっくり組んだ。４八金・２九飛型は流行の布陣。

手数34: ６三に金を上がって、攻撃態勢を厚くする。

手数38: 後手から動いた。９筋の突き合いが入っている形では▲６五同歩、▲１五歩、▲３五歩が考えられる。

手数39: 先手は▲１五歩と激しく端を突き捨てた。

手数41: 歩を突き捨てるのは、▲４五桂の勢いをつけるための準備。

手数42: ３筋を取らずに６筋を取り込む。▲６六同銀と素直に取るか、それとも▲３四歩や▲４五桂の攻勢を選ぶか、先手は分岐点だ。

手数43: ▲３四歩は後手の陣形を乱す手だが、歩を渡すので後手の手段が増える可能性もある。

手数47: 銀取り。手厚さを重視するなら△２三金、金銀の連結を選ぶなら△２三銀の銀冠だ。

手数50: 攻めるなら▲２五歩△同歩▲同桂が考えられる。

手数51: 左辺に手を戻した。後手が手を止めている。

手数52: ８筋を突き捨てた。

手数54: 検討されていたのは△４四角で、本譜は△８八歩だった。

