手数1:

手数2:

手数3:

手数4:

手数5:

手数6: 局面は角換わり模様に進んでいる。

手数7:

手数10: 後手が角を換えて、手損のない角換わりに。

手数15: 早いタイミングの▲３六歩は速攻の狙いを含んでいる。▲３七銀〜▲４六銀〜▲３五歩が、いわゆる早繰り銀の仕掛けだ。もちろん、含んでいるだけで、▲３七桂〜▲４六歩〜▲４七銀と腰掛け銀にもすることができる。

手数17: ▲３七桂を選んだ。

手数18: 近年の角換わり後手番の玉はここが定位置になりつつある。４二と５二の間を往復して手待ちしたり、場合によっては右玉に変化することもある。堅く囲うのではなく、柔軟性とバランス感覚で勝負する手法だ。

手数20: △５二金と上がった場合は、中住まいや右玉に変化する含みがなくなるため、△３一玉からオーソドックスに囲うことが多い。ただ、中には△６四歩〜△６三銀から△６二金と金の位置を変えた実戦例もある。手待ちする方針であれば手損はあまり関係ないため、途中の駒組みだけで相手の玉形を決め打ちするのは危険だ。

手数23: 先手は居玉のまま駒組みを進めている。現状だと、右玉の含みが多いのは、むしろ先手のほうかもしれない。

手数25: 右玉か、と思った途端に▲６八玉。これで右玉の可能性ははぐっと低くなった。

手数26: 後手は腰掛け銀に。

手数27: ▲５八金とした。▲４八金〜▲２九飛の形も有力なので、比較して作戦を固めたものか。

手数30:

手数31: 先手は腰掛け銀に進める。

手数32:

手数33:

手数35: 先手は反対側の端歩を突いて対抗した。△９四歩と受けるか、△１五歩と突き越すかは、後手の選択肢だ。

手数36: 後手は端の態度を保留して金を寄った。細かい駆け引きがあるようだ。

手数37: 先手も端歩に手を付けず駒組みを進めた。

手数38: ここまで保留してきた端歩を突いた。

手数40: 後手は桂を跳ねて△６五桂の仕掛けを見せた。こうなると、先手も仕掛けの決断を迫られる。すぐに▲４五歩は、スピード重視の仕掛け。▲４七金と桂頭を守り、△２二玉に▲４五歩と仕掛ければ、腰の入った攻めを繰り出せる。ただ、▲４七金には、後手もすぐに△６五歩と仕掛けてくる可能性があり、そうなると後手が先攻する展開になる。

手数41: 先手は決断よく仕掛けた。△４五同歩と取って受けに回るか、△６五歩で攻め合いを目指すのか。今度は後手が決断を迫られている。

手数42: 後手は攻め合いを選択した。４六と６四に角を打つ筋ができている。角を先着すれば相手の角打ちを防ぐ攻防手になるので、先手としてはまず角打ちを考えるところだろう。後手の３一玉型がプラスになりそうなので、先手は何か違う攻め方を考えるのではないか。

手数43: 先手は角は打たずに▲２四歩と戦線を拡大した。

手数44: ここは取る一手。

手数45: 突き捨てを入れてから角を打った。

手数46: △７二飛は飛車が攻めに使いにくくなる。本譜の△８三飛は受けに利かなくなるが、ここでは攻め合えるようにしておくほうが重要だ。

手数48: 先手は２筋の突き捨てを先に入れているので、ここから攻め続けるものと思われる。どのような攻め方を組み立てているのか。

手数49: 先手は１筋も突いて戦線を拡大しにいく。これは激しくなりそうだ。△１五同歩に▲２五歩の継ぎ歩が狙いだと思われる。以下△同歩▲同桂△４四銀に、▲１三歩の垂らしや▲４五歩でどうか。もう少しスマートな攻めもあるのかもしれない。

手数51: △１五同歩に、▲２五歩の継ぎ歩攻め。▲２五歩と継ぎ歩で攻めたあたりまでは、先手の予定の構想だったのかもしれない。ただ、進んでみると、５７手目▲２四歩に△２二歩と受けられたあたりで、自信がなくなった可能性もある。

手数52: 後手は２筋を手抜いて△８六歩。△２五同歩では先手の猛攻を浴びて受けきれないと見たか。

手数53: 銀で応じた。先手にとっては貴重な１歩を入手した形。こうなると、先手の攻めに勢いがつくため、後手も受けに回る展開にはできないだろう。後手はどんな攻め合いの構想を立てたのか。

手数54: 敵の攻めを呼び込んで駒を入手する狙いか。▲４五同桂なら△４四銀、▲４五同銀は△同銀▲同桂△４四銀で桂取りの先手になる。▲６四角なら角の利きがそれるため、△２五歩と手を戻し、▲同桂△４四銀▲１三歩に△２四歩と桂を取りにいく狙いが生じる。

手数55: 先手は▲４五同桂。△４五歩は予想していたようだ。

手数56: 先手は４五桂を助けることは難しい。取らせている間にうまく攻めをつなぐことができるかどうか。

手数57: ２筋の取り込みを利かせた。▲２三歩成は許せないので、後手も１回は受けるところ。

手数58: 受けられてみると、継続する攻めがパッとは見えないが。

手数59: これは△４五銀右▲同銀△同銀が角取りにならないように早逃げした意味だろう。その局面では▲８四銀△同飛▲７三角成という攻め筋が見える。一時的に銀損になるが、△８一飛に▲７二馬や▲２三桂が期待の攻めだ。この局面で△４五銀右▲同銀△同銀とシンプルに桂を取る順も有力だった。以下▲４三歩△同金直▲４四歩の手筋のたたきには強く△５四金と出て、先手が攻めを続けるのが容易でないという。また、▲４三歩のところ▲８四銀△同飛▲７三角成も考えられるが、△８二角▲同馬△同飛▲５五角△９二飛▲２三桂△４一玉▲１一桂成まで進められたところで、先手は自信がないのかもしれない。先手が好調に攻めているようだが、自陣に△６九銀などのキズがあって大変なようだ。

手数60: すぐに桂を取らずに垂らしで攻めた。▲４六同角なら△４五銀右▲同銀△同銀が角当たりで先手を取れる。放っておけば△４七歩成▲同金で先手陣を乱したり、△３七角と打っていく筋もあるかもしれない。

手数61: 先手は銀を引いた。玉のコビンが開いていると、将来的に中央の角や銀がさばけたときに△６七歩成▲同金右△５五角が生じる恐れがあったので、その憂いを消した意味だろう。また、後手がゆっくりしていると、▲６六銀と嫌みな垂れ歩を払ってしまう狙いもある。△３七角▲２九飛に△６三銀と角を取る順も検討される。対して▲５五角が一例で、△同銀▲同銀△４七歩成▲４四銀△５八との局面で、後手玉に寄りがあるかどうかという勝負になるようだ。検討ではあと一押しが足りず、後手玉を寄せる順は見つかっていない。銀を引くのはやりづらい手だが、引かれてみると先手も対処が難しい。直前の△４六歩は味のいい垂らしで、後手も形勢に自信を持っていたかもしれないが、この▲７七銀を見て、先手玉が堅く急に自信がなくなった可能性もある。

手数62: 後手は単に歩を成り捨てた。

手数64: どんどん成り捨てて先手陣を乱す。▲６七同銀は４五の桂が純粋にタダで取られてしまう。▲６七同金は先手玉がかなり薄くなる。取り方が悩ましい成り捨てだ。

手数65: 先手は桂損を覚悟で形を乱さないほうを選んだ。駒損だが、陣形はまとまる。

手数66: これで先手はかなり純粋な桂損。その代償をどう求めるのか。

手数67: 金を攻めに参加させる。次に▲４五金△同銀と銀を取って▲８四銀が狙い筋か。

手数68: △５六同銀。

手数69: 銀が囲いから離れるが、▲５六同歩は△３九角のラインが嫌みだ。

手数70: 後手も端を突いて、戦線拡大を図る。前の手の▲５六同銀は予想外だったが、指されてみると将来▲６八飛と使う狙いがあることがわかる。形勢は互角に近いとしかいえないが、６５手目の▲６七同銀なども含めて、先手の指し回しが凄い。現状はほぼ金桂と銀の交換で駒損だが、▲２四歩△２二歩と謝らせている格好が桂１枚に匹敵するほどのポイントなので、バランスが取れていると思われる。

手数71: 敵陣を乱すたたきを入れた。

手数73: 金を上ずらせたところで飛車を攻める。どうやら先手は、９筋を放置したまま戦う算段のようだ。

手数75: 銀を捨てて桂を取り返して、現状は先手の金損。ただ、馬を作って手番を握っており、例えば△８一飛に▲７二馬△８四飛なら▲６八飛と回って、先手の大駒がきれいにさばけてくる。そう進めば金損でも先手がよさそうだ。△８一飛と逃げる一手のように見えるが、△８二角と打つ手も考えられるようだ。

手数76: 後手は△８二角。飛車を取り合って▲６一飛と下ろされても後手が苦しそうだと言われていた。▲２四歩△２二歩を詰められている格好がもろに響く格好だ。

