手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数15: 戦型は横歩取りに。

手数25: 後手の８四飛・７二銀・５二玉型に、先手は５八玉型の金開きで応じた。現局面は現代横歩取りの基本形の一つで、両対局者とも先後両方を持って何局も経験している。

手数26: １筋を突いて間合いを計る。代えて△９四歩、△７四歩、△２三銀などもよく指されているところだった。

手数27: 先手は左銀を▲６八銀と中央方面に使いやすくなった。なお、８八角の形のままで▲６八銀とするのは△８八角成▲同金△４四角の筋が嫌みだ。

手数28: 現局面はデータベース上に前例があり、次の一手は▲６八銀と▲７五歩が指されている。

手数29: この手で未知の局面に入った。

手数30: ここで△１五歩と位を取った。１筋にプレッシャーを掛け、▲３七桂と跳ねる手を牽制したということだろうか。

手数32: 後手は８四飛の横利きを自らの駒で遮断しないようにしている。

手数33: 先手は次に無条件で▲４五桂と跳ねられれば、そのまま調子よく攻めていけそうだ。

手数34:

手数36: 角交換から△３三桂と左桂を使い、先手の右桂に対抗する。

手数37: ２六飛の横利きを通しながら、３三桂にじわりと圧力を掛けた。

手数38: できたばかりの空間に歩を放り込む。桂頭が弱点なのは先手も同じだ。

手数39: 先手の飛車を３六に呼んで、後手はここからどう手を作るか。例えば△５四角▲２六飛△３六歩は、普通に▲２五桂とさばかれて攻めとしての効果があまりなさそうだ。

手数40: ２筋に飛車を転回して△２九飛成を見る。対して▲２六歩や▲２八歩には△１六歩▲同歩△１八歩▲同香△５四角の筋を狙って勝負か。▲２七歩には単に△５四角で、以下▲２六飛△同飛▲同歩と飛車交換になりそうだ。

手数41: 鋭く切り返す。現局面で△２九飛成なら、以下▲３九金△２七竜▲３三歩成△３六竜▲３二とと踏み込んで戦えるということだろうか。

手数42: 代えて△２九飛成は成立しなかったようだ。なお、△３四同飛は以下▲同飛△同銀▲２一飛で先手がよさそうだった。

手数43: 後手の左銀を３六飛の利きに呼んで負担にさせてから、▲２五歩と２四飛に働きかける。

手数46: 飛車取りの先手で角を打ち、３四銀を安定させる。

手数47:

手数48: ▲３七桂の飛車角両取りが怖いところだが、堂々と踏み込んでいく。

手数54: 何とも激しい振り替わりになった。現局面で▲３八歩の受けなら、△５五金と飛車を捕まえる手があるか。

手数55: ▲２四飛は２七馬と３四銀の両取りだ。対して△３七馬には、▲３四飛がまた両取りになる。

手数56: 後手も技で返す。▲５九同玉と金を取らせれば、△３七馬と逃げる手が王手（飛車取り）になる。

手数61: どんどん手が進む。

手数62: 後手は２七馬をさばくことで両取りを受けた。

手数63: 現局面は角と桂の交換で先手が駒得。仮にここで後手からよい攻めがなければ先手がよさそうだ。

手数64: 中空に歩を打ち、２九飛の利きを遮る。対して▲２七同飛なら、△３五桂と飛車取りの先手で桂を打つつもりだろうか。

手数65: 自玉を広くしながら相手玉頭を狙う。味のよい桂跳ねだ。

手数66: 強く催促して勝負する。

手数67: 厳しそうなタタキ。対して△２四同金なら、以下▲３一角△６五歩に▲４二角打が詰めろ金取りになる。途中の△６五歩で△４二桂も▲３三角だ。

手数69: 素朴に金香両取りの角を打った。

手数70: 代えて△３二金は、自然に▲１一角成で後手がつらかったか。上部を厚くする△４四金で頑張る。

手数71: 軽手で攻めを続ける。対して△２三同銀なら、▲２七飛と銀取りの先手で飛車を使うつもりだろうか。

手数74: 後手はこの反撃に期待。

手数75: 歩の裏からの厳しい香打ち。▲４二金△同玉▲３三馬△５二玉▲４一角△同玉▲３二と△５二玉▲４二とまでの詰めろだ。

手数77: じっとと金を活用。後手からの△４八桂成や△２八歩成も怖いところだが、これで手勝ちできると見切ったのだろうか。

手数78: すぐに攻めても勝てないと見てか、いったん３四の銀を生かした。現状は先手に勝ちがありそうだが、具体的な順は簡単ではないようだ。後手に手番が回れば、△４八桂成▲同玉△３六桂▲５九玉△３八飛の攻めが速い。代えて△２八歩成がまさったようだ。以下は▲４一角△６二玉▲２八飛△同桂成▲３四と△３八成桂が予想される進行で、難しい勝負。

手数79: 先手も自陣に手を戻す。

手数81: 代えて▲４一角から△６二玉▲３六銀△２九と▲３五銀と進めるのがよかった。▲３五銀の局面で△２八飛と打たれて先手大変と読めるが、それには▲６三香不成が利く。以下（ア）△７一玉は▲６一香成△同銀▲５八桂で先手勝ち。（イ）△６三同銀も▲同角成△７一玉（△６三同玉は▲７五桂から詰み）▲８二銀△同玉▲８三銀から、長手数ながら後手玉が詰む。後手は△２八飛ではなく△３九飛のほうがよいが、以下▲６八玉△３五飛成はまだまだ難しい勝負。

手数82: ３三のと金から遠ざかって玉の安全度を上げる。

手数85:

手数86: 飛車を打つ手が回り、先手玉も嫌な形になってきたように見える。

手数88: △４九桂成▲同玉△３九飛打までの詰めろ。以下は▲４八金△４九桂成▲同金△３六飛成や▲４八飛△３九飛成▲６八玉△４八竜▲７七玉△３六銀といった進行が考えられるが、いずれも望みがないと判断されたようだ。

