手数1: 先手は▲７六歩と角道を開けた。

手数2: 後手の２手目は△８四歩。一手損角換わりや角交換振り飛車ではなく、飛車先の歩を突きだした。

手数3:

手数4:

手数5:

手数6:

手数7:

手数10: 戦型は角換わりとなった。

手数12: ２二に銀を上がる。角換わり腰掛け銀全盛時代は△４二銀と上がることが主流だったが、現在ではこの△２二銀が多く、いつでも△４二玉と上がることが可能なほか、▲５五角と打たれる手が香取りにならないといったメリットがある。反面、この位置にずっといたままでは壁形で、いずれは△３三銀が必要になる。

手数15: ４筋の歩を突く。棒銀や早繰り銀ではなく、腰掛け銀を含みにして指すようだ。

手数16: 後手は攻めの形を見せず、ひとまず３三に銀を上がった。

手数18: ７筋の歩を突いた。次に△７三銀と上がれば早繰り銀や棒銀といった作戦になる。

手数19: ９筋を突いた。

手数20: 後手は９筋を受けずに１筋を突く。

手数21: １筋を受けておく。先手としては早く相手の作戦を見たいところだ。

手数22: １筋の突き合いを入れてから９筋を受けた。

手数23: ３筋の歩を突く。▲３七桂と跳ねる準備だ。ただしその後にすぐ▲４五桂と跳ねると、△３七角で王手飛車取りを掛けられてしまう。

手数24: ここで居玉を解消。

手数25: 先手は右桂の活用を急いだ。

手数26: ここで銀を出動させた。

手数27: 飛車先を伸ばす。攻め将棋の先手だけに、一方的に受け身に回る展開は選ばないだろう。

手数28: 早繰り銀で７筋からの攻めを見せた。

手数29: ４八に金を立った。これで▲４五桂と跳ぶことが可能になっている。反面、後手に銀を持たれたときに、△３九銀の割り打ちが生じている。

手数30: ７筋の攻めではなく、５五に銀を出た。▲５六銀と出させない狙いだが、浮き駒であることには気をつけなければならない。例えば先手に歩が入ると、▲９五歩△同歩▲９二歩といった攻めがあり、△同香は▲９一角が間接的な飛車銀両取り。それを嫌がって△９二同飛は▲８三角△６二飛に▲７四角成と馬を作られる。

手数31: 下段飛車に構えた。

手数33: 先手は４筋の位を取る。

手数34:

手数35: 対局再開。先手は銀を追った。

手数36: すぐに銀を引き揚げる。２手損だが腰掛け銀に組まれる順を消したことを評価しているようだ。

手数37: 好位置に角を据えた。△７五歩▲同歩△同銀といった動きを消しながら▲３五歩などの攻めを見ている。

手数38: 右桂を活用しながら先手の角の飛車への利きを二重に遮断した。

手数39: ６筋の歩を突き、△６五桂を阻止しておく。

手数40: ▲７五歩△同歩（△同銀は▲７三角成）▲７四歩の攻めを防いだ。

手数41: ここで居玉を解消した。

手数42: 金を寄って桂にヒモをつける。

手数43: ６七への銀の繰り替えを図った。

手数44: ここで後手が仕掛けた。

手数45: 歩を取らないのが受けの手筋。▲７五同歩△同銀となると、先手の右銀が中途半端なままで後手の銀がさばける。

手数48: 控えて歩を打った。何が何でも△７五銀を実現させるつもりだ。

手数49: 未然に△７五銀から逃げておく。

手数50: 構わず銀を出た。これで△８六歩が権利となった。

手数51: 玉を寄って手を渡した。

手数52: ８筋の交換はすぐにせず、飛車を一段目に引き揚げた。先手の指し手が難しいと見ているのかもしれない。

手数53: 歩を打って攻めを催促した。

手数54: 攻めずに引き揚げた。△８六歩は▲同歩△同銀▲同銀△同飛に▲１五歩を気にしたのだろうか。以下△同歩▲１三歩△同香と進めば、▲同角成△同桂に▲８八香で飛車を取ることができる。

手数55: 銀を６八に引いた。▲７七桂や▲５七銀のような展開を見ている。

手数57: 中央に銀を繰り替えた。

手数58: ５筋に飛車を転回。次に△５五歩で角を攻める狙いがある。

手数59: 今度は６八へ玉を移動。

手数60: 後手は攻めずに飛車の横移動で待つ。

手数61: 先手陣はいつの間にか雁木の形ができあがった。

手数62: 銀を引いて手を渡した。

手数63: 桂交換を求める。局面がいきなり動き始めた。

手数66: ８四に角を据えた。難しい手だが、どういった狙いだろうか。

手数67: 再び中住まいに。これで４八の金のヒモが二重になった。

手数68: ４筋を突いて歩の入手を図った。

手数71: 逆に△４五歩と打たれてはいけない。

手数73: ８筋が薄くなるが、問題ないと見たようだ。

手数74: ４二に銀を引いて自玉の守りを堅めた。

手数77:

手数78: 対局再開。後手は７三に桂を打って▲９一角成を受けた。

手数81: 角筋を止めながらの桂頭攻め。

手数82: 手抜いて５筋を突き出す。放置すれば△５四桂がある。

手数83: 銀で取り払った。このあとは４四の地点を攻めていくつもりだろう。その場合、▲２四歩の突き捨てをどのタイミングで入れにいくか。

手数84: 歩を取り払って角を働かせる。

手数85: 手筋の突き出し。対して△２四同銀は▲４四歩のときに引く一手になるのが気になる。継ぎ歩も嫌な筋だが△２四同歩が自然だろう。

手数86: 歩で取り払った。▲２五歩のときに手抜いて攻め合いだろう。

手数87: 継ぎ歩で攻め立てる。△２五同歩▲同桂の進行は、この終盤に差し掛かる忙しい局面では考える必要のないところだろう。

手数88: 角取りに桂を打って攻め合った。

手数89: 銀で食いちぎって手番を取りにいく。

手数91: 大きな取り込みが入った。

手数92: 代えて△２八歩も考えられたが、後手は単に△２二歩と受けた。

手数93: 銀取りに香を打つ。

手数94: 今度は後手が清算で手番を握りにいった。

手数96: 角取りに香を打って攻めを催促した。

手数97: 角を切った。△３三同桂には▲４四桂が厳しそうだ。よって△３三同金だろう。

手数98: 金で馬を取る。ここで手筋は▲４四歩だが、厳しさはどれくらいのものか。

手数99: 金取りに桂を跳ねた。△３二金には▲４四桂。△４三金には▲４四歩が厳しそうだ。

手数100: この手で１００手に到達した。

手数101: さらに桂打ちで追撃。それにしても、先手のこの囲いは何囲いというのだろうか。なんだか微笑ましい形だ。

手数102: ここで攻め合った。

手数103: 桂取りにしながら角道を遮断。

手数104: 銀を取る前に金取りに歩を打って味つけした。

手数105: 玉で歩を取った。

手数106: ここでも銀は取らない。

手数107: 先手は丁寧に面倒を見続ける。

手数108: 銀取りに歩を打つ。さすがにここでの▲５六同玉は危険だろうか。

手数109: 銀で取った。△６六角は許すが、桂で銀を取れなくなっている。

手数110: 次は△４六歩や△４六銀が厳しそうだ。

手数111: 先手は詰めろで攻め続ける必要がある。まずは歩を成り捨てた。

手数113: 続いて桂を成る。▲３二桂成△同玉▲２三飛成以下の詰めろだ。△１三同香に▲４三銀と打ってどうか。△同金には▲２三飛成が厳しい。また△４一銀には▲３二桂成△同銀に▲４二金がある。

手数114: 攻防の角を放った。

手数115: 先手は飛車を切って決めにいく。

手数117: 金を取った。後手玉に詰みはなさそうだが、どこかで▲６五銀が詰めろで入りそうだ。

手数121: 尻金で迫る。△４一同飛は▲同角成△同玉に▲３二銀以下詰む。

手数122: ここで▲６五銀が詰めろ。

手数124: 金をよって退路を開いた。

手数125: ６二に逃げられないように５一に銀を打った。

手数126: 飛車で食いちぎる。▲５一同金のときに自玉が詰めろになっているかどうか。

手数128: ひとまず歩を打って王手を掛けた。

手数129: 逃げるのは△４八角成以下詰み。負けても取るよりない。

手数130: 金を取る。自玉に詰みなしと見たか、下駄を預けたものか。

手数131: 代えて▲５四飛も王手は続くが、左辺に逃げられた形が広い。

手数133: 角を成って王手を掛ける。△４三歩は▲同馬△同玉に▲５四銀以下、後手玉は危ない。

手数134: 玉を逃げた。これで即詰みはなさそうだ。

手数135: さらに飛車を打って王手。先手は自玉が３五に逃げたあとのことも考えながら攻めていそうだ。

手数137: この局面で後手の投了となった。以下△４七飛▲３五玉に△２六馬という手段はあるものの、▲２四玉で続かない。また後手玉に受けはない。

