手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7: 先手は居飛車党。本局も初手に▲２六歩と居飛車を宣言した。

手数8: 後手は振り飛車党。本局はゴキゲン中飛車に構えた。

手数13: 先手は超速の出だし。

手数16: 銀対抗の形になった。

手数17: 比較的最近になって見られるようになった手。

手数18: △７二銀と銀の活用を急いだ。代えて△６二玉は▲７七銀が考えられる進行。

手数21: 先手は一足先に美濃囲いに潜る。

手数24:

手数25: ５筋の歩交換を防いでいる。しばらくは囲い合いとなるだろうか。

手数26: 端歩の打診。

手数27: 先手も応じる。互いに玉側の端はついておきたいところ。

手数29: 玉を深く囲う準備。▲８八玉から先手は銀冠に囲う順が一例。本局は持久戦になりそうだ。

手数30: 三間飛車に振り直した。４一金を活用しやすくした手といえるだろうか。

手数31: 代えて▲３七桂は△３五歩▲同歩△同銀▲同銀△１五角のような強襲筋があったかもしれない。本譜は角の転換を図った。

手数33: 端を突く。▲１五角を見た手。

手数34: ▲１五角を防いでおく。

手数36: 後手は高美濃囲い。上部に厚くなり、再度△５二飛と回る順もある。

手数39: 先手は銀冠に構える。この瞬間は不安だが、次に▲７八金が堅い。

手数40: △５三銀と引いた。次は△５四銀、あるいは△６二銀と固める順が予想される。

手数41:

手数42: △５一角と引く。▲３四銀を防いだだけでなく、次に△４四歩で銀を取る狙いがある。

手数43: △４四歩に▲５五角を用意。

手数44: 代えて△４四歩▲５五角△４五歩は▲１一角成で馬が大きそうだ。

手数45: ▲５五角とさばく。△３六歩▲１一角成△３七歩成▲２一馬が考えれる手順だが、そこで△２八とと飛車交換に応じるか、いったん△３五飛とかわすか。

手数46: 歩を取り込んだ。後手の強みは玉の堅さ。先手は４五銀の存在の分だけ薄い。また、▲７八金の一手が必要なのも痛いところだ。

手数47: ▲１一角成。△３七歩成に飛車を逃げるのではないか。後手がいいかもしれない。

手数49: 代えて▲２一馬は△２八と▲３二馬に△３八飛が王手馬取りだった。

手数50: △４七とは▲３四歩があったか。△３五飛と浮いて銀取り。▲３七桂△同飛成▲２一馬という手順が考えられる。

手数53: 働きの弱かった銀を引いた。じっとした手だ。

手数54: 桂は渡さないと。△３九竜▲２一馬△１九竜よりも得になっていそうだ。

手数57: 竜に当てる。

手数58: 後手も竜を引き揚げる渋い応酬だ。長期戦になるだろうか。

手数59:

手数60: 桂取りを受けずに△２五竜とした。代えて△２五桂は▲２六歩や▲３六香があった。▲１三馬にはそこで△２九竜とするのだろうか。好機に△２四角と活用する含みもある。もともと後手がよかったと思われるが、１一馬が引いて使え、１三桂も取れそうなので先手が盛り返しているように見える。

手数63: 自陣にお帰りなさいと、丁寧に竜を追い払う。先手は▲６五歩の筋だけで勝負しようということだろうか。

手数65: ６八飛の利きを通す。

手数67: 先手玉も非常に堅い構えになった。

手数71: 角を交換してから▲６五歩。先手は馬を失った。

手数74: 竜が再び働いてきた。

手数75: ▲４六角と対抗。▲１三角成と桂を取る手と▲６四銀の狙いがありそうだ。

手数78: △５九角と飛車取りに打った。▲６九飛は△７七角成▲同桂△６九竜。▲６七飛も△２八竜と香を取られてしまう。

手数80: △５四歩と打った。▲６六銀と引かせれば後手玉の脅威が薄まる。

手数81: 代えて▲６四銀は△同銀▲同歩△５五桂▲６五飛△７七角成などの筋がある。銀を引いて辛抱。

手数82: 後手が好調の流れに思える。▲５五同銀△同歩のときに先手に手段があるかどうか。

手数85: ▲６六桂と設置。次は▲７五歩と攻める狙い。△５八銀で飛車が取られてしまうが、背に腹は代えられないといったところか。

手数86: これで飛車が捕まっている。▲６八飛は△同角成▲同金△５九飛で先手玉はもたない。

手数87: コビンに嫌みをつける。

手数89: ここで後手はどう指すか。△７五歩は▲７四桂打△９二玉▲９五歩で一気に危なくなる。

手数90: 角の陰になっているが二枚飛車だ。次に△８六角成▲同銀△８九飛成▲７七玉△８五桂のような強襲筋がある。

手数92: ８四に上がった。将来先手玉が上部に逃げてきたときに押さえの駒になる。

手数93: ▲７九桂と打って頑張った。代えて▲７三歩成△同銀▲７九歩という手もあったが、７筋の拠点を残したほうがいいと見たか。

手数94: ▲７九桂と打たれると一気の寄せは難しい。香を取りつつ、竜を二段目に利かした。

手数95: 竜取りと▲５五馬の両狙い。

手数99: パタパタと手が進んでいる。

手数100:

手数101: 急所の金を狙う角打ち。金が逃げると▲５三角成がある。いい手だ。

手数102: 桂を取った。ここは▲６六同金と▲５三角成どちらもあるという。

手数103: 先手は金を取った。

手数104: ▲５三角成を防ぐ。先ほどまでと比べると後手も安心できるような状況ではなくなってきたか。

手数107: カナ駒の攻めで襲いかかる。後手玉も怖い格好になってきた。

手数110: 攻防の角打ち。

手数111: ▲６三歩成を利かす。△６三同銀と取るのは▲７三銀から危ない。

手数113: 空いたスペースに急所の王手。

手数115: 圧力で押していく。次は▲７三歩成△同銀（△同桂は▲７四歩）▲同角成△同玉▲６四銀打の物量作戦が厳しい。

手数116: △６九銀と攻め合いに活路を求めた。先手が押しているが、駒を渡す攻めなので簡単ではないだろう。

手数117: 一気に攻めるのは難しかったようだ。▲５五角と引いて竜取り。

手数120: 中段竜で角に当てた。次に△５五竜▲同金△６八金と進めば後手の攻めが続きそうだ。▲７三歩成△同桂▲７四歩△５五竜が考えられる手順だが、それは上記の順に合流してしまう。

手数121:

手数124: 後手は決めていたのだろう、指し手が早い。

手数126: 痛そうな桂打ち。玉が逃げると△７九飛成がある。

手数127: 先手は中段でうまく粘れるかどうか。後手がだいぶよさそうに見える。

手数130: △５五角成と金を取った手が７三にも利いているのが大きい。

手数132: この局面で先手が投了した。▲７三歩成としても△同銀で後手玉は寄らない。以下▲６三銀成△７五金▲同玉△７四銀打▲８六玉△７五金▲９七玉△８八馬までの詰み。

