手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10: 本局の作戦は三間飛車。

手数11: 飛車先を決める。代えて▲７八玉などでは△３五歩と突かれ、以下▲２五歩には△３四飛とスムーズに石田流の形で受ける順を後手に与えてしまうところだった。

手数15: ▲８八玉から深く囲う順を作る持久戦志向の一手。

手数16: 玉の移動を進める前に、まず片美濃の形を作って陣形を引き締めた。

手数19: 穴熊を明示。

手数20: ３筋の位を取る。次は△４二角や△５一角から△３四飛がよくある進行だ。

手数24:

手数25: 着々と駒組みが進む。

手数27: ４筋の歩を突き、好機に（１）▲４五歩と突く手や（２）▲４七銀〜▲３八飛から３筋逆襲を狙う順を視野に入れる。

手数28: 左桂を活用。

手数30: ４二角の動きを楽にする。

手数32: 玉の堅さを追究している先手に対し、後手は左金を３二に上がってバランス型の陣形に構えた。

手数34: 互いに駒組みが飽和点に近づいてきた。ひとまず端歩を突いて玉の懐を広げる。

手数35: すでに穴熊が完成しているので、先手としても端は受けやすい。

手数36: （１）△３六歩▲同歩△４五歩や（２）△４五歩の仕掛けを狙った角ののぞき。

手数37: ６四角の間接的な利きから飛車を逃げつつ、△３六歩や△４五歩に備える。

手数38: ５筋の位を取った。△５四銀と出る手を見たものだろうか。

手数39:

手数41: 位にぶつかっていく。△５六同歩▲同銀から互いの攻めの銀を交換する展開になれば、玉形の差で先手がよくなりそうだ。

手数42:

手数44: 強くさばきを目指す。一気に局面が動き出しそうだ。

手数47: 手順に７七角の利きが通った。

手数48: 後手も好点に角を飛び出して勝負する。

手数52: 大さばきの末に後手の香得になったが、玉の堅さははっきり先手に分がある。

手数54: ▲４四角がくる前に手を入れる。あるいは、▲６四歩△同馬▲６二歩という筋を気にしたのかもしれない。

手数55: と金作りを見せる。

手数56: 黙って▲４二歩成は許してはいけない。現局面で▲４二歩成なら、△４一飛▲同とでと金の働きがいま一つだ。

手数59: 改めて飛車を打つ。次は（１）▲４二銀△６二銀▲４四角や（２）▲５三銀〜▲４二歩成などが狙いだろうか。

手数60: 自陣に利かせて飛車を打つ。受けの意味合いが強い手といえそうだ。

手数61: 現状は先手が押しているように見えるが、△５四飛成と竜を引きつけられたときによい順があるだろうか。

手数62: ４一飛に当てて５二に引き揚げる。

手数63: 香を取って駒損を回復。

手数64: 金底の歩で１一竜を封じ込めた。ただ、現局面で▲５三香の田楽刺しは気になるところだ。以下△４三竜▲５一香成△４四竜▲６一成香と進むと、後手玉が一気に弱体化する。

手数65: いったん落ち着いて角を引き、当たりを弱めた。後手が放置すれば、次こそ▲５三香だろう。角を引いたことで、場合によっては▲１三角成と馬を作る手も可能になっている。

手数66: 角筋を止める。対して▲４四同角なら、△４三竜と歩を取る手が角当たりになる。

手数67: 後手が歩切れになったところで、５七から田楽刺しの香を放った。

手数70: 現状は玉が堅く駒得しながら攻めている先手がよさそうだが、後手も粘り強く指してチャンスを待っている。

手数73: 突き捨てから、後手の歩の裏に厳しい垂らし。△２三同金と取ると▲３一竜が生じる。

手数74:

手数76: 後手は端攻めに勝負を懸けるつもりのようだ。

手数78: 香の三段ロケット。ただ、いまのところほかの攻め駒がないので、先手玉はまだいくらか余裕がありそうだ。

手数79: 先手の駒得が拡大した。

手数83: ▲７一銀を見た厳しい角出。

手数85: 再び垂れ歩で攻めをつなげる。捨て置けば▲５一歩成△同金▲７一銀だ。現局面で△５二同竜なら、▲３一竜で先手の竜が働いてくる。

手数86: やっかいな角に当てて対応を問う。

手数87:

手数89: 角を逃げずに踏み込む順を選んだ。現局面では△４四竜とするしかなさそうだが、▲６一と△同銀▲３一竜という自然な攻めが厳しい。

手数93: いったん王手を利かした。対して（１）△５二歩なら▲５一金、（２）△４二歩なら改めて▲３一竜でよさそうだ。

手数94: 角合い。▲３一竜を防ぎつつ９七の地点にも利かせているが、４二角自体はかなり不安定な形。勝負手といってよいだろう。

手数95: ４二角への竜のヒモを切りにいく。

手数96: ５四金に構ってはいられない。

手数100: ２二竜の自玉への間接的な利きを遮断して頑張った。現局面で▲４四金なら△９七角成で食らいついていくつもりだ。また、５四金が４四にいくとどこかで△５五馬と引く手もできる。

手数101: △９七角成を許さない。

手数103: ▲８三香成△同玉▲７一角（あるいは▲８六香）の寄せを見る。

手数107: かわして耐えた。代えて▲９八同玉は、△９六歩の追撃が嫌みだったか。

手数108: 玉そばの金を狙って下駄を預けた。

手数109: 決めにいく。

手数110: 代えて△８三同玉は、▲９四角以下の詰みがあった。

手数111: 竜の縦の利きを止めつつ、▲７二香以下の詰めろをかける。

手数113:

手数114: 代えて△５八飛も、以下▲６八金打△５四飛成▲４二歩成で後手が勝てなかった。

手数115: この局面で後手が投了した。後手玉は一手一手の寄りで、一方の先手玉はまだ安全だ。

