手数1:

手数2:

手数3:

手数4:

手数5:

手数8: 後手は三間飛車に構えた。

手数9: 局面は居飛車対振り飛車の対抗形に進んだ。

手数17: 先手は一目散に穴熊を目指した。プロアマ問わず、三間飛車対策として穴熊がよく用いられている。

手数34: 端攻めを狙う体勢を整えた。歩が１歩でも入れば、（１）△９六歩▲同歩△９七歩▲同香△８五桂を狙うことができるし、歩がない場合でも、（２）△８五桂と跳ねて次に△９七桂成▲同香△９六歩と端攻めする２通りの手段がある。

手数35: △４五歩に反応した一手。振り飛車は２一の桂をスムーズに使うことができないが、居飛車はすぐに応援が利く。

手数36: 類似形は多く指されており、７九の金が７八だとより多くなる。一見すると７八金型は６九の金が浮いているので違和感があるが、端攻めされたときに▲８八玉から▲７九玉など、右辺に逃げやすい利点がある。

手数37: 互いに想定の範囲内とあってか、指し手が速い。

手数39: 代えて▲２四同角も考えられたが、さらに得をしようとしている。

手数43: ３９手目に▲２四同角だった場合の局面と比べると、３六の歩を持ち駒にできた勘定だ。

手数44: ７九金型は少し珍しい形かもしれない。７八金型のほうが多い気がする。先手の工夫かもしれない。

手数46: コーヤン流三間飛車は角が主役。２二の飛車は敵陣に成るのではなく、２四の角と刺し違えるような展開が理想だ。

手数49: 飛車の横利きを通して味のよい一手。次に▲６六銀や▲６六歩で後手の角道を止めることができるようになった。

手数50: 満を持しての△９六歩。４四の角が端攻めの司令塔として機能している。

手数55: ▲６四角の飛び出しとともに、▲２四歩と伸ばす手を見ている。後手は２六に垂らす歩がないので、全部受けるのは難しい。

手数56: ▲６四角と出させる代償に、振り飛車の命である左桂をさばく。

手数58: 桂は端攻めに有用な駒。△８四桂と設置するような手も魅力的だ。

手数59: とはいえ、先手も目いっぱい駒が働いており、歩を５枚も手持ちにしている。

手数62: ▲４二同馬なら△同角が９七の地点に利いて幸便だ。現局面から▲４六歩△７七桂打▲同桂△同桂成▲６六歩△６七成桂が一例の手順で、居飛車がかなり嫌なのではないか。

手数63: 歩を突きだして△４七飛成を防いだ。

手数65: 柔軟な受け方だ。△８九桂成▲同玉で、手順に３三の角筋から身をかわすことができる。

手数68:

手数69: 代えて▲６六銀は△４六飛▲６五銀△４九飛成の進行が考えられた。

手数70: 先手はすぐには指さない。自然な手は▲５七同金と取り返す手だが、▲３三桂成と踏み込む手を考えているのかもしれない。

手数71: これはすごいことになった。現局面、△４六飛は▲５七金とボロボロ駒を取られてしまうので、△６八成桂と取るよりなさそうだが、さらに（１）▲４二成桂とノーガードで突き進みそうだ。△６八成桂に（２）▲同金は△４六飛で次の△４九飛成が厳しいので後手有利だろう。

手数76: ここで自陣に手を入れた。駒割りは▲飛角桂△金金銀で先手が駒得だが、玉の堅さは後手に軍配が上がる。局面は、後手の攻めがつながるか、先手が切らすかという勝負になった。（１）▲６九桂と受けるか（２）▲４四角のどちらかだろうか。まだ形勢は分からない。

手数77: ７七の地点を守ることなく飛車を打ち込んだ。攻め合いも視野に入れているのだろうか。次に▲５一成桂と入れば▲８六馬のような手も可能になる。現局面で△７七銀と打たれたら、そこで▲６九桂と受ける展開もありそうだ。

手数78: 後手は金を放り込んだ。一概には言えないが、金銀２枚を残したほうが、あとで使うときに選択できる分、柔軟性がある。

手数79: △６七金なら▲５二成桂と攻め合って勝とうということか。▲４四角と打った効果で６二の金をくぎ付けにしている。

手数82: 攻め駒を清算してから早逃げした。単に△８二玉は、▲７七金△同桂成▲同角で後手の攻めが切れてしまうところだった。

手数83: 相手が自陣に手を入れるならこちらも。▲８九桂と打って先手玉がしっかりした印象になった。

手数84: △７五歩と突いて先手玉の嫌みを突きにいった。

手数87: 後手は歩切れを解消したが、▲７八歩が手堅い。後手の攻めが細くなってきた。

手数88: 軽妙なタレ歩。対して▲６八同飛は、玉飛接近の悪形にさせることができる。

手数91: 味のよい馬引き。▲９四桂△同香▲９三金以下の詰めろとなっている。

手数93: ５三に潜った手がまた▲７一馬以下の詰めろ。先手は気持ちのよい手順が続いている。

手数97: 攻めの手も十分に考えられる局面だったが、先手の手は自陣に伸びた。

手数100: 後手は相手を楽にさせないよう、手を尽くして粘っている。

手数101: 香を補充する手が冷静か。後手は歩切れなので、次に▲９五香が痛烈な攻めになる。

手数105: この馬引きが厳しい。投了もありうる。▲７二馬△同金▲８一銀の詰み筋と、６五の金取りにもなっている。

