手数1:

手数2:

手数3:

手数4:

手数7:

手数8:

手数9: 先手は９筋の歩を受けた。

手数12: 後手は玉を上がらずに居玉で戦う藤井システムをにおわす。藤井システムは穴熊対策である。

手数16: 後手はまだ玉を移動させない。先手の居飛車穴熊を警戒しているようだ。

手数18: ここでようやく玉を移動させる。

手数19: 右の銀を５七に上がると持久戦模様になる。

手数21: 角を上がったことで持久戦になりそうだ。先手は居飛車穴熊を目指すことになるだろうか。

手数25: 先手は居飛車穴熊を目指す。

手数31:

手数34: ３二銀型のまま角筋を開ける。▲６五歩には△同桂とし、▲３三同角成に△同銀と取って２筋をカバーできる。

手数36: 左銀を活用する。▲６五歩は△同桂と取られてどうか。以下▲３三角成△同桂▲６六銀に△２二飛と２筋を受けられてみると、先手に有効手はなさそうだ。

手数39: 角を引いて間接的に２筋をにらむ。将来△９五歩〜△８五桂の攻めを緩和している意味もある。

手数40: 玉の懐を広げながら銀冠を視野に入れる。

手数41: 先手は全軍躍動の構え。どこかのタイミングで▲４六歩からの仕掛けを見ているのだろうか。

手数42:

手数43: 手筋の突き捨て。△２四同歩には▲４六歩から４筋の歩を交換することになるかもしれない。△２四同歩は先手のいいなりなので、後手は△２四同角と角で取ってとがめにいくのも考えられる。△２四同角には▲４六歩△同歩▲同銀△４五歩に▲同銀と決戦にいく順があって、後手がまずいかもしれない。

手数45: 先手は飛車を４筋に転回する。２筋を突き捨てた効果で△１五角の筋がなくなっている。単に▲４八飛が当然ながら大事な手だ。▲４六歩△同歩と突き捨ててから▲４八飛と回ったほうがスピード感があっていいように見える。しかし、歩頭に△５五銀と出る手があって先手がまずいだろう。以下▲５五同歩は△４七歩成が厳しい。また、△５五銀に▲４六銀と歩を払うのは△６六銀を与えてしまう。

手数46: 何はともあれこの一手は指しておきたい。後手は銀冠が完成した。

手数47: 満を持しての仕掛け。△４六同歩に▲同銀と進軍する。以下△４五歩は先手の飛車が４筋にいるため▲４五同銀が可能だ。

手数49: △４五歩は▲同銀から先手の攻めが続きそうだ。後手はどう立ち向かうべきか。

手数50: 後手はこのタイミングで９筋を突き捨てた。

手数52: △２五歩はあまり見ない筋だ。△１五角が狙い。先手が税金（▲１六歩）を払っていないので許さんという意味だ。

手数53: 先手は▲４五歩と押さえた。▲４五銀は９筋にアヤがついているから危険と見たのだろう。

手数55: 手筋の突き捨て。△５五同歩には▲３五歩と角頭を攻めるのだろうか。

手数56: △２五歩からの継続手。△２七歩成で桂を取りにいく構想だ。２筋の突き捨てをとがめる狙いである。

手数57: 狙われている桂を活用する。後手は２六に歩がいるため、△１五角が飛車取りにならない。

手数59: △２七歩成に▲同飛を用意する。ただ、銀を渡すと△５八銀の筋があるので注意が必要だ。

手数60: 後手も銀を引いて陣形を引き締める。

手数61: ▲３五歩と突いたことで飛角銀桂といった理想の攻めになるかもしれない。△３五同歩は▲同銀で先手の調子がいい。

手数62: 後手はこのタイミングで△９七歩を決行した。先手は▲２五桂と跳ねて角を２四に出させて目標にする指し方だ。対して後手は９筋から反撃を試みた。この端攻めがどの程度なのか。大したことがなければ先手が優勢になるだろう。

手数63: 先手は▲９七同香と応じる。▲９七同銀は先手玉のナナメのラインが開いて気持ちが悪い。

手数65: 先手は６筋の歩を突く。積極的に戦線拡大する。調子がいいのだろう。

手数66: 後手は堂々と△６五同歩。▲８六角は飛車を逃げずに△８五桂が有力視されている。▲４二角成は△同角で、手順に９筋を狙われてしまう。

手数67: 天王山に銀を出る。先手の駒が伸び伸びしているように見える。対して後手は▲６四歩△５三金▲５四歩を許してはいけない。

手数68: 後手は狙い筋だった△８五桂を決行した。▲６四歩には△７三金寄を用意している。ただ、玉のコビンが開くので▲４六角ののぞきも警戒しないといけない。

手数69: 先手は６四にクサビを打ち込む。△７三金寄と固めさせるが、大きな拠点となりそうだ。

手数71: ２枚目の垂れ歩で後手陣に圧力を掛ける。

手数72: 跳ねた桂で香を取る。先手の穴熊を薄くした。

手数74: 奪った香を９筋に据えて端攻めを継続させる。

手数75: 穴熊から這い出る。先手は中央の厚みを頼りに穴熊を放棄した。

手数76: △９二香打から継続の攻め。先手は１歩しかないため、対応が難しいかもしれない。

手数77: 銀を逃げながら９五の香取りを催促する。△９八香成と成り込ませて、手順に▲７八玉と手厚い中央に逃げ込む構想だろう。

手数80: 先手玉が中央に移動したことで、５五の銀が重要な駒に。△５三歩は天王山の銀に働きかける手だ。

手数81: 取られそうな桂を活用する味のいい手。次に▲６五桂が厳しい。

